ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
hsa05332,Graft-versus-host disease,32,0.800178036203801,2.11942850383935,5.09840793702037e-07,1.38441384751399e-05,8.83448824714461e-06,2815,"tags=81%, list=17%, signal=68%",3117/3127/3118/3119/3134/3122/3120/3113/3112/3115/942/3109/3106/3135/3002/3123/5551/3107/3105/3108/3111/940/941/3824/355/3133
hsa05330,Allograft rejection,34,0.790073450942242,2.11218872963484,4.71551898585091e-07,1.38441384751399e-05,8.83448824714461e-06,2815,"tags=76%, list=17%, signal=64%",3117/3127/3118/3119/3134/3122/3120/3113/3112/3115/942/3109/3106/3135/3002/3123/5551/3107/3105/3108/3111/940/941/958/355/3133
hsa04115,p53 signaling pathway,75,0.666304095549279,2.0251847226133,4.55245641667651e-07,1.38441384751399e-05,8.83448824714461e-06,3154,"tags=53%, list=19%, signal=43%",9134/7161/51512/891/6241/983/317/27113/11200/9133/1029/595/637/1643/581/10848/5366/7157/3486/841/472/836/1111/894/64393/1017/8795/27244/898/92344/4193/355/545/896/596/64065/50484/8493/51246/25946
hsa00280,"Valine, leucine and isoleucine degradation",48,-0.720971098216027,-2.17607388687914,5.63578963357245e-07,1.42102410046505e-05,9.06811264349251e-06,2603,"tags=75%, list=16%, signal=63%",3157/224/501/39/64902/1962/197322/3158/5096/5095/84693/3712/3028/27034/10449/56922/219/4594/223/594/217/26275/38/549/316/54511/36/30/11112/1629/18/4329/3033/3155/34/1892
hsa00071,Fatty acid degradation,42,-0.743682045789466,-2.21393828303454,8.82504794160021e-07,2.07682794892325e-05,1.32530544526487e-05,2752,"tags=60%, list=17%, signal=50%",37/224/501/39/124/1962/2639/10449/23305/219/223/217/38/36/30/10455/130/1376/128/3033/51/34/1892/126/125
hsa05320,Autoimmune thyroid disease,34,0.780582419369884,2.08681532935688,1.10220828739325e-06,2.43174703406136e-05,1.55179324672471e-05,3061,"tags=79%, list=18%, signal=65%",3117/3127/3118/3119/3134/3122/3120/3113/3112/3115/942/3109/3106/3135/3002/3123/5551/3107/3105/3108/3111/940/941/958/355/3133/1493
hsa00830,Retinol metabolism,58,-0.685764167735258,-2.16785392368397,1.2089013365184e-06,2.51024806935879e-05,1.60188783910178e-05,3136,"tags=41%, list=19%, signal=34%",145226/10720/100861540/1551/8228/124/1555/7367/7364/51109/1562/1576/8608/8630/157506/316/10901/8854/317749/130/128/56603/126/125
hsa03420,Nucleotide excision repair,62,0.692785288119334,2.0728572263642,1.58896915558512e-06,3.11614506623081e-05,1.98853449880243e-05,2443,"tags=37%, list=15%, signal=32%",5984/5982/8450/6117/5424/3978/5425/5983/5433/1643/5985/5886/5427/54107/5111/548644/2067/246721/2071/5439/2967/6118/5426
hsa03440,Homologous recombination,41,0.748551569428846,2.06188915070524,1.70191688231492e-06,3.16198241819561e-05,2.01778511255065e-05,1188,"tags=49%, list=7%, signal=45%",11073/5888/4683/6117/672/83990/5424/146956/6742/4361/641/580/7156/5425/675/8438/7516/25788/472/10111
hsa05150,Staphylococcus aureus infection,62,0.691189123414244,2.06808140101087,1.95067848119482e-06,3.44294751930886e-05,2.19707997355627e-05,2066,"tags=47%, list=12%, signal=41%",3117/3127/3118/3119/2212/2214/3689/3122/3120/3113/3112/3115/719/3684/5724/6404/3109/2359/2209/3683/9103/3123/3108/718/3111/713/712/2213/714
hsa00982,Drug metabolism - cytochrome P450,62,-0.652421832807885,-2.0967763304815,2.12441478374071e-06,3.57104008885939e-05,2.27882087077951e-05,3055,"tags=68%, list=18%, signal=55%",4129/79799/1571/1564/54659/54579/54657/54658/218/127/1559/2939/2944/4259/7366/2941/2938/54600/1565/10720/2948/653689/2326/2946/124/2953/1555/7367/7364/4128/1576/2328/2329/2947/316/119391/130/128/2330/126/125/2949
hsa04145,Phagosome,146,0.547989548340819,1.81795869261025,3.91235637238721e-06,6.27755363387584e-05,4.00595341478882e-05,2951,"tags=41%, list=18%, signal=34%",3117/203068/3127/3118/3119/4074/2212/2214/10376/3134/6890/3689/3122/11151/3120/3113/1536/23480/64581/29927/3112/3115/4688/3684/10333/6891/84790/3109/7097/2209/3106/338382/3135/4481/1520/9103/3123/3107/3105/3108/653361/949/718/3111/821/811/7058/2213/3678/7846/10381/23545/3688/929/2215/7037/3133/10312/7059/4689
hsa05321,Inflammatory bowel disease,55,0.70016672140156,2.03708495620076,4.88369497163991e-06,7.37019658128456e-05,4.70321177395228e-05,1606,"tags=40%, list=10%, signal=36%",3117/3127/3118/3119/50615/3122/50943/3120/3113/3594/3112/3115/64127/3109/7097/3460/6772/3123/3108/7040/3561/3111
hsa05164,Influenza A,152,0.547715853019942,1.82795761395951,5.01089852551925e-06,7.37019658128456e-05,4.70321177395228e-05,3427,"tags=42%, list=21%, signal=34%",29110/11100/9641/7514/3117/3127/3118/317/3119/3122/3120/3113/64135/3112/637/3115/8717/581/3109/3460/6772/51284/6352/841/5371/3123/3627/3108/4928/836/110117499/3111/6773/3455/8795/8503/834/103/114548/3459/29108/4261/4939/4940/3716/8517/5610/4938/355/896/1387/7187/7177/6041/3838/64499/5594/5970/7297/7098/51135/10379/356/3665
hsa04940,Type I diabetes mellitus,38,0.755246214515094,2.04186973903372,5.476012938263e-06,7.73213026882735e-05,4.93417586858224e-05,2815,"tags=68%, list=17%, signal=57%",3117/3127/3118/3119/3134/3122/3120/3113/3112/3115/942/3109/3106/3135/3002/3123/5551/3107/3105/3108/3111/940/941/355/5798/3133
