"Symbol","n","n_events","HR","HR_lo","HR_hi","pvalue","z","padj","pooled_log2FC","rem_padj","n_studies","Direction","Risk_aligned"
"SPAG5",818,219,1.33773727914106,1.21164104836883,1.47695642237683,8.38777214822547e-09,5.76047466210982,1.41724425952775e-08,-1.5116978692322,0.0010393586628209,13,"Down","Down-High risk"
"GZMB",816,218,1.23761908494999,1.1444795068629,1.33833851130366,9.26536713351846e-08,5.34057219176746,1.53899318488951e-07,1.89716036879075,1.52892844022484e-07,10,"Up","Up-High risk"
"FN1",818,219,1.23600614495243,1.14282117146304,1.33678936697017,1.17064096210197e-07,5.29802163915843,1.91204690476655e-07,2.04699985076041,1.22234063383051e-07,13,"Up","Up-High risk"
"CTLA4",806,217,1.21962885647256,1.13191807236328,1.3141362293429,1.84707982713721e-07,5.2141038419203,2.96743972228601e-07,1.69938914629931,0.000781287749252373,8,"Up","Up-High risk"
"ZWINT",818,219,1.64358203504552,1.35536618435173,1.99308639769291,4.39525762867955e-07,5.05099013931964,6.94734270339671e-07,1.01122033626907,4.93828322486076e-54,12,"Up","Up-High risk"
"CCL5",818,219,1.22015735321693,1.12682348021438,1.32122199506003,9.54399168586981e-07,4.9008149601834,1.48462092891308e-06,2.30444210798262,8.61548697936113e-08,12,"Up","Up-High risk"
"CD80",806,218,1.24188473134717,1.13819203209313,1.35502414572082,1.11751239907533e-06,4.86972929288292,1.71119086108409e-06,2.1271819854328,1.27101300776843e-05,6,"Up","Up-High risk"
"MMP9",818,219,1.13761825285061,1.07413593573739,1.20485242710963,1.07710431978366e-05,4.4010859760237,1.62394189751998e-05,2.76738258661295,8.12476822372786e-07,11,"Up","Up-High risk"
"CXCR3",815,218,1.17101461038795,1.08653720966079,1.26206006158789,3.58827746259578e-05,4.13250705697874,5.3280483535513e-05,2.00842173697231,4.7356757506451e-09,11,"Up","Up-High risk"
"CD27",818,219,1.15275136580345,1.07695539889753,1.23388184201688,4.19595512766126e-05,4.09641607050976,6.13736720165378e-05,1.15661761915502,5.79816324558609e-11,12,"Up","Up-High risk"
"FCGR3A",818,219,1.20741236022588,1.10252112417388,1.3222826988631,4.80648021572699e-05,4.06484301666359,6.92698619325361e-05,3.05551616895264,7.22485711029585e-11,12,"Up","Up-High risk"
"CXCL10",818,219,1.12664001073124,1.06202161001482,1.19519009953363,7.59857428352069e-05,3.95672052028762,0.00010792177967899,2.46052605487844,5.27692242123278e-07,11,"Up","Up-High risk"
"MYC",818,219,1.2880473737723,1.13529168585671,1.46135663437874,8.4928913135972e-05,3.93004797865557,0.000118900478390361,1.25519582375211,0.000100751396018534,12,"Up","Up-High risk"
"CXCR4",818,219,1.23312537948563,1.10854303862764,1.37170876415773,0.0001151264400569,3.85627824383205,0.000158906917261637,2.28466006994565,1.5133044683775e-12,13,"Up","Up-High risk"
"BRCA1",818,219,1.43242195397413,1.19215490771224,1.72111245019707,0.000124943118580011,3.83621877209858,0.000169502791192498,1.12983754564602,6.56591693683185e-13,13,"Up","Up-High risk"
"CD8A",818,219,1.13320334128276,1.0630231443132,1.20801679583757,0.000126262283235228,3.83363728029546,0.000169502791192498,2.66853541620301,1.05068274810479e-07,12,"Up","Up-High risk"
"CD3E",818,219,1.16232519953802,1.07387921162467,1.25805570575965,0.000195240107923596,3.72509703163436,0.000258561224006924,2.00960198943376,1.16631433775267e-06,12,"Up","Up-High risk"
"CD247",818,219,1.18664075369808,1.08297813979881,1.30022594786517,0.000243372704321529,3.66913483058091,0.000318007000313465,1.85052927640792,6.65877361018805e-07,12,"Up","Up-High risk"
"LCK",818,219,1.16109683707586,1.06734234405921,1.26308664935042,0.000506833460548944,3.4771186580559,0.000653548409655217,1.56015662157448,8.81736886865426e-05,12,"Up","Up-High risk"
"CD2",818,219,1.14490547698575,1.05786822926078,1.23910380799311,0.000795140262058916,3.35448095584187,0.00101199669716589,2.13359391929561,2.36455035819098e-08,12,"Up","Up-High risk"
"ITGAX",818,219,1.17603162444219,1.05092036071065,1.3160372882612,0.00472210479570896,2.82540391686393,0.0059329008971728,2.05806252267201,1.58377922438041e-09,12,"Up","Up-High risk"
"CD28",817,219,1.14125675690382,1.03808440842673,1.25468312076141,0.00627396058159866,2.73310878924045,0.00778288781008441,1.12609943460603,1.03355559659707e-05,11,"Up","Up-High risk"
"CCR5",818,219,1.11455657592618,1.02438335624283,1.21266745830045,0.0117476354620816,2.51963568144033,0.0143908534410499,2.45064483291766,1.19513598661397e-08,12,"Up","Up-High risk"
"PTPRC",818,219,1.11821319554659,1.01885011491144,1.22726663362373,0.018608248592344,2.35328733664225,0.0225136834820953,1.78156878361725,1.19909285592882e-10,13,"Up","Up-High risk"
"CCR7",816,219,1.11055864853903,1.01443517100176,1.21579036995228,0.0231926927098756,2.27024548411666,0.0277180961654611,1.08039032227077,0.000701779003035247,11,"Up","Up-High risk"
"TLR2",818,219,1.15959733045746,1.01498087352769,1.32481902257973,0.0293495494916549,2.17875935957995,0.034653684941954,1.42486755965762,1.34279573010595e-08,13,"Up","Up-High risk"
"ITGAM",818,219,1.14119924549086,1.01000191720912,1.28943885721284,0.0340328328758939,2.11968246338565,0.0397049716885429,1.64152310498151,4.11415064421562e-09,12,"Up","Up-High risk"
"CD40",818,219,1.18121953176691,1.00514269382606,1.38814079911034,0.043150794708703,2.02224744806192,0.0497503280170928,1.1492591369872,6.46574886839178e-05,12,"Up","Up-High risk"
