Symbol,n_studies,method_used,pooled_log2FC,pooled_se,rem_pvalue,I2,tau2,Q,Q_pval,vote_up,vote_down,fisher_pvalue,rem_padj,fisher_padj
LEFTY2,3,REML,-1.11434260967379,0.214107233591676,1.94414414554135e-07,0.635131927778853,0.00106815422965809,1.44297001389609,0.486029961916469,0,1,1.87576947462906e-06,2.14143970154829e-06,2.41663118311732e-06
RAET1L,14,REML,1.20262679081188,0.231231203218973,1.9824999785252e-07,82.2583493998684,0.580571660993232,67.8818399506673,1.96544280551385e-09,8,0,8.51614412434684e-50,2.17090712726012e-06,5.24058617011193e-49
ENAM,4,REML,1.55755183335761,0.299558241705674,1.99829793074612e-07,57.4528978724795,0.193889594613204,7.04586861638483,0.0704500650281019,3,0,6.09533545099988e-19,2.1828053115722e-06,1.37357974604328e-18
PLPP4,9,REML,-3.20659483434613,0.616757587500761,2.0023750336171e-07,93.0898934542315,3.00588886811732,165.406897635016,1.18199258399978e-31,0,7,2.52883520562049e-65,2.18586214557372e-06,2.30808530913413e-64
DTL,15,REML,-1.51708464191454,0.291855464887611,2.01370138391167e-07,95.6689050963335,1.15734158887939,191.233572481768,3.37176738499225e-33,1,10,1.70628771583395e-128,2.19262580624012e-06,6.24603608183756e-127
TJP3,15,REML,2.60397388295777,0.501143803808764,2.03555252353206e-07,97.8168297220739,3.50482491763549,433.944342059156,8.77800837234364e-84,11,0,1.72971257746619e-154,2.21078592057056e-06,9.88944364942626e-153
KIF23,15,REML,-1.24629736082892,0.239952849550268,2.05904934493965e-07,93.692512367708,0.757074844061647,125.427183301396,5.41459042632414e-20,0,10,8.0079895906585e-97,2.23205127151194e-06,1.56991493179251e-95
LYNX1-SLURP2,15,REML,2.73839086359215,0.527446441042019,2.08282476913857e-07,96.2215411444478,3.875374087629,543.865013306444,4.57404364399983e-107,11,0,1.26980369030067e-199,2.25287261398886e-06,1.39149321062115e-197
ARG1,12,REML,1.9107664797861,0.368500149501715,2.15721897574283e-07,90.3053976207453,1.28837708196302,91.4183100174321,8.78700785285326e-15,8,0,3.23644229135601e-54,2.31934958429708e-06,2.24723724495252e-53
PTP4A3,15,REML,-1.64671652313712,0.317653380015997,2.17171793141356e-07,95.4172193194289,1.36782481334881,194.301510120441,7.99258417803779e-34,0,10,5.25129699771032e-127,2.33200490185394e-06,1.88991415107069e-125
ASPG,15,REML,2.09877706488229,0.404878278166706,2.17499251402267e-07,95.3631687733995,2.22996915472382,314.486578118401,1.11941495353274e-58,10,0,1.4813764933927e-129,2.33405505506702e-06,5.54138537298649e-128
ATP1B3,15,REML,-1.0349665699925,0.1997208875264,2.19443009509814e-07,92.375972958796,0.519920744102212,158.993661228636,1.13069161279468e-26,0,11,4.76019458834261e-93,2.35196204677776e-06,8.61116682409703e-92
MS4A4E,12,REML,1.00657277980124,0.194282567278837,2.20731174493051e-07,79.8392181003361,0.313321231038623,57.4039055744403,2.80326113089178e-08,6,0,2.89265650302834e-31,2.36280490166482e-06,1.01895658189304e-30
CDKN2B,15,REML,1.49856746220827,0.289287236416878,2.21641061418687e-07,91.8481865637405,1.05760964916188,229.674573405081,4.49836344853849e-41,10,0,4.63594063917128e-86,2.36661707992033e-06,7.08867667501189e-85
FAM221A,14,REML,1.07838404041524,0.208248570265344,2.23856632545416e-07,88.6897713278306,0.496676964861839,133.507403422031,4.18175884278179e-22,8,0,3.91988551506864e-58,2.38729203578533e-06,3.02257297609826e-57
MAOB,15,REML,1.21777682618819,0.235198770647313,2.24698720554242e-07,84.713651448885,0.645956940572315,96.7786504291942,1.95913802951125e-14,8,0,1.08609406270089e-45,2.39477844630596e-06,5.92052869957644e-45
C19orf18,8,REML,1.13773761463959,0.219905899205158,2.29444743046997e-07,48.4463126457112,0.159439912941711,12.9020121107951,0.0745321449546492,4,0,3.52808708391948e-11,2.43776126935265e-06,5.70602163667016e-11
POU6F2,7,REML,-2.49568785538907,0.482752956697778,2.34470356783383e-07,81.3390942143938,1.26932437145471,39.7795412110227,5.03284786406631e-07,0,6,1.00191912333485e-31,2.48343912590578e-06,3.57798358333179e-31
C1QTNF12,12,REML,-1.56734413430578,0.303711991207007,2.4612485464888e-07,85.892043906948,0.863441937553796,83.123247627776,3.66185928185786e-13,0,9,7.53695126077833e-31,2.59402243540234e-06,2.61718833644131e-30
C2,15,REML,-1.24888654329279,0.242030672009075,2.46904743997097e-07,92.3019745338806,0.759614609399349,146.298110757374,3.94727924419052e-24,0,6,2.13834222671609e-105,2.59905696926709e-06,5.05601111558943e-104
BARX2,15,REML,2.60232540375075,0.504323425095523,2.46906611178108e-07,96.5960520295962,3.5340398738699,362.797832313281,8.48108454794566e-69,11,0,2.21165141345721e-171,2.59905696926709e-06,1.59528189506544e-169
HMMR,14,REML,-1.15273342227193,0.223903243724032,2.62780568180541e-07,89.1133743647713,0.578052646201991,98.7196573540045,2.93602650791144e-15,0,8,1.13511282194196e-50,2.74922509978357e-06,7.15250781094648e-50
TOP2A,16,REML,-1.50532885668916,0.292454075048595,2.64358859169293e-07,94.8815412531219,1.24638197604085,178.547713417282,4.66510442945952e-30,0,11,3.5974986911881e-111,2.76066872174653e-06,9.5793208918786e-110
DKK4,13,REML,2.17331402538256,0.422340472263319,2.6626746575321e-07,88.5651187497614,1.93466643681201,86.6938062681563,2.14843054429817e-13,9,0,5.85946781786004e-60,2.77890251956724e-06,4.70712417040965e-59
DLX5,12,REML,-1.65888391626959,0.322587466272085,2.71205481160777e-07,87.1690805438008,1.0113608152551,80.3404155573205,1.26813408530876e-12,0,6,2.46549355587193e-53,2.82354305751735e-06,1.67119795153175e-52
DOCK9,15,REML,1.04648914551414,0.203515562863498,2.71742935680321e-07,94.6318895951963,0.553148191739899,462.524559303402,7.99336846140193e-90,10,0,1.57300775995384e-131,2.82569676730845e-06,6.04282419245189e-130
TTBK1,9,REML,-1.35713189523695,0.263951653133015,2.72419170704733e-07,66.3929611018772,0.32259555854345,22.9461910750154,0.0034340219890621,0,5,1.73897290240598e-15,2.83100651866104e-06,3.42446051913721e-15
ARTN,13,REML,-2.29104709590596,0.44581473218389,2.76187299156958e-07,93.8711477478427,2.26176373842442,170.239763405507,4.26422454957217e-30,0,9,1.07299887725438e-95,2.86320308010199e-06,2.07030652445412e-94
NT5DC4,12,REML,-1.2520843447551,0.243703569331725,2.78069705156908e-07,87.1495014395833,0.564527367508222,65.5714272248441,8.41255191184891e-10,0,7,8.40439742433481e-48,2.87748281456256e-06,4.88684265200693e-47
DYRK3,15,REML,-1.08276832646947,0.210774558179503,2.79022168904516e-07,90.8476177875555,0.561310812537325,129.527074722686,8.42751132555063e-21,0,9,1.83330890386928e-90,2.88417144281177e-06,3.11534947431863e-89
ATAD2,15,REML,-1.10632204909714,0.215377915840087,2.79671688437453e-07,93.7730593878729,0.610431154286673,154.705518233089,8.20756390668891e-26,1,10,5.10374045863037e-110,2.88881420775725e-06,1.32596418146332e-108
PHYHIP,15,REML,1.84760709149344,0.359788443134022,2.81754683002352e-07,93.7841288241479,1.69953091072095,322.8552106277,1.99415689419783e-60,10,0,3.18867718663179e-102,2.90681732403453e-06,6.99748863998336e-101
ECHDC2,15,REML,1.2026031303344,0.234338828029295,2.86833847350498e-07,95.1225003098273,0.736453601420389,158.885418299062,1.18876959136422e-26,10,0,1.01964292292854e-115,2.95209188468198e-06,3.03672400130024e-114
CA13,15,REML,1.35662697565939,0.264499198391069,2.91223422588713e-07,92.6205933879407,0.904698442084859,224.968026790508,4.18414831611872e-40,9,0,9.63530332849712e-100,2.99546595015286e-06,2.02104920737004e-98
C1QTNF5,13,REML,-1.40521202135609,0.274116854723156,2.95452785605849e-07,93.5597113588214,0.850363382617667,143.988710523252,9.36162484868257e-25,0,8,4.80558847729517e-97,3.02985325130893e-06,9.47537889496665e-96
MFRP,13,REML,-1.40521202135609,0.274116854723156,2.95452785605849e-07,93.5597113588214,0.850363382617667,143.988710523252,9.36162484868257e-25,0,8,4.80558847729517e-97,3.02985325130893e-06,9.47537889496665e-96
ACTL6A,15,REML,-1.13101292276381,0.220716042011593,2.98661611888449e-07,95.8550893995405,0.651979026030371,234.230423245115,5.18191007494668e-42,0,9,1.05946780077877e-121,3.0609234144083e-06,3.54434482471881e-120
BCL2A1,15,REML,-1.66674262852259,0.325449743607297,3.03353107603794e-07,91.5457937151929,1.36757640947535,148.025382033553,1.7839053395504e-24,0,11,2.56565669894315e-78,3.10156780770745e-06,3.22974236144574e-77
TMEM79,15,REML,1.37353785885405,0.268250527520942,3.04961453447245e-07,95.53627353237,0.988223761900631,328.004903583479,1.66914170818197e-61,9,0,2.12474677886862e-112,3.1161482646029e-06,5.80232367168676e-111
TREM1,12,REML,-2.74818356475179,0.537098548467943,3.10892528226178e-07,94.4494166800618,3.1237507824682,224.180916653615,6.94326714730179e-42,0,9,2.08346343164956e-102,3.1729598627024e-06,4.58979476340841e-101
WDR26,15,REML,1.04022414843576,0.203353973693735,3.13180948582426e-07,96.4473448439818,0.571592595411342,527.99803418558,1.06883442194264e-103,7,0,1.19930438941605e-132,3.19142825217392e-06,4.67018417700851e-131
ATG9B,16,REML,2.11941291502094,0.414334622367571,3.13374817551845e-07,96.5612823854234,2.53876098661806,555.461494935982,1.0109712944435e-108,11,0,1.54620101549963e-186,3.19142825217392e-06,1.45232452527286e-184
EXPH5,15,REML,1.65128288053027,0.322820356141029,3.13448846762212e-07,95.2974585636563,1.43305197731012,295.239949868532,1.1611553156154e-54,10,0,8.93416266512519e-129,3.19142825217392e-06,3.28450560774871e-127
FYB2,11,REML,1.51689427277895,0.296692435234698,3.17615595811494e-07,76.6995451125126,0.665139913948799,40.5179878574155,1.37307308911089e-05,8,0,1.74745400319602e-32,3.22808478620541e-06,6.40282888930366e-32
LGALS3,16,REML,1.37052098997318,0.268115793225962,3.19313615136997e-07,96.300081510496,1.06845880618068,405.611557051043,4.57650078584319e-77,9,0,2.69051173179476e-145,3.24341429041412e-06,1.32931497268877e-143
SHROOM3,15,REML,1.86547550427521,0.365131327083489,3.23776579475533e-07,97.4738790506265,1.86809772461663,461.044212246503,1.64386663017013e-89,9,0,1.51287935743873e-239,3.28289479604641e-06,3.04266736651943e-237
CH25H,15,REML,1.55628152313628,0.304706182747066,3.26479169188803e-07,87.8994712814003,1.1456163270879,118.075794352659,1.49718502263152e-18,11,0,4.01720718600989e-47,3.3083351495451e-06,2.28229168643533e-46
EPB41L3,15,REML,1.16533146510445,0.228232322547299,3.29223393846406e-07,90.6131242471912,0.640917952733449,159.981929007669,7.15613370894805e-27,8,0,2.73998595828029e-64,3.33225797416297e-06,2.44595613351444e-63
CRNN,14,REML,6.50415687625201,1.27413154690786,3.31185569152323e-07,97.8742335481203,21.2888474459098,583.161429887563,2.97371696344862e-116,11,0,4.14925730428197e-203,3.35006941104081e-06,4.92580233449307e-201
SPRR2A,14,REML,3.07283783545956,0.602104178254006,3.33430966821288e-07,93.8450806552039,4.62216573777096,200.043649150505,1.33867915420195e-35,11,0,2.82196001002883e-121,3.36879573156615e-06,9.36726337309571e-120
LIPM,15,REML,1.27377161648124,0.249664470662583,3.36200254157631e-07,88.8721581566063,0.768552597695435,91.0123277709333,2.44253504447408e-13,7,0,1.00631844178001e-70,3.39476866203468e-06,1.05734565225748e-69
CTNNBIP1,15,REML,1.02072212622487,0.200166605552394,3.40798931733109e-07,94.6482382493081,0.537546198489264,236.665117150781,1.63121695955571e-42,8,0,2.36748284259831e-111,3.43511659078862e-06,6.32376862409659e-110
MAD2L1,16,REML,-1.13956297966493,0.223591730617871,3.45764118899761e-07,93.018675756568,0.697375553642994,122.070946218873,7.49505271680831e-19,0,9,6.04113982449617e-73,3.47696330152436e-06,6.72790132246006e-72
CD40LG,10,REML,1.56908549364915,0.308040102788403,3.5101220680304e-07,83.5750540746174,0.690958033505897,62.0696617225601,5.34176233145784e-10,7,0,5.28779247165271e-33,3.51980615733858e-06,1.97541110801799e-32
ZIC5,8,REML,-4.47072552150129,0.878737731857344,3.62493919955178e-07,88.423725668092,5.07762199750827,106.821997335351,4.18615370272904e-20,0,7,1.83713694743315e-33,3.62176128675264e-06,6.94973580800393e-33
BTC,15,REML,1.49553527477271,0.294126653337887,3.68276979627727e-07,93.4453351127626,1.12467062503783,201.674458258369,2.49861556687843e-35,8,0,3.87813077642795e-88,3.66881991068531e-06,6.26030647998449e-87
NLRX1,15,REML,1.23776163430767,0.24346548203686,3.69702907835566e-07,96.145843651125,0.820480569906465,278.061083762024,4.36662138859576e-51,9,0,9.88974642608761e-140,3.67783262403669e-06,4.35735090603009e-138
SCN7A,14,REML,1.80134931278416,0.354486331757937,3.7431576465626e-07,93.7114040668868,1.56711304829285,206.195483075884,7.28508416082253e-37,9,0,7.37602707080069e-137,3.712426103804e-06,3.11341192037871e-135
APOBEC3B,15,REML,-1.66104384790034,0.326958228934471,3.7685167895625e-07,90.3256146778081,1.27741621761701,136.154640179365,4.11617839215008e-22,0,9,2.63441180047563e-117,3.72817097902609e-06,8.09986865631851e-116
SCARF2,15,REML,-1.47857969598151,0.291123590756422,3.79680734438821e-07,95.0566739021656,1.10491062275479,150.630771335339,5.37578113038452e-25,0,10,2.20527900618919e-121,3.74715684996914e-06,7.3631337130477e-120
C7,14,REML,2.48752525265659,0.490384800376782,3.92419683904617e-07,94.0310362424264,2.99092635093542,247.995181090021,1.66963150165245e-45,10,0,1.25313661788895e-126,3.84877481144545e-06,4.43527339188644e-125
PMM1,15,REML,1.37866852106115,0.271991816456766,4.00359432233476e-07,95.8548014020386,1.03040788388864,253.941099750489,4.39667797363226e-46,8,0,1.76848881833493e-143,3.91961077807915e-06,8.35146860481649e-142
KLK11,15,REML,1.95096578280337,0.385173557552378,4.08056994068238e-07,94.0721202016132,1.89331234543174,208.72753138295,9.01175506676354e-37,11,0,4.27971889243928e-134,3.98841298661894e-06,1.73369181199643e-132
PCSK9,15,REML,-1.86535212490202,0.368423590655438,4.12571822837279e-07,93.1393933676034,1.80039625641252,208.769037807534,8.83709114146589e-37,0,11,1.63044322711669e-91,4.02334016623119e-06,2.83256371621544e-90
AQP9,13,REML,-2.76857415428501,0.547372517868327,4.23822710224794e-07,93.2335254803716,3.50184478522821,199.840299947679,3.51862723257695e-36,0,10,4.32003805680816e-83,4.11428122163137e-06,6.14401419144222e-82
HOMER3,15,REML,-1.32373094273931,0.261997628214092,4.36169615298784e-07,95.7602409753255,0.897395425007867,360.177072374801,3.01132284094363e-68,0,10,9.44697993372911e-155,4.22454366772392e-06,5.45595006645606e-153
TMEM26,14,REML,-1.45053508774446,0.287286557699132,4.43924412716824e-07,89.762378366802,0.914727939881582,97.230040705115,5.69775557901713e-15,0,10,1.56231277800724e-77,4.28750725163509e-06,1.92696514718858e-76
LDHD,15,REML,1.31087524165306,0.259662970147231,4.45591096416697e-07,91.1499777704666,0.873140025097185,131.627182446027,3.2426107433516e-21,9,0,5.55003910186928e-82,4.30117436095055e-06,7.65762053643707e-81
HASPIN,15,REML,-1.119209258599,0.221769649165557,4.49459980676356e-07,90.7789463206093,0.601602996484171,127.874356335677,1.78514305863251e-20,0,7,1.07684194166279e-48,4.3336257020092e-06,6.44108222278703e-48
PDPN,15,REML,-1.82534254072125,0.361797578410813,4.53038063301383e-07,95.9515915384292,1.80879682300797,224.728043115358,4.68773787093052e-40,0,11,1.64077798068589e-181,4.36320320683782e-06,1.40245497899126e-179
LAMP3,15,REML,-1.39629783864154,0.2767848341004,4.54221591988089e-07,91.1148625854971,0.967386820257065,109.607936492626,6.66483818244651e-17,0,8,6.74218382188631e-72,4.37213857828625e-06,7.30866407324962e-71
ASPA,12,REML,1.95946434782672,0.388512928054989,4.5709648829103e-07,93.8417175773117,1.61978774729806,173.954888273716,1.80900761805025e-31,8,0,1.30119972376387e-139,4.39486190513788e-06,5.70359212249831e-138
CCDC9B,15,REML,1.65527242516977,0.328257274583344,4.59231847293871e-07,95.5203827609288,1.45971612004785,261.240974726794,1.35280521301384e-47,11,0,1.19871568240286e-111,4.41291086536746e-06,3.22709363632707e-110
DDX11,15,REML,-1.21771587141061,0.241503007639531,4.60116222325324e-07,93.5224053060153,0.748358454884125,134.784677566858,7.69199043008632e-22,0,9,3.96494568800838e-64,4.41892518014124e-06,3.53024721544288e-63
TMEM80,15,REML,1.21561576160614,0.241108352485097,4.61216442341494e-07,94.8958508603175,0.783471178775074,193.036634979178,1.44715768757785e-33,10,0,3.83613170034175e-105,4.42700453780339e-06,8.9957025263844e-104
ASF1B,15,REML,-1.14122807229854,0.226431333151558,4.65379825347196e-07,92.6969295427081,0.659518426580937,155.909460822695,4.70660423009498e-26,0,8,2.4763768763736e-68,4.46046201814159e-06,2.44703252610443e-67
AMOTL2,15,REML,1.10267929636077,0.218888688298759,4.71341851933307e-07,93.7611764517456,0.637756527952228,217.640458033285,1.34057128214605e-38,9,0,2.66876732458334e-75,4.50743573581107e-06,3.13772884551253e-74
RBM20,14,REML,2.11250289856148,0.419348319080174,4.71441655199193e-07,94.5249848883254,2.2405196139063,265.421070712569,3.97689529100564e-49,10,0,1.20258673805889e-104,4.50743573581107e-06,2.80466852484539e-103
CCBE1,14,REML,1.40349343323625,0.278621172767143,4.72188731627888e-07,82.5698197028662,0.811861372341924,71.9885884565088,3.448041044674e-10,9,0,3.25505974383623e-31,4.51205498444872e-06,1.1449639160675e-30
P2RY6,14,REML,-1.15060643406667,0.228551741780662,4.79506093898378e-07,87.106465592242,0.554456348927288,97.4302032603433,5.21246361829694e-15,0,8,8.10709615243698e-65,4.56920661939397e-06,7.34061486895711e-64
ORC1,15,REML,-1.4379242991396,0.285822533488664,4.88363498916273e-07,94.2463481267096,1.05398280735467,143.439465115195,1.46681175941191e-23,0,9,1.35412530599229e-72,4.64067482711155e-06,1.49154459445478e-71
TSPAN6,15,REML,1.17317792595182,0.233322913613192,4.95286243425384e-07,92.9917104050165,0.705035769730481,187.678546805357,1.78427964295291e-32,9,0,7.28504961693459e-84,4.69862282539231e-06,1.05719798982595e-82
TTC22,15,REML,1.52086188484431,0.302747561294391,5.07299223448544e-07,96.1007100927918,1.27841742967215,276.957950883876,7.40297668925372e-51,9,0,1.86022146939778e-185,4.80991693003487e-06,1.70970354942769e-183
P4HA3,11,REML,-2.52354895810027,0.502391488257161,5.08512906394324e-07,93.4167999673659,2.44912926458285,115.74401647718,3.68721808885589e-20,0,9,7.21405577611316e-85,4.81608206914735e-06,1.07238507384917e-83
BAMBI,15,REML,-1.5842495132124,0.315442246881355,5.10530501211085e-07,86.6230765107342,1.19128502264641,89.3301338846893,5.07794314550867e-13,0,10,7.76310083500109e-51,4.82983891433509e-06,4.91155472888023e-50
SHMT1,15,REML,1.00035927154644,0.199193540157947,5.11237342684262e-07,93.2971327649269,0.514172106543929,195.714421259474,4.11676127118536e-34,8,1,7.32113363210656e-102,4.83385087012581e-06,1.59432840052053e-100
