GEO_ID,Gene_ID,Gene_Symbol,Gene_Description,Gene_Biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GSE202853,23385,NCSTN,nicastrin,protein_coding,2710.91891454374,0.398473872530898,0.206271264522431,1.93179536400024,0.0533847685306566,0.325530979237365
GSE202853,57216,VANGL2,VANGL planar cell polarity protein 2,protein_coding,30.7684839313414,-1.15232148300835,0.55537494518687,-2.07485320141805,0.0380001421190225,0.273715186774058
GSE202853,114836,SLAMF6,SLAM family member 6,protein_coding,101.3872361582,-0.612123707039569,0.312895815357244,-1.95631797229594,0.0504277083273192,0.316661623813539
GSE202853,8832,CD84,CD84 molecule,protein_coding,226.747164905242,0.0152824491175398,0.401015146612509,0.0381094062073092,0.96960045169053,0.992289619582448
GSE202853,6504,SLAMF1,signaling lymphocytic activation molecule family member 1,protein_coding,47.5376619581921,-0.0259690856986869,0.527969491050044,-0.0491867165412128,0.9607704971183,0.990733121123166
GSE202853,962,CD48,CD48 molecule,protein_coding,411.902982151296,-0.307488023644285,0.294740983830536,-1.04324827734537,0.296833319323483,0.666168360964408
GSE202853,57823,SLAMF7,SLAM family member 7,protein_coding,399.428698849544,-0.125773915937699,0.349277464307323,-0.360097426231407,0.718774277439469,0.904965393718425
GSE202853,4063,LY9,lymphocyte antigen 9,protein_coding,74.3717699510187,0.209137596609781,0.416150620059777,0.502552649278139,0.615278827341863,0.864851085658354
GSE202853,51744,CD244,CD244 molecule,protein_coding,53.4034807594994,-1.78400359803839,0.379670196468903,-4.69882443929071,2.61663258593915e-06,0.000602723419780314
GSE202853,55600,ITLN1,intelectin 1,protein_coding,35.5547669905891,-3.57088882491871,0.693096292065455,-5.15208184749815,2.57610551680455e-07,9.82608611102971e-05
GSE202853,50848,F11R,F11 receptor,protein_coding,4911.72035795857,0.253194894918564,0.255467648373091,0.99110355667733,0.321635016467961,0.684935160816453
GSE202853,100131187,TSTD1,thiosulfate sulfurtransferase like domain containing 1,protein_coding,565.110546580161,-0.233982584397204,0.306977094021765,-0.762215125994431,0.445931619802966,0.770917838396496
GSE202853,7391,USF1,upstream transcription factor 1,protein_coding,986.159845395552,0.0768840341343589,0.298932924983062,0.257194934745697,0.7970282940094,0.936928336370369
GSE202853,257106,ARHGAP30,Rho GTPase activating protein 30,protein_coding,388.102727057975,0.016489913494385,0.258803675981325,0.0637159168310073,0.949196430701139,0.987490179404545
