Symbol,Drug,Approved,InteractionType,Sources,Score,PMIDs
TUBB3,RG-7841,FALSE,inhibitor,ChEMBL,0.0393100892762692,""
TUBB3,SOFITUZUMAB VEDOTIN,FALSE,inhibitor,ChEMBL,0.0393100892762692,""
TUBB3,PACLITAXEL,TRUE,inhibitor,CGI; ClearityFoundationBiomarkers; DTC; ChEMBL,0.0857674675118601,25369367; 24457094; 23725535; 24953821; 23313639; 25768699; 19758808; 23387901; 23631389; 17887662; 22595423
TUBB3,LAROTAXEL,FALSE,modulator,ChEMBL,0.0419307618946872,""
TUBB3,CHEMBL:CHEMBL1795737,FALSE,"",DTC,0.0786201785525384,21664138
TUBB3,VINCRISTINE SULFATE,TRUE,inhibitor,ChEMBL,0.033103233074753,""
TUBB3,SOBLIDOTIN,FALSE,inhibitor,ChEMBL,0.0369977310835475,""
TUBB3,TISOTUMAB VEDOTIN,TRUE,inhibitor,ChEMBL,0.0393100892762692,""
COL1A2,TNF-ALPHA,FALSE,"",NCI,0.483368505174866,12393755
COL1A2,ST034307,FALSE,inhibitor,GuideToPharmacology,5.80042206209839,""
COL1A2,RECOMBINANT TRANSFORMING GROWTH FACTOR-BETA-2,FALSE,"",NCI,2.32016882483936,15223827
COL1A2,RECOMBINANT INTERFERON,FALSE,"",NCI,0.297457541646071,14512876
COL1A2,DAUNORUBICIN LIPOSOMAL,TRUE,"",PharmGKB,0.127481803562602,26230641
COL1A2,RECOMBINANT TRANSFORMING GROWTH FACTOR,FALSE,"",NCI,0.527311096554399,14520013
COL1A2,OCRIPLASMIN,TRUE,cleavage,ChEMBL,0.152642685844695,""
COL1A2,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,TRUE,cleavage,TEND; TdgClinicalTrial; ChEMBL,0.621473792367685,""
COL1A2,DOXORUBICIN HYDROCHLORIDE,TRUE,"",PharmGKB,0.0783840819202486,26230641
COL11A1,RS-25344,FALSE,inhibitor,GuideToPharmacology,0.815684352482587,""
COL11A1,PF-07038124,FALSE,inhibitor,GuideToPharmacology,3.26273740993035,""
COL11A1,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,TRUE,cleavage,ChEMBL,0.116526336068941,""
COL11A1,RO20-1724,FALSE,inhibitor,GuideToPharmacology,0.815684352482587,""
COL11A1,NERANDOMILAST,FALSE,inhibitor,GuideToPharmacology,1.08757913664345,""
COL11A1,CBS-3595,FALSE,inhibitor,GuideToPharmacology,1.08757913664345,""
COL11A1,ROLIPRAM,FALSE,inhibitor,GuideToPharmacology,0.326273740993035,""
COL11A1,CDP840,FALSE,inhibitor,GuideToPharmacology,0.815684352482587,""
COL11A1,CRISABOROLE,TRUE,inhibitor,GuideToPharmacology,0.466105344275764,""
COL11A1,ROFLUMILAST,TRUE,inhibitor,GuideToPharmacology,0.543789568321724,""
COL11A1,OCRIPLASMIN,TRUE,cleavage,ChEMBL,0.0858615107876407,""
COL11A1,IBUDILAST,TRUE,inhibitor,GuideToPharmacology,0.203921088120647,""
COL11A1,"6-HYDROXY-5,7-DIMETHOXYFLAVONE",FALSE,inhibitor,GuideToPharmacology,0.815684352482587,""
COL11A1,MK-0359,FALSE,inhibitor,GuideToPharmacology,0.815684352482587,""
COL11A1,EXAMPLE 2 [WO2013026797A1],FALSE,inhibitor,GuideToPharmacology,3.26273740993035,""
COL11A1,APREMILAST,TRUE,inhibitor,GuideToPharmacology,0.326273740993035,""
COL5A2,OCRIPLASMIN,TRUE,cleavage,ChEMBL,0.686892086301126,""
COL5A2,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,TRUE,cleavage,ChEMBL,0.932210688551528,""
INHBA,SOTATERCEPT,TRUE,inhibitor,ChEMBL,8.70063309314759,""
INHBA,GARETOSMAB,FALSE,inhibitor,ChEMBL,26.1018992794428,""
OSM,IL-10,FALSE,"",NCI,10.4407597117771,12148907
OSM,TNF-ALPHA,FALSE,"",NCI,2.1751582732869,10632674
E2F7,TAMOXIFEN,TRUE,"",PharmGKB,0.535423574962929,23508821
E2F7,EDIFOLIGIDE SODIUM,FALSE,inhibitor,ChEMBL,2.1751582732869,""
E2F7,EDIFOLIGIDE,FALSE,inhibitor,ChEMBL,2.1751582732869,""
TREM1,NANGIBOTIDE,FALSE,inhibitor,ChEMBL,52.2037985588855,""
MMP3,PRINOMASTAT,FALSE,vaccine,TALC,0.532691822029444,""
MMP3,CTS-1027,FALSE,inhibitor,ChEMBL,0.532691822029444,""
MMP3,BERKELEYTRIONE,FALSE,"",DTC,3.72884275420611,17970594
MMP3,MARIMASTAT,FALSE,inhibitor,TEND; TdgClinicalTrial; ChEMBL,0.745768550841222,""
MMP3,PRAVASTATIN SODIUM,TRUE,"",PharmGKB,0.276210574385638,10190398
MMP3,BERKELEYACETAL B,FALSE,"",DTC,3.72884275420611,17970594
MMP3,BERKELEYAMIDE B,FALSE,"",DTC,3.72884275420611,18330993
MMP3,LISINOPRIL ANHYDROUS,TRUE,"",PharmGKB,0.932210688551527,21183746
MMP3,ILOMASTAT,FALSE,"",TTD,0.149153710168244,""
MMP3,BERKELEYDIONE,FALSE,"",DTC,3.72884275420611,17970594
MMP3,CHLORTHALIDONE,TRUE,"",PharmGKB,0.828631723156913,21183746
MMP3,BERKELEYAMIDE C,FALSE,"",DTC,3.72884275420611,18330993
MMP3,BERKELEYACETAL C,FALSE,"",DTC,3.72884275420611,17970594
MMP3,BERKELEYACETAL A,FALSE,"",DTC,3.72884275420611,17970594
CADM2,DEHYDRATED ALCOHOL,TRUE,"",PharmGKB,1.32161515338951,32451486
MMP9,CURCUMIN PYRAZOLE,FALSE,"",DTC,1.04407597117771,19128977
MMP9,TST10088,FALSE,"",TdgClinicalTrial,1.04407597117771,""
MMP9,CELECOXIB,TRUE,"",PharmGKB,0.0623328938016544,22336956
MMP9,CURCUMIN,TRUE,"",TTD,0.031638665793264,""
MMP9,TOZULERISTIDE,FALSE,"",TTD,1.04407597117771,""
MMP9,SHARK CARTILAGE EXTRACT AE-941,FALSE,"",TdgClinicalTrial,0.696050647451807,""
MMP9,HYDRALAZINE,TRUE,"",PharmGKB,0.208815194235542,21769110
MMP9,ULINASTATIN,FALSE,"",PharmGKB,1.39210129490361,31192912
MMP9,BEVACIZUMAB,TRUE,"",CIViC,0.0522037985588855,""
MMP9,CARBOXYLATED GLUCOSAMINE,FALSE,"",DTC,4.17630388471084,16616490
MMP9,METHYLDOPA ANHYDROUS,TRUE,"",PharmGKB,0.134719480151963,21769110
MMP9,ANDECALIXIMAB,FALSE,inhibitor,TTD; ChEMBL,4.17630388471084,""
MMP9,DP-B99,FALSE,"",TTD,2.08815194235542,""
MMP9,NEOVASTAT,FALSE,inhibitor,TALC,0.417630388471084,""
MMP9,PRINOMASTAT,FALSE,vaccine,TALC,0.298307420336489,""
MMP9,REBIMASTAT,FALSE,inhibitor,ChEMBL,0.348025323725904,""
MMP9,INCYCLINIDE,FALSE,"",TdgClinicalTrial,1.04407597117771,""
MMP9,CTS-1027,FALSE,inhibitor,ChEMBL,0.298307420336489,""
MMP9,DEMETHYLWEDELOLACTONE,FALSE,"",DTC,0.835260776942168,22926226
MMP9,S-3304,FALSE,vaccine,TALC,1.04407597117771,""
MMP9,ILOMASTAT,FALSE,"",TTD,0.0835260776942169,""
MMP9,MARIMASTAT,FALSE,inhibitor,TEND; TdgClinicalTrial; ChEMBL,0.417630388471084,""
MMP9,AZD-1236,FALSE,inhibitor,ChEMBL,1.04407597117771,""
MMP9,ANTIHYPERTENSIVE AGENT,FALSE,"",PharmGKB,0.522037985588855,21769110
MMP9,NIFEDIPINE,TRUE,"",PharmGKB,0.0745768550841222,21769110
DPEP1,GSK-1838705A,FALSE,inhibitor,GuideToPharmacology,0.803135362444393,""
DPEP1,"INSULIN, REGULAR, HUMAN",TRUE,agonist,GuideToPharmacology,0.0757674870230559,""
DPEP1,DOVITINIB,FALSE,inhibitor,GuideToPharmacology,0.0397591763586333,""
DPEP1,CILASTATIN,TRUE,inhibitor,TEND; TTD; TdgClinicalTrial; ChEMBL,16.0627072488879,""
DPEP1,MYRICETIN,FALSE,inhibitor,GuideToPharmacology,4.01567681222196,""
DPEP1,DEXAMETHASONE,TRUE,"",NCI,0.0944865132287521,9806799
DPEP1,CILASTATIN SODIUM,TRUE,inhibitor,ChEMBL,4.01567681222196,""
DPEP1,COMPOUND 15 [PMID: 24900237],FALSE,inhibitor,GuideToPharmacology,1.33855893740732,""
DPEP1,BMS-536924,FALSE,inhibitor,GuideToPharmacology,1.00391920305549,""
DPEP1,BRIGATINIB,TRUE,inhibitor,GuideToPharmacology,0.365061528383815,""
DPEP1,LINSITINIB,FALSE,inhibitor,GuideToPharmacology,0.573668116031709,""
DPEP1,CERITINIB,TRUE,inhibitor,GuideToPharmacology,0.23621628307188,""
DPEP1,NVP-TAE 226,FALSE,inhibitor,GuideToPharmacology,0.573668116031709,""
CDH3,PF-03732010,FALSE,inhibitor,ChEMBL,26.1018992794428,""
CDH3,PF-06671008,FALSE,"",TTD,26.1018992794428,""
VIP,FLUTAMIDE,TRUE,"",NCI,0.652547481986069,10822172
VIP,DIGOXIN,TRUE,"",NCI,0.383851459991805,3906626
VIP,AZASERINE,FALSE,"",NCI,2.61018992794428,8603469
VIP,IL-7,FALSE,"",NCI,6.52547481986069,9164934
VIP,RIBAVIRIN,TRUE,"",NCI,0.343446043150563,8771530
VIP,THERAPEUTIC ANDROSTANOLONE,FALSE,"",NCI,0.686892086301126,10886097
VIP,OMEPRAZOLE,TRUE,"",NCI,0.352728368641118,15684503
VIP,LISINOPRIL ANHYDROUS,TRUE,"",NCI,1.63136870496517,2822521
MME,SLV-334,FALSE,"",TTD,2.3728999344948,""
MME,RACECADOTRIL,TRUE,inhibitor,ChEMBL,4.74579986898959,""
MME,PL37,FALSE,"",TTD; TdgClinicalTrial,4.74579986898959,""
MME,SACUBITRIL/VALSARTAN,FALSE,"",TTD,4.74579986898959,""
MME,CANDOXATRIL,TRUE,"",TEND; TTD; TdgClinicalTrial,4.74579986898959,""
MME,PEPINEMAB,FALSE,"",TTD,2.3728999344948,""
MME,ILEPATRIL,FALSE,inhibitor,TdgClinicalTrial; ChEMBL,4.74579986898959,""
MME,GALLOPAMIL,FALSE,"",TTD,1.5819332896632,""
MME,DAGLUTRIL,FALSE,inhibitor,TTD; ChEMBL,2.3728999344948,""
MME,SACUBITRIL,TRUE,inhibitor,ChEMBL,4.74579986898959,""
MME,SAMPATRILAT,FALSE,"",TTD,4.74579986898959,""
CDKN2B,CEPHALOTHIN,FALSE,inhibitor,GuideToPharmacology,2.61018992794428,""
CDKN2B,PALBOCICLIB,TRUE,"",CIViC,0.511801946655741,""
DHRS9,CHEMBL:CHEMBL459574,FALSE,"",DTC,14.9153710168244,19188072
DHRS9,CHEMBL:CHEMBL456414,FALSE,"",DTC,14.9153710168244,19188072
DHRS9,(+/-)-WIEDENDIOL B,FALSE,"",DTC,14.9153710168244,19188072
DHRS9,CHEMBL:CHEMBL461471,FALSE,"",DTC,14.9153710168244,19188072
DHRS9,PROTECTED SIPHONODICTYAL C,FALSE,"",DTC,14.9153710168244,19188072
DHRS9,CHEMBL:CHEMBL514876,FALSE,"",DTC,14.9153710168244,19188072
DHRS9,CHEMBL:CHEMBL517425,FALSE,"",DTC,14.9153710168244,19188072
KCNK10,ISOFLURANE,TRUE,potentiator,ChEMBL,0.336798700379907,""
KCNK10,HALOTHANE,TRUE,potentiator,ChEMBL,0.29002110310492,""
KCNK10,SEVOFLURANE,TRUE,potentiator,ChEMBL,0.282182694912895,""
KCNK10,ENFLURANE,TRUE,potentiator,ChEMBL,0.336798700379907,""
KCNK10,DESFLURANE,TRUE,potentiator,ChEMBL,0.348025323725904,""
SELE,LEUCOVORIN CALCIUM,TRUE,"",PharmGKB,0.2636555482772,24980946
SELE,SIALYL LEWIS X,FALSE,"",DTC,4.74579986898959,""
SELE,CY-1503,FALSE,"",TTD,2.3728999344948,""
SELE,FLUOROURACIL,TRUE,"",PharmGKB,0.0818241356722344,24980946
SELE,CAPECITABINE,TRUE,"",PharmGKB,0.186109798783906,24980946
SELE,CDP-850,FALSE,inhibitor,ChEMBL,4.74579986898959,""
SELE,GMI-1359,FALSE,"",TTD,1.5819332896632,""
SELE,BIMOSIAMOSE,FALSE,inhibitor,TTD; TdgClinicalTrial; ChEMBL,4.74579986898959,""
SELE,RIVIPANSEL,FALSE,inhibitor,TTD; TdgClinicalTrial; ChEMBL,6.32773315865279,20508165
SELE,UPROLESELAN,FALSE,inhibitor,TTD; ChEMBL,4.74579986898959,""
SELE,OXALIPLATIN,TRUE,"",PharmGKB,0.249778940473137,24980946
PADI1,O-F-AMIDINE,FALSE,"",DTC,8.70063309314759,21882827
PADI1,CHEMBL:CHEMBL1910971,FALSE,"",DTC,13.0509496397214,21882827
GRIN2A,ORPHENADRINE CITRATE,TRUE,inhibitor,ChEMBL,0.0360274662242136,""
GRIN2A,PHILANTHOTOXIN 343,FALSE,"",DTC,0.504384527138991,20873775
GRIN2A,AZD8108,FALSE,inhibitor,ChEMBL,0.108082398672641,""
GRIN2A,RALFINAMIDE,FALSE,inhibitor,ChEMBL,0.0378288395354243,""
GRIN2A,CONANTOKIN-G,FALSE,inhibitor,GuideToPharmacology,0.189144197677122,""
GRIN2A,NVP-AAM077,FALSE,inhibitor,GuideToPharmacology,0.378288395354243,""
GRIN2A,GW468816,FALSE,inhibitor,ChEMBL,0.108082398672641,""
GRIN2A,APIMOSTINEL,FALSE,agonist,ChEMBL,0.108082398672641,""
GRIN2A,SELFOTEL,FALSE,inhibitor,GuideToPharmacology,0.189144197677122,""
GRIN2A,MEMANTINE HYDROCHLORIDE,TRUE,negative modulator,TEND; TdgClinicalTrial; DTC; ChEMBL,0.420320439282492,20361801
GRIN2A,FELBAMATE,TRUE,inhibitor,TEND; TdgClinicalTrial; ChEMBL,0.189144197677122,""
GRIN2A,NEBOGLAMINE,FALSE,positive modulator,ChEMBL,0.108082398672641,""
GRIN2A,ZOLBETUXIMAB,FALSE,antibody,GuideToPharmacology,0.756576790708486,""
GRIN2A,GV196771A,FALSE,inhibitor,GuideToPharmacology,0.189144197677122,""
GRIN2A,[3H]CGP61594,FALSE,inhibitor,GuideToPharmacology,0.151315358141697,""
GRIN2A,[3H]DIZOCILPINE,FALSE,blocker,GuideToPharmacology,0.151315358141697,""
GRIN2A,(RS)-(TETRAZOL-5-YL)GLYCINE,FALSE,agonist,GuideToPharmacology,0.151315358141697,""
GRIN2A,L689560,FALSE,inhibitor,GuideToPharmacology,0.151315358141697,""
GRIN2A,PERZINFOTEL,FALSE,inhibitor,ChEMBL,0.108082398672641,""
GRIN2A,AV-101,FALSE,inhibitor,ChEMBL,0.108082398672641,""
GRIN2A,GLYCINE,TRUE,agonist,TTD; GuideToPharmacology,0.126096131784748,""
GRIN2A,KETAMINE HYDROCHLORIDE,TRUE,blocker; negative modulator,DTC; ChEMBL; GuideToPharmacology,0.178018068401997,20361801
GRIN2A,MG2+,FALSE,blocker,GuideToPharmacology,0.0581982146698835,""
GRIN2A,NERAMEXANE,FALSE,"",TdgClinicalTrial,0.252192263569495,""
GRIN2A,D-AP5,FALSE,inhibitor,GuideToPharmacology,0.189144197677122,""
GRIN2A,NBQX,FALSE,"",TTD,0.0472860494192804,""
GRIN2A,L701324,FALSE,inhibitor,GuideToPharmacology,0.126096131784748,""
