Symbol,colorectal,esophagus,kidney,liver,pancreatic
PLEKHH2,2,0,0,0,0
PRKG2,2,0,0,0,0
PTP4A3,2,2,2,0,0
PYGM,2,2,0,0,0
REG1A,2,0,0,0,0
REG3A,2,0,0,0,0
RGMA,2,0,0,0,0
ROR1,2,2,0,0,0
S100A2,2,0,2,0,0
S100A9,2,2,0,0,0
SLC13A3,2,0,2,0,0
SLC22A17,2,0,0,0,0
SLC22A4,2,0,0,0,0
SLC2A5,2,0,0,0,0
SLC38A4,2,0,2,0,0
SLC7A5,2,0,0,0,0
SLC9A9,2,0,2,0,0
SYNE3,2,0,0,0,0
TACSTD2,2,2,2,0,0
TCL1A,2,0,0,0,0
TCN1,2,2,0,0,0
TEAD4,2,2,0,0,0
TFR2,2,0,0,0,0
TLX2,2,2,0,0,0
TMEM97,2,0,0,0,0
TNFRSF13C,2,0,0,0,0
TNFSF11,2,2,0,0,0
TPSAB1,2,0,2,0,0
TPSB2,2,0,2,0,0
TPSD1,2,2,0,0,0
TSPEAR,2,0,0,0,0
VIPR1,2,0,0,0,0
ABCA5,1,0,0,0,0
ABCB5,1,0,0,0,0
ACTG2,1,0,0,0,0
ACVR1C,1,1,1,0,0
ADAMTS1,1,0,0,0,0
ADAMTS18,1,1,0,0,1
ADGRB1,1,0,0,0,0
AFF2,1,1,1,0,0
ATP8B1,1,0,0,0,0
BFSP1,1,0,0,0,0
BMP5,1,0,1,0,0
BRINP3,1,1,1,0,0
BYSL,1,0,0,0,0
CADM2,1,1,0,1,0
CASP12,1,0,0,0,0
CASP5,1,1,0,0,0
CD1D,1,0,1,0,0
CD96,1,0,1,0,0
CDH23,1,0,0,0,0
CEACAM6,1,1,0,0,0
CEACAM7,1,1,0,0,0
CELF4,1,0,0,0,0
CFI,1,0,0,0,0
CHL1,1,0,1,0,0
CIP2A,1,1,1,0,0
CLCA1,1,0,0,0,0
CLDN11,1,0,1,0,1
CLDN18,1,0,0,0,0
CNTN1,1,0,1,0,0
CNTN4,1,0,0,0,0
COL22A1,1,1,0,0,0
COLEC10,1,0,0,0,0
CPA6,1,0,1,0,0
CRHBP,1,0,1,0,0
CRIPTO,1,0,1,0,0
CST1,1,1,0,0,0
CST2,1,1,0,0,1
CTNNA3,1,1,0,0,0
CYP26B1,1,0,1,0,0
CYP46A1,1,0,0,0,0
DGAT2,1,1,0,0,0
DHCR7,1,1,0,0,0
DIAPH3,1,0,0,0,0
DSG3,1,0,0,0,0
EDAR,1,0,1,0,0
EDN3,1,1,0,0,0
EEF1A2,1,1,0,0,0
EFNA5,1,0,0,0,1
EPHA10,1,0,0,0,0
ETFDH,1,0,0,0,0
FGFBP2,1,0,0,0,0
FGFRL1,1,0,0,0,0
FHL1,1,0,0,0,0
FOSB,1,0,1,0,0
FOSL1,1,0,0,0,0
FOXC2,1,0,0,0,1
FSCN1,1,1,1,0,1
FSIP1,1,0,0,0,0
GALNT17,1,0,1,0,0
GFRA3,1,0,0,0,0
GJB5,1,0,1,0,0
GNG7,1,1,0,0,0
GPM6A,1,0,1,0,0
GPR15,1,1,0,0,0
GREM2,1,1,1,0,0
GRPR,1,0,1,0,1
HOMER1,1,0,0,0,0
HOXD3,1,0,0,0,0
HSPB6,1,1,1,0,0
IGFBP6,1,0,0,0,0
KCNMB1,1,0,0,0,0
KCNN3,1,0,0,0,0
KIF6,1,0,0,0,0
KLF9,1,0,0,0,0
KLK1,1,0,1,0,0
KLRC1,1,0,0,0,0
LAMA1,1,1,0,0,0
LAMC2,1,1,0,0,0
LGALS2,1,0,1,0,0
LGR5,1,1,0,0,0
LIFR,1,0,0,0,0
LILRA4,1,0,1,0,1
LIPG,1,1,1,0,0
LVRN,1,1,0,0,0
LY6E,1,0,1,0,0
LYVE1,1,0,0,0,0
MAPK4,1,1,1,0,0
MAT1A,1,0,0,0,0
MOCS1,1,0,0,0,0
MT1E,1,0,1,0,0
MT1G,1,1,1,0,0
MT3,1,0,1,0,0
MXI1,1,0,0,0,0
MYOCD,1,0,1,0,0
NIM1K,1,0,0,0,0
NKAIN3,1,1,0,0,0
NOX4,1,1,1,0,0
NPAS3,1,0,0,0,0
NPTX2,1,0,1,0,0
OLR1,1,1,0,0,0
ORM2,1,1,0,0,0
P2RY14,1,0,0,0,0
PAPPA2,1,0,1,0,0
PDCD4,1,1,0,0,1
PLCD3,1,0,0,0,0
PLCE1,1,0,0,0,0
PMAIP1,1,0,0,0,1
PPP1R1A,1,1,1,0,0
PRKAR2B,1,0,1,0,0
PROX1,1,0,1,0,0
PRRT2,1,0,0,0,0
PSPH,1,0,0,0,0
PTK7,1,1,0,0,0
PYY,1,0,0,0,0
QPCT,1,0,0,0,0
RBMS3,1,0,0,0,0
RNASE1,1,0,0,0,0
RNF112,1,0,0,0,0
RUNDC3B,1,0,0,0,0
S100A8,1,1,0,0,0
SCN2B,1,1,0,0,0
SCN3B,1,0,0,0,0
SEMA6A,1,0,0,0,0
SIGLEC8,1,0,1,0,0
SLC11A1,1,1,1,0,0
SLC12A2,1,0,0,0,0
SLC18A1,1,0,0,0,0
SLC23A1,1,0,1,0,0
SLC5A6,1,0,0,0,0
SLC7A11,1,1,1,0,0
SLCO2A1,1,0,0,0,0
SLCO4A1,1,0,0,0,0
SLITRK6,1,0,0,0,0
SOX10,1,1,0,0,0
SPARC,1,1,1,0,1
STAR,1,0,0,0,0
SULT1C3,1,0,0,0,1
SV2B,1,0,0,0,0
SVEP1,1,0,1,0,0
TARP,1,0,0,0,0
TLX1,1,0,0,0,0
TMEFF2,1,1,0,0,0
TNFRSF12A,1,1,0,0,0
TNFRSF13B,1,1,0,0,0
TRAT1,1,0,1,0,0
TREM1,1,1,1,0,1
TRPM6,1,0,1,0,0
TWIST1,1,1,0,0,1
UST,1,0,0,0,0
XPNPEP2,1,1,1,0,0
CYP2C19,0,484,0,0,0
CYP2C9,0,433,433,0,0
ALOX15,0,171,0,0,0
BRCA1,0,94,94,0,0
CYP3A5,0,90,0,0,0
PDGFRB,0,79,0,0,79
AURKB,0,65,65,0,0
APOE,0,58,0,0,0
ERBB4,0,57,57,0,0
MAPK3,0,53,0,0,0
IL2RA,0,50,50,0,0
ALDH9A1,0,45,0,0,0
MMP2,0,38,0,0,0
ALDH3A1,0,35,0,0,0
CTLA4,0,31,31,0,0
CD40LG,0,28,28,0,0
CYP2E1,0,28,0,0,0
LPL,0,28,28,0,0
EPCAM,0,25,25,0,0
CXCR4,0,24,24,0,0
MUC1,0,22,22,0,0
ALDH1A3,0,21,0,0,0
IGF2,0,18,18,0,0
IL18,0,18,0,0,0
CYP2J2,0,15,15,0,0
THBS1,0,14,0,0,0
FN1,0,13,13,0,13
TLR2,0,13,13,0,0
CD80,0,12,12,0,12
XCR1,0,12,12,0,0
CCR1,0,8,0,0,0
ITGA5,0,8,8,0,0
IVL,0,6,0,0,0
TK1,0,6,0,0,0
VCAM1,0,6,0,0,0
ALDH1A2,0,5,5,0,0
PBK,0,5,5,0,0
CDC25C,0,4,4,0,0
CDSN,0,4,4,0,0
COL6A3,0,4,4,0,0
CYP4A11,0,4,4,0,0
LGALS3,0,4,0,0,0
CCL3,0,3,3,0,0
CCL4,0,3,3,0,0
CDH2,0,3,0,0,0
CENPE,0,3,3,0,0
COL4A2,0,3,3,0,3
COL6A2,0,3,3,0,0
EGF,0,3,3,0,0
FCER1G,0,3,3,0,3
ITGAX,0,3,3,0,0
CD163,0,2,2,0,0
COL3A1,0,2,2,0,2
COL5A1,0,2,2,0,2
COL6A1,0,2,0,0,0
FBN1,0,2,0,0,0
GP6,0,2,0,0,0
LAMB1,0,2,0,0,0
OASL,0,2,2,0,2
TNFRSF9,0,2,2,0,0
VCAN,0,2,2,0,0
CXCL13,0,1,0,0,0
FLG,0,1,0,0,0
ISG15,0,1,1,0,1
LUM,0,1,1,0,1
MCM8,0,1,0,0,0
OCLN,0,1,1,0,0
PLOD1,0,1,0,0,0
POSTN,0,1,0,0,1
RAD51,0,1,1,0,0
AR,0,899,0,0,0
MAPT,0,438,0,0,0
SLC6A2,0,105,0,0,0
BLM,0,102,102,0,0
ADRA1A,0,95,95,0,0
RORC,0,92,0,0,92
GABRA3,0,90,0,0,0
ABAT,0,87,87,0,87
GABRA4,0,82,0,0,0
GABRB1,0,82,0,0,0
EPHB2,0,78,0,0,0
GABRQ,0,74,74,0,0
ALOX15B,0,69,69,0,0
SCN2A,0,63,63,0,0
SCN8A,0,59,0,0,0
DPP4,0,50,0,0,0
AQP3,0,49,49,0,0
ERBB3,0,49,0,0,0
ANXA1,0,44,44,0,0
CYP19A1,0,42,0,0,0
ALCAM,0,40,0,0,0
AMELX,0,39,0,0,0
APBA2,0,39,39,0,0
AQP4,0,38,38,0,0
TSPO,0,38,0,0,0
NOS2,0,37,0,0,0
PIM1,0,35,0,0,0
PRDM1,0,35,35,0,0
RUNX1,0,35,35,0,35
ATP2B2,0,34,34,0,0
EN1,0,34,0,0,0
ALDH3B2,0,33,0,0,0
ACAA1,0,32,32,0,0
CACNA1B,0,32,32,0,0
XK,0,32,32,0,0
ACADM,0,31,31,0,0
ALOX12,0,31,0,0,0
CCL18,0,30,30,0,0
SLK,0,30,0,0,0
BLVRB,0,28,0,0,0
GABRR1,0,28,0,0,0
APOC1,0,27,27,0,0
CSF3R,0,27,27,0,0
MAPK12,0,27,0,0,0
GABRR2,0,26,0,0,0
PLA2G1B,0,26,0,0,0
FOXL2,0,25,0,0,0
LRRK2,0,25,0,0,0
MSTN,0,24,0,0,0
DPYSL3,0,23,0,0,23
CEACAM5,0,21,0,0,0
GLI1,0,21,0,0,0
AMY2A,0,20,0,0,0
MKNK2,0,20,0,0,0
EPHA2,0,18,0,0,0
GUCY1A2,0,18,0,0,0
GUCY1B1,0,18,0,0,0
SLC19A1,0,18,0,0,0
HSD11B1,0,17,0,0,0
HTR3B,0,17,0,0,0
PIK3C2G,0,16,16,0,0
DUSP1,0,15,0,0,0
FST,0,15,15,0,0
GUCY1A1,0,15,0,0,0
IDO1,0,14,14,0,0
NPPC,0,14,0,0,0
ART4,0,13,0,0,0
HCN2,0,13,0,0,0
IGFBP1,0,13,0,0,0
NOS1AP,0,13,13,0,0
TNFRSF4,0,13,13,0,0
ADH4,0,12,0,0,0
