Symbol,n_cancers_druggable,cancer_list,mean_n_drugs,mean_lfc,gene_family,any_hub
LGR6,2,colorectal|kidney,4,-1.13949726526628,Other,FALSE
PDE7B,2,colorectal|kidney,4,0.212687708933365,Other,FALSE
PLA2G7,2,esophagus|kidney,4,-0.16924320223756,Other,FALSE
RNASEH2A,2,colorectal|kidney,4,-0.026658763009525,Other,FALSE
SLC22A3,2,colorectal|kidney,4,-1.88399052151352,Transporter,FALSE
SLC9A3,2,colorectal|kidney,4,-0.341628545606635,Transporter,FALSE
SLPI,2,esophagus|pancreatic,4,1.93335280933352,Other,FALSE
SULT2B1,2,colorectal|esophagus,4,-0.143671034770225,Other,FALSE
TNFRSF18,2,esophagus|kidney,4,-0.272401970178795,Other,FALSE
TNNI3,2,colorectal|esophagus,4,-2.29949103247483,Other,FALSE
TNNT2,2,colorectal|kidney,4,-2.65855308440019,Other,FALSE
UGT2B17,2,colorectal|kidney,4,0.30810011080417,Other,TRUE
ATP12A,2,esophagus|kidney,3,-2.2765069907635,Other,FALSE
BBOX1,2,esophagus|kidney,3,-0.00731360186311003,Other,FALSE
CCL3,2,esophagus|kidney,3,-0.33911902948558,Other,TRUE
CCL4,2,esophagus|kidney,3,0.35527963035577,Other,TRUE
CCL8,2,colorectal|esophagus,3,0.251133166184455,Other,TRUE
CDH16,2,esophagus|kidney,3,-0.372549493928975,Other,FALSE
CENPE,2,esophagus|kidney,3,0.50800257364368,Other,TRUE
CLMN,2,colorectal|kidney,3,-0.098721076520055,Other,FALSE
COL6A2,2,esophagus|kidney,3,0.0841535379559,Other,TRUE
EGF,2,esophagus|kidney,3,-2.33476851051397,Growth Factor/Cytokine,TRUE
ERICH3,2,kidney|pancreatic,3,2.46850589281656,Other,FALSE
FMO2,2,colorectal|esophagus,3,2.10455118628645,Other,FALSE
FUT6,2,esophagus|kidney,3,0.15378345447713,Other,FALSE
GDA,2,esophagus|kidney,3,-1.8234586683114,Other,FALSE
GP2,2,colorectal|kidney,3,-2.12537422396474,Other,FALSE
HK3,2,esophagus|kidney,3,-0.0483082981352751,Other,FALSE
ICOS,2,kidney|pancreatic,3,1.85892184571643,Other,TRUE
ITGAX,2,esophagus|kidney,3,0.412394849193075,Other,TRUE
MISP,2,esophagus|kidney,3,-2.12848333731583,Other,FALSE
MT-ND6,2,colorectal|kidney,3,-0.2067654973883,Other,FALSE
NDUFA4L2,2,colorectal|kidney,3,1.7281111475129,Other,FALSE
NEDD4L,2,colorectal|kidney,3,0.067843070346765,Other,FALSE
NPY4R,2,colorectal|pancreatic,3,-0.04657612944573,Other,FALSE
P2RY1,2,colorectal|kidney,3,1.52747600258682,Other,FALSE
PADI2,2,colorectal|kidney,3,0.544439078491275,Other,FALSE
PDK4,2,colorectal|pancreatic,3,0.438922577003145,Other,FALSE
PSCA,2,colorectal|esophagus,3,2.56119487967958,Other,FALSE
PTPRZ1,2,colorectal|kidney,3,0.75825198390725,Other,FALSE
SHMT1,2,esophagus|kidney,3,-0.22125463103317,Other,TRUE
SLC47A2,2,kidney|pancreatic,3,-3.0134932372004,Transporter,FALSE
SULT1A2,2,colorectal|kidney,3,0.674687266409265,Other,FALSE
SYP,2,colorectal|kidney,3,0.15408672263747,Other,TRUE
TRIB3,2,colorectal|kidney,3,0.0365933229327151,Other,FALSE
TRPV3,2,colorectal|esophagus,3,0.6577714526229,Other,FALSE
ACKR1,2,colorectal|esophagus,2,1.21074884245136,Other,FALSE
ADAM33,2,colorectal|kidney,2,-0.212202519739895,Other,FALSE
ADGRE1,2,esophagus|kidney,2,0.287968417469645,Other,FALSE
AK4,2,kidney|pancreatic,2,-0.158072415927355,Other,FALSE
CCL5,2,colorectal|kidney,2,1.72288939222523,Other,TRUE
CCR9,2,colorectal|pancreatic,2,-0.78214474430598,Other,TRUE
CD163,2,esophagus|kidney,2,0.026445041585875,Other,TRUE
CD1A,2,colorectal|esophagus,2,0.0710558297918149,Other,FALSE
CD7,2,colorectal|kidney,2,1.24973909888023,Other,TRUE
CDCA3,2,colorectal|esophagus,2,-1.31027380712616,Other,TRUE
CFD,2,colorectal|esophagus,2,2.1360740841902,Other,FALSE
CHI3L1,2,colorectal|esophagus,2,-2.49001629971017,Other,FALSE
COL24A1,2,esophagus|pancreatic,2,-0.197368816893155,Other,FALSE
COL4A3,2,kidney|pancreatic,2,-1.31024181147317,Other,TRUE
COL4A5,2,colorectal|kidney,2,-0.155602516321545,Other,FALSE
COL4A6,2,colorectal|kidney,2,-0.88563499669065,Other,FALSE
COMP,2,colorectal|pancreatic,2,-0.53113327767273,Other,TRUE
CTNND2,2,colorectal|pancreatic,2,0.356876626656965,Other,FALSE
CYP4X1,2,colorectal|esophagus,2,-0.298437262902885,Other,FALSE
DCLK1,2,colorectal|kidney,2,1.57501358898439,Other,FALSE
DSC3,2,colorectal|kidney,2,-0.689898345994065,Other,FALSE
EGR2,2,esophagus|pancreatic,2,0.03137545107688,Other,FALSE
ELF3,2,esophagus|kidney,2,-0.00915891749551501,Other,FALSE
ENPP3,2,esophagus|kidney,2,2.01806253770233,Other,TRUE
ETV4,2,colorectal|esophagus,2,-2.55947320763371,Other,FALSE
FGF7,2,kidney|pancreatic,2,-0.306687934126535,Growth Factor/Cytokine,TRUE
FOXP3,2,colorectal|kidney,2,0.0559987475641399,Other,TRUE
GFRA1,2,colorectal|esophagus,2,1.65463890319202,Other,FALSE
GPNMB,2,esophagus|kidney,2,0.409570113018595,Other,FALSE
GPR17,2,colorectal|kidney,2,0.07208782922191,Other,FALSE
GPR84,2,colorectal|esophagus,2,-1.56836281620649,Other,FALSE
HCAR3,2,colorectal|pancreatic,2,-0.338354800057305,Other,FALSE
HLA-G,2,colorectal|kidney,2,2.26633068631053,Other,FALSE
HOXD1,2,colorectal|kidney,2,0.14199385039412,Other,FALSE
HSD11B2,2,colorectal|kidney,2,-0.699018844103065,Other,FALSE
HSD3B2,2,colorectal|kidney,2,1.20704075212436,Other,TRUE
HTRA1,2,esophagus|pancreatic,2,0.027610814284755,Other,FALSE
KRT17,2,colorectal|esophagus,2,-3.13189801660735,Other,FALSE
LPA,2,colorectal|kidney,2,-1.98409101263278,Other,FALSE
MADCAM1,2,colorectal|esophagus,2,1.42145237667095,Other,FALSE
