"Symbol","Normal","Tumor","MeanDecreaseAccuracy","MeanDecreaseGini"
"HJURP",2.16238621625903,2.12100976611798,2.12532696148656,0.165005974715067
"EXO1",2.62656880178953,2.06344496283607,2.52542675193816,0.163984185896845
"BUB1B",2.2263489151401,2.14608910483473,2.15130268836364,0.16384439927108
"CENPA",2.53052457530874,0.127032528255977,1.6325886918193,0.15603357953013
"CDCA2",2.12058326058102,1.88518319763436,2.13664466054431,0.13236077206237
"RFC4",2.3937354092788,0.380520359813183,2.16602606279178,0.126768932099499
"NUSAP1",1.79460634019388,0.0940639377328012,1.65486791424699,0.126431573738659
"CEP55",1.88327384581129,0,1.95481997172945,0.120640576575623
"KIF14",1.75762833291792,-1.19918274031024,0.947725002526599,0.115721517854197
"AURKA",2.52488753748703,-0.268622035971057,1.62565735785253,0.0981685508805049
"PLK1",1.88495900889183,0.550714782932359,1.37225863554941,0.0980961302018297
"RAD51AP1",1.40275209380409,1.00100150250438,1.35829398363918,0.0980578878123691
"PRC1",1.68783980499046,1.60481626746804,1.61116717281082,0.0946395034332872
"DLGAP5",1.79631593103978,-0.550042837480156,1.31971013984555,0.0906316971360565
"KIFC1",1.85021033733688,1.00100150250438,1.90889030390129,0.0850728303038139
"MMP9",3.18553336304088,-0.395546525621217,2.6262079736041,0.0799198851272879
"CXCL10",4.68168898347267,-0.287970506660871,4.26549242830351,0.0764040405522345
"CDC6",1.66911011857018,0.0987278819908134,1.38824152597206,0.067070599083902
"BRCA1",1.9452448253312,1.00100150250438,1.9436551485057,0.0665679837573292
"CCNB1",2.8767239553572,-1.36381948906502,2.69335960901984,0.0663949588343523
"NDC80",1.6045100596584,1.41640485080719,1.50302069704639,0.0660854305384789
"TK1",1.40275209380409,1.31352040503101,1.31877142034576,0.0658525342830747
"NCAPH",2.00208609956198,0.530406174199683,1.39527331159498,0.0643515362743163
"KIF23",1.73519599273896,0.262131576557549,1.32392193067146,0.0618819405189909
"COL1A1",3.88615355012442,-2.86954294182333,1.60726216484894,0.0551660739832273
"CXCL9",4.18780217801586,2.23821750221896,4.364682897717,0.0466545351275606
"ANLN",1.55486617110802,1.55682364178667,1.70128166745405,0.0341779475790486
"CDCA8",1.40834895880057,0.228228746004962,1.00308189230751,0.0341723076244605
"ZWINT",1.00100150250438,1.41679732406235,1.33436990090408,0.0339696713205527
"SKA1",1.85021033733688,-1.15743941283053,0.499902276575885,0.0337995677005084
"CENPE",1.70743011656623,-0.217611603570866,0.862286733774153,0.0337014358374857
"WDHD1",1.26693979201741,1.00100150250438,1.37063863530531,0.0331525416587068
"DTL",1.41508404800271,0,1.40562297297285,0.0330549946765802
"RAD51",1.00100150250438,1.00100150250438,1.00100150250438,0.032999447469101
"DEPDC1",1.00100150250438,1.00100150250438,1.00100150250438,0.0329159933069244
"CENPM",1.00100150250438,0,1.00100150250438,0.0327629316849928
"CDCA3",1.00100150250438,1.00100150250438,1.00100150250438,0.0325690169001786
"ASF1B",1.00100150250438,1.00100150250438,1.00100150250438,0.0320522678541538
"ECT2",2.52209290481153,0.0706228073889766,2.33137258131791,0.0318441231316759
"AURKB",1.00100150250438,0,1.00100150250438,0.0299353854150035
"APOE",3.23485539638746,1.01513816636989,2.96736532737552,0.0193381340797868
"TLR2",2.22238277222706,-1.50473937249014,1.41966377344655,0.0185874236946292
"COL6A1",1.33980035673827,1.06359817606362,1.34676840722121,0.012262453174182
"COL5A2",3.39713666064799,-1.77277213638137,1.77938572911219,0.0120146855699488
"COL3A1",1.50184351041472,-0.571196157430782,1.16481278820092,0.00896634967930194
"FN1",-1.27531812149554,1.41654937225264,-0.677782374399767,0.00731333099526114
"COL4A2",-1.7248188902162,0,-1.43425723870197,0.00660379180842591
"COL5A1",2.27642177499561,-0.889606147950144,2.16531271962161,0.00612597978954283
"CXCR4",0.768727195873249,-0.636381127804642,-0.072219143497062,0.0056676684659466
"COL1A2",-0.585406251914576,-1.00125002197367,-0.841274894361447,0.00448489944023014
"TACC3",1.00100150250438,-1.73452109121246,-0.533730352888559,0.00446083548256348
"ESPL1",1.34406227991274,-0.557712005590456,1.41698598414685,0.0033010323548178
"COL4A1",1.63736530665978,-1.00100150250438,1.41565978408211,0.00307212852711777
"MMP2",-0.277371435197549,0,-0.399106999364458,0.00212649876070992
"SPC25",1.26693979201741,0,1.41451098297666,0.000496870314802749
"CDT1",0,-1.00100150250438,-1.00100150250438,0.000473077705064327
"SHCBP1",-1.00100150250438,0,-1.00100150250438,0.000236894216036063
"FEN1",0,0,0,0.000236244731264748
"RRM2",1.00100150250438,0,1.00100150250438,6.15758740423189e-06
"MCM10",1.00100150250438,0,1.00100150250438,2.26696020118311e-06
"CDC45",1.00100150250438,-1.00100150250438,0,1.21214905504985e-06
"MELK",0,0,0,0
"PBK",0,0,0,0
"MKI67",0,0,0,0
"OIP5",0,0,0,0
"CENPI",0,0,0,0
