Symbol,Module,Degree,Log2FC
BMP5,5,2,2.19519462340164
TGIF2,5,2,-1.2798767623776
ACVRL1,5,2,1.03646125296163
ADAMTS12,5,2,-2.2863960261053
CORO2B,5,2,1.6497511461399
HHIP,5,2,1.26081565900491
DPT,5,2,2.73800863986488
ITIH5,5,2,1.30705120180111
SOSTDC1,5,2,1.298007623202
CCN4,5,2,-1.96517331878971
COL21A1,5,2,1.19846050960094
PCOLCE2,5,2,2.80067689765843
IGFBP6,5,2,1.42778406315748
CILP,5,2,1.98803185743777
MMRN1,5,2,1.55253412053943
RGMA,5,2,1.55439500149661
LOXL2,5,2,-1.23919111197622
CCBE1,5,2,1.90454484209735
FREM2,5,2,-1.01725700335727
PAPPA2,5,2,1.8269362070302
GSDMC,6,0,-2.55374334648642
DEFA6,7,8,-2.78777400520192
REG1B,7,6,-5.95558898704846
REG3A,7,6,-4.57031305197152
REG1A,7,6,-3.38430880027915
DEFB1,7,2,1.4326409135231
BCL2,8,66,1.17176316272726
FLNC,8,30,1.03208773688701
CHRM1,8,20,1.00162479605993
TTR,8,20,2.29329408843881
TNNI3,8,20,-3.04635364775567
PPP2R2B,8,18,1.50833509772527
DMD,8,18,1.22580665871497
MB,8,16,1.72004275552638
PPP2R3A,8,16,1.32467354127129
NR3C1,8,16,1.1105277001302
LDB3,8,16,2.41191910197687
MYCN,8,16,-1.15558459541166
TNNT2,8,16,-1.1838359485189
PYGM,8,14,1.55531279900473
GSN,8,12,1.22747567532144
PGM5,8,12,1.83085558207557
PTPRZ1,8,12,2.87911905765472
PPP2R2C,8,12,-1.07567142947206
ALK,8,12,1.80574961840366
PTN,8,10,1.83530708396646
SGCA,8,10,1.91627830929589
MYOT,8,8,2.46199717835841
PMAIP1,8,8,-1.52483381520517
BCL2A1,8,8,-1.08380311628788
SCIN,8,8,1.83434746953874
UGP2,8,8,1.34623003333709
CASP7,8,8,1.00161129646826
SSPN,8,8,1.0173677144139
FOSL1,8,8,-2.20474276932771
C7,8,8,2.43962977471033
CRYAB,8,8,1.4438197605431
CFL2,8,8,1.00054835381077
RBM20,8,8,1.88274147773398
PPP1R1A,8,8,1.31088445754615
SNTB1,8,6,-1.59136593110898
AHNAK,8,6,1.05223790580423
HRK,8,6,3.58448731342916
CTSV,8,6,-1.22084822857078
FSCN1,8,6,-1.05223276991815
SIX4,8,6,-1.51564106012633
SPARCL1,8,6,1.07864043382467
EYA4,8,6,1.39920632566655
C8G,8,6,1.00476214502354
CLCN1,8,6,-1.66708266270893
C6,8,6,2.12184933553076
ASB9,8,4,-1.53221616306791
MYOC,8,4,4.19598125250208
LTK,8,4,1.79353594019005
SCUBE2,8,4,1.8415856256437
CKB,8,4,1.9523019237877
TCF21,8,4,1.5022406776911
BFSP1,8,4,-1.47787491701473
CRYBA2,8,4,3.05366109864798
SLC6A8,8,4,1.00980550232862
DACH1,8,4,-1.11114661523352
FOSB,8,4,1.28860316586499
EYA2,8,4,1.85049893790515
ALKAL2,8,4,1.65363372407004
SNCG,8,4,1.58748871064883
CKMT2,8,4,-1.77872347947089
CNTN1,8,4,2.41355514958626
TNNT1,8,4,-1.50500990779749
MYO3A,8,4,1.37109115170082
PLS3,8,2,-1.09133529450133
NDRG2,8,2,1.05852382079636
ANO5,8,2,2.19193246467412
MYO1A,8,2,1.26808332880374
STRA6,8,2,-3.29173424215764
G0S2,8,2,-1.18616011052288
RNASE1,8,2,1.02827097388635
TNNI3K,8,2,1.47509807898648
ALKAL1,8,2,-2.69772346782183
SYNPO2,8,2,1.74967575753669
BFSP2,8,2,2.10123873729929
TLX1,8,2,-2.84387024914992
HSPB7,8,2,1.33106376879014
ADGB,8,2,1.05963226812962
SUGCT,9,0,1.54091332961745
ACSL6,10,0,-2.82804697311095
MCEMP1,11,0,-3.40372449886766
NANOS3,12,0,-2.79918601250889
SLC2A12,13,0,-1.12631317438358
FNDC11,14,0,-1.93184558103042
IQCN,15,0,2.08149905317326
SH2D7,16,0,2.75430266402588
SHMT2,17,28,-1.15824106169861
PPAT,17,18,-1.1424117947478
PHGDH,17,18,-1.24307773262948
IMPDH1,17,18,-1.10130915558456
ENTPD3,17,16,1.42854231983998
EPHX2,17,16,1.17673926690613
PSAT1,17,14,-2.32738923883481
ENTPD8,17,14,1.70597330387177
AMPD1,17,12,2.95711356582794
ENTPD5,17,12,1.59722803335315
MTHFD1L,17,12,-1.46766207218294
PDE6A,17,10,2.98828908416182
MTHFD2,17,10,-1.00593966279446
NME1,17,10,-1.26270747666512
PAICS,17,10,-1.01758125303019
ALDH4A1,17,10,-1.39547087209017
CTPS1,17,10,-1.1039097544257
OTC,17,10,1.02917841471317
MOCS1,17,8,1.15533445912845
SLC45A2,17,8,1.27138628688437
GPR143,17,8,-1.95805396494469
GPT2,17,8,-1.34264455821382
DAO,17,8,4.03931587694764
PSPH,17,6,-1.11436964469958
PYCR1,17,6,-1.37236392138437
LGALS4,17,6,1.29917661583334
NR2E3,17,6,1.23812439138114
CPS1,17,6,-1.60787268495949
OCA2,17,4,-1.52429608319322
ASPA,17,4,2.70607697170838
LGALS2,17,4,2.02018965082007
PYCR3,17,4,-1.05427932964701
JAG2,17,4,-1.21920524173387
EDAR,17,4,-1.434227064328
CNGA1,17,4,1.22527072917324
PIPOX,17,4,-1.29069308676527
CNGA3,17,4,2.22786470372008
SETBP1,17,2,1.44748282077607
PLPP1,17,2,1.06496464431748
RIMKLA,17,2,1.29806919677822
HOGA1,17,2,-2.85127557605093
GLYATL1,17,2,-1.90643727151726
SST,18,60,4.39213459726685
NPY,18,56,3.17083484639702
GCG,18,52,4.31481716362519
SYP,18,38,1.33567366830512
DRD2,18,32,-1.30429570068536
GNA11,18,28,1.15349443987582
CHGA,18,26,3.62851738063485
VIP,18,26,2.28165160235638
SNAP25,18,26,1.79727824909942
GAL,18,26,-1.37268099378038
TH,18,24,-2.91697257498064
GNG7,18,22,1.72057459272807
PGR,18,22,1.48511250499053
CACNA1A,18,22,1.98012277404077
KRT7,18,20,-2.49753712426778
PYY,18,20,4.64099727362367
GNG4,18,20,-1.38703102067649
PMCH,18,20,-1.07165645360294
MUC5AC,18,18,-2.76326812982055
CLCA1,18,18,2.66192282190545
PDX1,18,16,-3.18543273611315
VAMP2,18,16,1.00009909240715
HTR1D,18,16,-2.77529744542971
CALB2,18,16,1.71018217145722
NEUROD1,18,16,3.21678688834122
GNAO1,18,16,1.62542027978401
MUC2,18,16,1.47006619853903
EDNRA,18,14,-1.34198406043598
KRT20,18,14,1.85907876139655
EDN3,18,14,2.24810689504049
STX1A,18,14,-1.15707746102711
CHGB,18,14,2.47778769113031
OXTR,18,14,-1.23756194911682
NKX2-2,18,14,2.91194203837976
NEUROG3,18,14,1.9092396096316
CNR1,18,12,2.61346965261148
NMU,18,12,-1.90608926624749
SOX10,18,12,2.33323357086661
PNOC,18,12,1.56317366309661
ESR2,18,12,1.00279944523786
GUCA2A,18,10,4.01274114678007
ADRA2A,18,10,1.13124394161359
MS4A12,18,10,3.98586783125521
SSTR5,18,10,-1.99687031300643
SSTR1,18,10,1.16571777580285
SSTR2,18,10,1.75857514572169
GPER1,18,10,1.35971768352548
SCG2,18,10,2.02210056716939
AQP8,18,8,5.00247709801887
ABCC8,18,8,2.56320783630523
HTR7,18,8,1.68161166169961
SCG3,18,8,2.50207358188323
