Symbol,Drug,Approved,InteractionType,Sources,Score,PMIDs
ROS1,CRIZOTINIB,TRUE,inhibitor,CGI; TTD; MyCancerGenomeClinicalTrial; MyCancerGenome; CIViC; DoCM; PharmGKB; OncoKB; CancerCommons; TALC; FDA; CKB-CORE,1.39210129490361,37587872; 29268402; 30327151; 28532565; 34459458; 36563965; 25667280; 30285222; 31584608; 30980071; 30978502; 29636358; 32669708; 25264305; 32918045; 25688157; 23724914; 26372962; 25351743; 25733882
ROS1,TAMATINIB,FALSE,"",DTC,0.0134269029215241,""
ROS1,ERLOTINIB,TRUE,"",CKB-CORE,0.0194210560114902,""
ROS1,LORLATINIB,TRUE,"",CGI; TTD; CIViC; PharmGKB; FDA; CKB-CORE,1.00391920305549,37587872; 30285222; 31669155; 29074098; 33685866; 32918045
ROS1,OSIMERTINIB,TRUE,"",CKB-CORE,0.0776842240459606,""
ROS1,BRIGATINIB,TRUE,"",CIViC; CKB-CORE,0.395483322415799,32462394; 27780853
ROS1,FORETINIB,FALSE,"",CIViC,0.0572410071917605,""
ROS1,PEMETREXED DISODIUM,TRUE,"",CKB-CORE,0.0836599335879576,36952645
ROS1,NEFLAMAPIMOD,FALSE,"",DTC,0.181263189440575,""
ROS1,TALETRECTINIB,FALSE,inhibitor,ChEMBL; CKB-CORE,0.435031654657379,32591465; 38822758
ROS1,ALISERTIB,FALSE,"",DTC,0.0226578986800718,""
ROS1,ZIDESAMTINIB,FALSE,"",CKB-CORE,2.1751582732869,37587872
ROS1,JNJ-7706621,FALSE,"",DTC,0.01977416612079,""
ROS1,TALETRECTINIB,FALSE,"",TTD,0.543789568321724,""
ROS1,HESPERADIN,FALSE,inhibitor,DTC,0.0271894784160862,19035792
ROS1,CP-547632,FALSE,"",DTC,0.0247177076509875,""
ROS1,SNS-314,FALSE,"",DTC,0.0258947413486535,""
ROS1,PEMBROLIZUMAB,TRUE,"",CKB-CORE,0.0659138870692999,36952645
ROS1,ALK INHIBITOR TAE684,FALSE,"",CIViC,0.271894784160862,""
ROS1,PF-562271,FALSE,"",DTC,0.010070177191143,""
ROS1,AZD3463,FALSE,"",CIViC,0.21751582732869,""
ROS1,SB202190,FALSE,"",DTC,0.0302105315734291,""
ROS1,ILORASERTIB,FALSE,"",DTC,0.00937568221244352,""
ROS1,RG-1530,FALSE,"",DTC,0.0115699908153558,""
