Symbol,n_studies,method_used,pooled_log2FC,pooled_se,rem_pvalue,I2,tau2,Q,Q_pval,vote_up,vote_down,fisher_pvalue,rem_padj,fisher_padj
CEACAM16,3,REML,-1.546982128082,0.289589579756796,9.19361264198926e-08,0,0,0.946197049135855,0.623068680580923,0,2,1.45035672039481e-06,2.22567384593834e-05,3.05774252117161e-06
KRTAP5-1,2,REML,-1.37271003528912,0.257990152185552,1.03320662769453e-07,0,0,0.343427748835078,0.557857311159298,0,2,4.41810625894151e-07,2.4172476823518e-05,1.00139125906113e-06
MX2,7,REML,1.19087429612035,0.224243113831599,1.09241340622928e-07,56.1194293829529,0.186160270573038,13.7456928467328,0.0326095781868835,4,0,2.86128381548458e-18,2.5187253448843e-05,3.57020895847406e-17
DLEU7,4,REML,1.140703598421,0.216586296810168,1.38868062980566e-07,0.00142474883054625,3.38999908160085e-06,3.34770505377693,0.341057988720891,2,0,3.9122125269997e-06,3.06840557494142e-05,7.71052887661524e-06
MYCL,7,REML,-1.74278003152385,0.331866883343619,1.5091221096952e-07,65.6881736420537,0.498447988161075,17.2249698244449,0.00849105366105189,0,5,1.03809826486493e-20,3.28885255385493e-05,1.90705603876862e-19
CDH13,7,REML,1.25115305373434,0.238608945022392,1.57533566707268e-07,33.383129962515,0.128379631149648,9.40792550857714,0.151902780199528,3,0,2.21087068795778e-10,3.29763356940254e-05,8.40849671879522e-10
CD300C,6,REML,1.02634061668023,0.196148713526447,1.6726738479157e-07,0,0,4.39314112152433,0.494306798874191,3,0,1.06063671236737e-05,3.41161131365268e-05,1.97283636818104e-05
C1QTNF6,7,REML,1.27177104199795,0.243898105027688,1.84458987601773e-07,57.2763219824826,0.223644824619344,13.0369263032019,0.0424532877109162,4,0,1.47367462954158e-14,3.66819754219576e-05,1.06180659788845e-13
IFI6,7,REML,1.90045406906538,0.375118601474755,4.05675306728386e-07,68.5254078988374,0.650364359586621,18.9509326838189,0.00424730763217411,5,0,7.62354733885623e-24,6.93079818038204e-05,2.26697223577316e-22
BSPRY,7,REML,-1.05535123796699,0.209944553289931,4.98707775818446e-07,58.7441660370303,0.167879253994533,14.012987638832,0.0294914207510056,0,5,4.06487248214802e-17,8.17932165515017e-05,4.2516802313276e-16
IMPA2,7,REML,-1.32904200439289,0.264718348959339,5.15133028616319e-07,63.7903366538158,0.292376565482457,15.6038533114472,0.0160458089667284,0,4,1.63430412474179e-20,8.29545061415798e-05,2.91808578232515e-19
PRB4,2,REML,-1.83270526194833,0.36923844079948,6.92434485743431e-07,0,0,0.0990788928158772,0.752937811095884,0,2,3.38889918715627e-06,0.000104913716511355,6.74262095653691e-06
PRB2,2,REML,-1.99332376214222,0.407327425178716,9.89755087403847e-07,0,0,0.765481831721274,0.381618423260525,0,2,3.17809396768792e-06,0.000138122927065858,6.34860584278593e-06
TBX18,6,REML,1.4279670195557,0.292728690795689,1.07099279959166e-06,27.2067823659589,0.139169324701851,7.33029382387835,0.197211830700832,3,0,1.76588937288192e-07,0.000147832760152209,4.24309530783543e-07
SSC5D,7,REML,1.26532666527268,0.260283392709914,1.16592447071515e-06,61.499241462013,0.269405084043616,14.4727375093595,0.024778886120041,4,0,2.75682508276529e-16,0.000157192308513621,2.54103883208071e-15
HSD17B8,7,REML,-1.03145116419385,0.214198904095714,1.46913007419575e-06,72.7178665584176,0.226388785764977,18.6358850975582,0.00482486937593015,0,4,5.5699348332368e-21,0.000186979122803041,1.07148843122085e-19
S100A13,2,REML,-1.21063756992011,0.253710762467549,1.82656277385613e-06,21.5931646636959,0.0280182392655762,1.27539900789361,0.25875626791582,0,1,1.69662507312349e-07,0.000225315230195201,4.09087727922424e-07
SLC25A45,7,REML,-1.51238967731433,0.316951480582282,1.82699507795467e-06,83.890264963988,0.585176348918638,39.2984086030892,6.25536983111322e-07,0,5,2.1731334893473e-42,0.000225315230195201,4.73594255918167e-40
CD80,6,REML,1.45476675973538,0.305321977153134,1.89137492986898e-06,36.7954438240371,0.199817831233295,8.6534144217593,0.123712792606559,3,0,2.37965092157511e-09,0.000231460644302198,7.66974605172982e-09
ADAMTS6,7,REML,1.56939012070779,0.329969325459585,1.97300594728688e-06,73.9084325926915,0.549735150555477,22.4565845123159,0.00100048587689578,4,0,7.77073109992555e-27,0.000234965646505334,3.4340155852421e-25
ST6GALNAC5,7,REML,1.37692644054838,0.291499086732202,2.3170064635568e-06,41.6007052509202,0.240267791279695,10.5629418534769,0.102860511507335,4,0,9.88657633948436e-09,0.000269551870775659,2.89873835209835e-08
GCKR,5,REML,1.27771569427598,0.270742899394583,2.36663051373281e-06,0,0,2.72954307292158,0.604054942305416,3,0,0.000124971708566054,0.000271907646206464,0.000198857262610258
ADM,7,REML,1.48066434892113,0.314490240945399,2.49986353393828e-06,55.4393972866047,0.369931617964407,13.3702315872305,0.0375192110518465,4,0,2.93992543184588e-11,0.000280072739164959,1.28070300370307e-10
C16orf96,3,REML,-1.58036300509594,0.337049861862177,2.74797418267061e-06,0,0,0.451835473785422,0.797783727134699,0,2,4.18761578017143e-05,0.000291146133999133,7.16044491044145e-05
