Symbol,Module,Degree,Log2FC
OSCAR,6,4,1.85853931521841
RNASE6,6,4,1.33291581304224
ESM1,6,4,2.51037310210192
GP2,6,4,-6.7732235532723
DOK3,6,4,1.45759303387821
CARMIL2,6,4,1.50079365874335
LAT2,6,4,1.55741408614529
TASL,6,4,1.11756198971701
CLEC4A,6,4,1.03484016661599
SIRPG,6,4,2.2374234963514
SIRPB1,6,4,1.3853979576902
MS4A4E,6,4,1.45544333897433
P2RY8,6,4,1.22540341325958
CD200R1,6,4,1.638913631804
ELF5,6,4,-4.43895246260128
SIGLEC15,6,4,1.10483670985294
CCL23,6,4,-1.24298801639881
CENPV,6,2,-1.13163151593628
MSRA,6,2,-1.91336728693084
SNX20,6,2,1.98136870636752
ANXA4,6,2,1.35059974119692
CEACAM1,6,2,-1.51602778947057
CD101,6,2,1.14010457710289
IGSF6,6,2,1.79466940986606
SLC15A4,6,2,1.40279919283161
EBI3,6,2,1.86860421499905
KISS1R,6,2,5.71499938499962
SIGLEC10,6,2,2.32198725708431
PCDH17,6,2,1.42927789844153
SLC15A3,6,2,1.35448771009166
LAMP3,6,2,1.62905783214254
DNAH11,6,2,3.46974522088403
GAB3,6,2,1.10986665959901
RASSF2,6,2,1.68543201929712
RNASET2,6,2,2.16455182883914
ZBP1,6,2,1.42360793626723
CLEC2B,6,2,1.46498209977659
MAL2,6,2,-1.70766332558552
LST1,6,2,1.50113671243048
MECOM,6,2,-1.61051929842443
PLIN4,6,2,-1.78798412847181
SIGLEC14,6,2,1.32038936893295
JAML,6,2,1.07020063537152
BCL11B,6,2,1.36797376358366
RAB3B,6,2,-2.13181217112447
MPEG1,6,2,1.18191766767285
PRAP1,6,2,-2.40989074581438
PAG1,6,2,1.29195692651999
OR51E1,6,2,1.86503555454276
TMIGD3,6,2,1.78244980311165
NAPSA,6,2,-2.10700075100049
GZMM,6,2,1.29586521698099
DEFB1,6,2,-2.27408949344791
NAT8,6,2,-2.46037648379388
BPI,6,2,-2.81434128666573
CRTAM,6,2,1.81348603524049
TACR1,6,2,-1.07938927537874
NEXMIF,6,2,-1.7272018050176
GPR85,6,2,1.43016716169827
CLEC12B,6,2,1.53721226449257
EGFR,7,202,1.18138928815754
CD44,7,190,1.30015300147531
FN1,7,180,2.04699985076041
ALB,7,144,-4.85935104763255
EGF,7,118,-3.50832216501954
MMP9,7,106,2.76738258661295
TGFB1,7,98,1.50558994622751
COL1A1,7,90,1.74980754043125
COL1A2,7,76,1.19356710656054
ITGA4,7,74,1.29345265555618
APOA1,7,70,-2.45569959299127
IGF2,7,66,-1.43169749145122
DCN,7,60,-2.65556172161
LEP,7,60,-3.12128014220933
ITGA8,7,58,-1.18514381086058
ITGA5,7,58,1.43381563789975
VTN,7,58,-1.83310312493089
VWF,7,54,2.6583816629043
COL3A1,7,54,1.02098716319345
LUM,7,52,-1.35464743317465
ITGB6,7,52,-1.45242663100466
COL4A1,7,48,1.32982239642818
C3,7,48,3.00198826670907
PLG,7,48,-4.8788029327137
ACAN,7,46,1.82904664577028
COL4A2,7,46,1.0031854922392
ERBB4,7,46,-3.58084143834145
PDGFRA,7,44,-2.36014256196756
MET,7,44,1.42273378252751
FGF7,7,44,-1.65268242342103
FGF10,7,44,-2.67722610043854
RUNX2,7,42,1.41863469036087
COL5A1,7,42,1.18014307640044
CAV1,7,42,1.39565993967334
CCN2,7,40,-1.4910371635785
COL6A2,7,40,1.19422957140803
SERPINE1,7,40,1.3905476164335
TIMP1,7,38,1.44995642652887
NTRK1,7,38,-2.43212012119511
FGF9,7,38,-3.45877224116752
COL5A2,7,36,1.51605206606304
TEK,7,36,-1.42798276394218
COL6A3,7,36,1.28747794548538
PXDN,7,36,1.03050241770113
NTRK2,7,34,-1.83619684278835
COL4A5,7,34,-1.45428127589356
FLT1,7,34,1.1340318422576
SPARC,7,32,1.103049668347
COL4A3,7,32,-1.59595524230761
LOX,7,32,2.26651137126844
TGFA,7,32,1.25601021555899
VCAN,7,30,2.42212600535928
PLAT,7,30,-1.76804486589931
FGF1,7,30,-4.05432431858831
PGF,7,30,2.79261300984019
TLN2,7,30,-1.30670891024414
FGFR3,7,30,-1.90001257135295
NPHS1,7,28,-5.69626736422058
COL11A1,7,28,1.60241251133022
MMP14,7,26,1.29614002296551
SERPINH1,7,26,1.10705399982273
COL15A1,7,26,1.16994191095674
EPCAM,7,26,-1.87399519167155
PLAUR,7,26,1.00988608130346
