Cluster,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
kidney,GO:0008202,steroid metabolic process,67/2534,345/18860,0.194202898550725,1.44540910286767,3.28949717146829,0.00109013344600972,0.00783033277885923,0.00542132359115101,5156/2330/3624/79154/2053/2235/5105/6799/6338/2246/30/51302/29881/476/10901/847/8309/3291/5629/93517/341/2538/1594/1586/8435/949/5087/9619/11001/2672/8542/19/7108/653/3988/1066/55911/622/1576/335/185/27329/3158/7364/1582/5618/7367/1555/1591/133/1958/3949/1551/283238/3952/2638/80270/10720/8029/3284/114880/340895/10170/7366/3294/1559/866,67
kidney,GO:0106106,cold-induced thermogenesis,35/2534,154/18860,0.227272727272727,1.6915405036952,3.39476922752684,0.00109612407631896,0.00786389977349504,0.00544456366855799,3033/7852/63976/2628/51393/3910/6319/94097/2697/283455/2104/5334/26027/7422/64641/5020/1051/50486/5618/10891/1621/3397/4883/2171/58495/7480/3952/10644/729230/857/153/3662/948/249/338557,35
kidney,GO:0042398,modified amino acid biosynthetic process,15/2534,48/18860,0.3125,2.3258681925809,3.62348297535658,0.00111770051124618,0.00798988545105201,0.00553178973482822,25902/34/2628/3029/2643/23657/6470/55349/124975/8424/5352/1159/1152/2348/548596,15
kidney,GO:0061383,trabecula morphogenesis,15/2534,48/18860,0.3125,2.3258681925809,3.62348297535658,0.00111770051124618,0.00798988545105201,0.00553178973482822,7049/6422/7010/1277/1101/9241/653/7422/23462/54567/655/5950/58495/7480/3084,15
kidney,GO:1905521,regulation of macrophage migration,15/2534,48/18860,0.3125,2.3258681925809,3.62348297535658,0.00111770051124618,0.00798988545105201,0.00553178973482822,4323/54209/719/6352/1524/1436/6348/56833/4192/131450/284340/729230/26228/64805/59341,15
kidney,GO:0021700,developmental maturation,70/2534,364/18860,0.192307692307692,1.43130350312671,3.27353891809936,0.00112398279206741,0.00801140024838773,0.00554668548468318,91851/59277/3786/5064/891/5745/11173/150726/991/5364/27185/860/84966/5880/6790/64581/63827/675/695/1028/9319/8854/2252/2624/1524/2625/29842/7040/6366/6855/718/81792/2261/5979/712/525/7422/9148/558/4929/2528/2591/26470/65010/5798/6690/9928/3753/1672/1811/10882/7480/3952/5649/5972/816/163175/55612/50617/163589/1600/57549/1001/9389/56165/4747/2302/388364/127124/6363,70
kidney,GO:0002486,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent",7/2534,14/18860,0.5,3.72138910812944,4.01298749267437,0.00113143989962447,0.00801140024838773,0.00554668548468318,80328/3134/3106/3135/3107/3105/563,7
kidney,GO:0006568,L-tryptophan metabolic process,7/2534,14/18860,0.5,3.72138910812944,4.01298749267437,0.00113143989962447,0.00801140024838773,0.00554668548468318,125061/23475/259307/3620/2639/130013/6999,7
kidney,GO:0042363,fat-soluble vitamin catabolic process,7/2534,14/18860,0.5,3.72138910812944,4.01298749267437,0.00113143989962447,0.00801140024838773,0.00554668548468318,56603/1594/4051/8529/1576/1591/66002,7
kidney,GO:0045091,regulation of single stranded viral RNA replication via double stranded DNA intermediate,7/2534,14/18860,0.5,3.72138910812944,4.01298749267437,0.00113143989962447,0.00801140024838773,0.00554668548468318,7153/57379/27350/60489/200316/140564/164668,7
kidney,GO:0051231,spindle elongation,7/2534,14/18860,0.5,3.72138910812944,4.01298749267437,0.00113143989962447,0.00801140024838773,0.00554668548468318,55143/24137/29127/9055/3832/332/9212,7
kidney,GO:0060707,trophoblast giant cell differentiation,7/2534,14/18860,0.5,3.72138910812944,4.01298749267437,0.00113143989962447,0.00801140024838773,0.00554668548468318,10733/639/79733/5340/2709/144455/2001,7
