Symbol,n_cancers,n_up,n_down,mean_lfc
STRIP2,3,1,2,-0.628061826682681
STUM,3,2,1,0.608898023530192
SUGCT,3,1,2,-0.321928757167908
SULF1,3,1,2,-0.665920484467502
SULT1B1,3,2,1,0.691851439108939
SYT12,3,1,2,-0.577745234640329
TACSTD2,3,1,2,-1.5521836820734
TBX15,4,2,2,0.119281831175414
TCEAL2,3,2,1,0.262381344323375
TDO2,3,1,2,-1.00845241291119
TEDC2,3,1,2,-0.583168108719462
TENM2,3,1,2,-0.47804422843161
TGFBI,4,2,2,0.0548601057777803
THBS2,3,1,2,-0.638267933312535
THY1,3,1,2,-0.875274031656285
TIMP1,4,2,2,0.0544448660713101
TLR3,3,3,0,1.2058973871988
TMEM125,3,1,2,-0.400382849514251
TMEM132A,4,2,2,0.0438988254529984
TMEM132C,3,2,1,0.458786593946207
TMEM238L,3,2,1,0.50842283827084
TMEM35A,3,2,1,0.483037081730149
TMEM61,3,2,1,-0.244995134230457
TMEM74,3,2,1,0.325900155314304
TNFAIP6,3,1,2,0.0163422263256615
TNS4,3,0,3,-1.82926107837393
TOP2A,3,1,2,0.011490651043307
TPX2,3,1,2,-0.201315181613266
TREM1,4,2,2,-0.449330175845131
TRIP13,3,1,2,-0.764290440213052
TROAP,3,1,2,-0.0763030603783928
TRPV6,3,2,1,-0.452160508136261
TST,3,2,1,0.233203159890732
TTK,3,1,2,-0.0455768378023331
TTYH3,3,1,2,-0.618797006204626
TUBB3,4,2,2,-0.0484397028973494
TWIST1,3,1,2,-0.493771070954475
TYRO3,3,1,2,-0.62352523739623
UBE2C,3,1,2,-0.268421613141462
UBE2T,3,1,2,-0.483967277575827
UCHL1,3,1,2,-0.91016882248293
UHRF1,3,1,2,0.00714260550223759
UNC93A,3,1,2,-0.963449939030101
USP2,3,2,1,0.475021518739468
VAT1L,3,2,1,0.00411682194193985
VIP,3,3,0,1.6104584597282
VSIG2,3,2,1,1.57292616870301
WDR62,3,1,2,-0.385959458401498
WDR72,3,0,3,-2.17167952070731
XPNPEP2,3,2,1,-1.0991290234157
XRCC2,3,1,2,-0.511871344873322
ZBTB16,3,2,1,0.9178672156589
ZNF469,4,2,2,-0.165638932350169
ZNF662,3,2,1,0.621549280356423
ZNF676,3,2,1,0.907648153927011
ZNF695,3,1,2,-0.872154878418891
