GeneID	GSM2359144	GSM2359145	GSM2359146	GSM2359147	GSM2359148	GSM2359149	GSM2359150	GSM2359151	GSM2359152	GSM2359153	GSM2359154	GSM2359155	GSM2359156
105369959	2	7	3	3	1	2	18	5	15	7	5	5	0
107984435	4	5	4	5	6	7	42	7	44	17	3	6	0
105369960	3	3	4	3	4	3	32	3	34	12	0	1	3
9891	333	676	573	528	503	981	320	379	99	1915	850	1003	488
10970	527	1263	3624	3312	685	2557	986	869	385	1615	1311	1218	716
255394	546	663	364	1078	789	892	429	363	94	621	1075	767	446
55703	400	533	542	405	657	548	273	296	148	431	1010	312	287
100287944	14	24	14	13	21	17	21	5	11	11	27	9	9
5992	17	12	3	25	10	29	106	13	100	40	21	15	12
100505978	5	3	5	6	12	4	17	2	18	4	7	0	0
55188	810	1379	501	1625	1348	1609	562	530	284	556	1668	809	647
105369961	13	38	12	42	32	17	15	10	19	19	30	29	2
90488	746	1302	1903	2255	1171	2335	976	957	82	1229	2624	721	635
80298	682	946	628	997	954	1114	446	605	95	495	1955	447	516
1407	358	891	466	708	531	905	317	339	74	308	999	342	264
121551	337	268	500	948	405	244	249	139	112	286	878	623	351
11137	594	995	1713	1398	1067	3006	594	446	94	743	1459	632	458
11108	1072	1305	990	1217	1779	1224	334	660	134	604	2335	776	885
101929162	93	146	80	113	152	71	63	37	54	53	161	64	85
121549	4	2	2	0	6	1	20	5	21	7	9	0	6
105369963	17	11	0	0	19	0	3	1	4	2	18	2	24
728739	4	11	1	0	13	2	4	1	5	6	16	6	3
105369964	0	0	6	1	0	0	30	10	36	13	0	0	0
9671	116	87	18	10	67	77	66	66	103	121	218	20	80
105369965	3	8	12	6	8	13	92	8	147	40	8	1	9
1240	267	425	892	1001	314	3163	261	421	167	391	627	302	177
102723562	0	0	1	0	1	0	19	2	22	4	1	0	0
11153	142	280	187	273	219	427	80	230	35	210	438	152	112
9733	927	1243	1969	1721	1149	1770	494	603	176	954	1827	1031	762
23479	1861	2567	879	1588	3850	4938	865	2617	111	612	5685	761	1632
338773	28	178	27	69	55	2256	104	102	37	41	146	187	28
6404	54	253	692	790	52	1614	146	280	78	261	241	368	30
105369968	32	124	96	168	61	102	103	29	88	49	95	140	14
100616240	0	3	0	6	0	3	1	0	6	0	2	8	0
23603	703	3597	6726	7278	1944	6287	2487	1373	438	1938	2319	2158	756
105369969	0	2	0	0	3	1	14	3	18	2	2	0	0
54434	1012	1795	2609	2377	1473	2486	699	845	336	2552	2493	1702	1318
101929204	124	150	296	224	107	111	45	39	54	188	146	219	126
693204	7	3	13	10	13	7	4	5	5	7	17	14	12
1610	424	160	4	9	2368	16	52	424	64	6	1125	0	175
