Symbol,n_studies,method_used,pooled_log2FC,pooled_se,rem_pvalue,I2,tau2,Q,Q_pval,vote_up,vote_down,fisher_pvalue,rem_padj,fisher_padj
WRAP53,16,REML,-0.558242554145314,0.101151959858814,3.41224135658895e-08,79.5661129131206,0.109745842960388,85.0432268894644,8.25911128670782e-12,0,3,1.57502003138103e-29,5.20823803490072e-07,5.22916438851403e-29
POLA2,15,REML,-0.788581589543501,0.142932267192159,3.4450252302215e-08,89.7262074426277,0.243510069612795,135.603859961161,5.29294068884275e-22,0,8,3.47118996605904e-50,5.25358664680076e-07,2.1570335321621e-49
ZNF593,15,REML,-0.58221674062355,0.105562156894563,3.48002181392e-08,76.3315878982005,0.107655931323225,63.1187583754577,3.30607314578152e-08,0,1,2.43095392515125e-30,5.30222574946189e-07,8.30810822680141e-30
ATPSCKMT,15,REML,-0.384461971715424,0.0697185590061756,3.49802057718479e-08,53.6502342586968,0.0317264396706201,29.4294215669127,0.00913718105963249,0,0,3.15130142190706e-13,5.32490309590152e-07,5.59703873324688e-13
TP53I3,15,REML,1.64087211757088,0.297625865279295,3.52359366560752e-08,96.3988522559537,1.23198688221975,299.528312552153,1.4825219902996e-55,10,0,3.61213295746885e-190,5.35572391006515e-07,3.54881683378908e-188
TENT4A,15,REML,-0.403999073769144,0.0732802543623405,3.52630583116179e-08,64.4546095128811,0.0436666497672625,39.0829560712224,0.000354120789269846,0,2,1.79965744460711e-16,5.35572391006515e-07,3.69906745407703e-16
JMJD4,15,REML,-0.26567126988245,0.0481899566103707,3.52766605600079e-08,24.0082682293924,0.00711207274231284,17.6391356814174,0.223713795995647,0,0,2.62084076132701e-08,5.35572391006515e-07,3.70826624854207e-08
INO80C,15,REML,0.590973557139872,0.107208743692269,3.54046912002549e-08,71.9801569398965,0.102366282807483,58.7927738019364,1.90802891200505e-07,3,0,1.30678009198453e-37,5.37039215677335e-07,5.59324128003892e-37
TGIF1,15,REML,-0.661574725907578,0.120071078285332,3.59121002725823e-08,76.8889320892447,0.150264171099253,57.5235363605058,3.17366836915738e-07,0,4,8.82866491303623e-45,5.44252973545917e-07,4.67407948864523e-44
ABAT,15,REML,1.14648927920979,0.20813761506156,3.62267579836155e-08,90.7043730147623,0.553906189004407,112.422362109626,1.89422224804427e-17,8,0,6.4004664860254e-57,5.4853536557122e-07,4.80315955129957e-56
ILF3,15,REML,-0.410870456359634,0.0746106007261073,3.65281532476286e-08,81.3102617858806,0.0577563505316197,55.5313859021972,7.01516110687403e-07,0,2,9.18200165665729e-34,5.52175328800177e-07,3.50293055836993e-33
TBL2,15,REML,-0.463398249065773,0.0841494688369185,3.65317517913425e-08,75.5100266681966,0.0683759520330529,45.6519151727701,3.19558364952459e-05,0,0,2.50710937509564e-34,5.52175328800177e-07,9.74068971983183e-34
ANOS1,15,REML,-1.12884712331829,0.205011090940066,3.6650912569482e-08,84.748126046211,0.491283290483265,117.690995392767,1.78025408516358e-18,0,9,4.97419749403319e-60,5.5348705863542e-07,4.00725288221005e-59
THBS2,15,REML,-1.96879778624105,0.357578563863518,3.67252164825886e-08,94.2093634747593,1.74811111054808,196.999238508931,2.25128581366596e-34,0,11,7.89697434217486e-138,5.54119660873656e-07,3.37496940948698e-136
ZNF582,13,REML,0.953491130520649,0.173205679755483,3.69242518311916e-08,73.3705181548906,0.231586430731902,43.9111925541907,1.58127575548301e-05,6,0,7.77650171736691e-23,5.56631468301781e-07,2.02527874555739e-22
SCIN,15,REML,2.37358506536654,0.431243513445324,3.71168090202897e-08,95.5533952729587,2.55123592789738,225.485752639196,3.27430454146609e-40,11,1,1.5760823863729e-220,5.59041277710884e-07,2.51804938271445e-218
ZNF7,15,REML,-0.28785670663601,0.0523015041488218,3.71703771191239e-08,45.0260949863996,0.0151900078393511,23.0413873612075,0.0595995959797865,0,0,1.2167562297312e-11,5.59355278918506e-07,2.007765226569e-11
RHBDL2,15,REML,1.19805280234864,0.217684075527683,3.72048075983456e-08,90.1373524350231,0.594827792361402,86.732266373968,1.56608281425947e-12,8,0,4.08107398793991e-64,5.59380990231941e-07,3.6298626339143e-63
SMDT1,15,REML,0.752191320220397,0.136679003331603,3.72658189544149e-08,90.0543268911405,0.233405604724022,89.8737903923542,4.00921597627065e-13,3,0,8.83931632229504e-93,5.59805953449668e-07,1.58228390083386e-91
ZNF274,15,REML,0.561758365110555,0.102088494741158,3.74101608405145e-08,79.1656851697066,0.107172975752859,51.0579889024337,4.05587279386395e-06,3,0,5.1681812053324e-31,5.61480860025105e-07,1.80527294044049e-30
PLAC8,15,REML,1.75471717123169,0.318894292022264,3.74434370338192e-08,90.8596872671491,1.29582018920573,148.673794829551,1.32372627805736e-24,10,0,1.42766417428716e-86,5.61487329906262e-07,2.20868045786779e-85
KBTBD6,15,REML,-0.397613923007281,0.072267821342155,3.75613979100986e-08,53.4036858834162,0.0348990658215293,27.8732806990731,0.014788969414784,0,0,1.84707630902428e-16,5.62762574297227e-07,3.79425252376473e-16
STK24,15,REML,1.03276443578178,0.187738175572184,3.77452341394787e-08,94.7097238018291,0.472541012963383,182.649302453124,1.8774479820953e-31,5,0,1.35673157896219e-103,5.64142333440892e-07,3.06384760136837e-102
TMEM38B,15,REML,-0.755009951456892,0.137248124318552,3.77518062561433e-08,81.1738894160266,0.197614217835649,54.0982970718019,1.23584235017084e-06,1,6,8.62683546311459e-36,5.64142333440892e-07,3.49800171351859e-35
TSFM,15,REML,-0.392969399773953,0.0714352761419247,3.77524907549799e-08,63.3748773398977,0.0414849924650057,35.5713560388173,0.00120917510087633,0,0,6.86459801993296e-20,5.64142333440892e-07,1.60819930314861e-19
EXOSC2,15,REML,-0.508905588609204,0.0925279684500209,3.79750230871652e-08,79.7950913434471,0.0884186405056135,58.2218461103532,2.3995243383844e-07,0,2,2.6568561476346e-28,5.66972069585231e-07,8.46263384457116e-28
WDFY3,16,REML,0.318343516371713,0.0578895606614454,3.81621203730894e-08,72.329867284176,0.0324351690701989,61.7901297005638,1.23844624191937e-07,0,0,9.72693476500858e-25,5.69268279038363e-07,2.73580042461042e-24
THSD4,15,REML,1.81429452376903,0.329976154178153,3.83558206882656e-08,95.0583914296371,1.47268325909248,307.351722673901,3.45860672028505e-57,10,0,2.11355166697723e-186,5.7149648106625e-07,1.97438064191124e-184
CSTB,15,REML,2.87461757359995,0.522833040830618,3.83783539200968e-08,98.0449869194563,3.82510740033666,1079.53125965031,1.3289536095602e-221,11,0,0,5.7149648106625e-07,0
FBXL17,15,REML,0.715073710901443,0.130064516713417,3.84474739891642e-08,90.1326025128416,0.206132514507364,85.4437407734202,2.7327800896951e-12,2,0,8.49083514078424e-55,5.72027474190393e-07,5.98560110233841e-54
ADAMTS12,14,REML,-2.99413354360825,0.544835892873466,3.89654004273234e-08,97.5836390514677,3.96408355786458,390.305148361359,2.49174077165261e-75,0,10,0,5.79229148091385e-07,0
DBR1,15,REML,-0.686648683311704,0.12498257115609,3.930295812584e-08,84.6655646913146,0.173872953695049,81.016942354397,1.83192748304602e-11,0,3,1.62134080633767e-44,5.83739417168753e-07,8.51515240686405e-44
ZBTB7C,15,REML,1.40558033500272,0.256018412075208,4.01584990985563e-08,90.9833396200986,0.849025642588298,173.636020367653,1.26025027967079e-29,10,0,1.18432874993331e-90,5.95376480717206e-07,2.02258741060039e-89
CIBAR1,15,REML,-0.883419031137099,0.160911880151043,4.01752635085418e-08,91.4516794486007,0.319970680046662,109.980094493809,5.64463870314885e-17,0,5,9.19976414790686e-73,5.95376480717206e-07,1.01858787635018e-71
STIP1,15,REML,-0.581876869039893,0.105988295899576,4.01909598565461e-08,83.9313773904911,0.122547717495991,71.4768072489394,1.04130391342331e-09,0,3,1.01443083281085e-61,5.95376480717206e-07,8.5050000426197e-61
CKS1B,16,REML,-1.10923790841726,0.20208626904298,4.0436989384626e-08,93.717047727822,0.571776244874225,155.787325773221,1.70273931975715e-25,1,10,1.28211409475961e-116,5.98502453272884e-07,3.9138822231992e-115
CRYZL1,15,REML,0.472385501388431,0.0860780565989374,4.06800792110288e-08,76.3252613584575,0.0695381087735429,51.0969141696414,3.99509558775537e-06,2,0,5.47380793778843e-24,6.0157954508005e-07,1.49647763787771e-23
SOX4,15,REML,-1.5729870334235,0.28665602366579,4.07967125776502e-08,94.54493269459,1.11292776517813,175.580088545825,5.09298748873784e-30,0,12,1.47326259542739e-112,6.02782888085506e-07,4.04910354804362e-111
SCNN1A,15,REML,1.63973220165563,0.298910580520666,4.11847546070177e-08,92.2760039154641,1.17227580203004,200.536371116843,4.26813365855603e-35,11,0,3.35623449344142e-108,6.07990829021561e-07,8.38813284581595e-107
SPRR3,14,REML,4.49526063223132,0.819493409329064,4.12502167335165e-08,96.1339626292322,8.56812370809672,402.130386897096,7.93620696517937e-78,11,0,1.10799087351684e-262,6.08431799015931e-07,2.66776112433385e-260
RPL34,15,REML,0.552042975672077,0.100642360417361,4.1301348911068e-08,82.8264945663812,0.112244217927942,81.10877371009,1.76132311253751e-11,4,0,1.03875981607985e-42,6.08574084238467e-07,5.19836037935744e-42
CAPN7,15,REML,0.395753091208858,0.0721512584427269,4.13357961511687e-08,75.8944719009323,0.0473877364661763,81.1877973966961,1.70273830504921e-11,0,0,4.92363950439949e-25,6.08574084238467e-07,1.40049280079383e-24
MAOA,15,REML,0.977018127039372,0.17812819363467,4.13666619412166e-08,83.996188127382,0.351817522954992,82.1763170357668,1.11475380192606e-11,8,0,3.54271451920007e-42,6.08574084238467e-07,1.74281164620792e-41
ADAMTS2,15,REML,-2.83905482806493,0.517668548179623,4.15086186295035e-08,97.7210469435879,3.79123163890262,445.939498102171,2.56686752769242e-86,0,12,2.08441489610507e-259,6.10137433767294e-07,4.81528008769137e-257
