"Symbol","colorectal","esophagus","kidney","liver","pancreatic","padj_colorectal","padj_esophagus","padj_kidney","padj_liver","padj_pancreatic","n_cancers"
"TACC3",NA,0.884098426367412,NA,NA,NA,NA,0.997715338829144,NA,NA,NA,NA
"CDC25C",NA,1.14634185499886,NA,NA,NA,NA,0.997715338829144,NA,NA,NA,NA
"COL6A1",NA,0.930695205858219,NA,NA,NA,NA,0.997715338829144,NA,NA,NA,NA
"AURKB",NA,1.10059725053373,1.61888122057631,NA,NA,NA,0.997715338829144,5.52163287616177e-23,NA,NA,1
"COL4A1",NA,1.07741228006014,NA,NA,NA,NA,0.997715338829144,NA,NA,NA,NA
"MMP2",NA,0.949271714228996,NA,NA,NA,NA,0.997715338829144,NA,NA,NA,NA
"PRC1",NA,1.09762698228645,2.09691050314671,NA,NA,NA,0.997715338829144,3.28031008429768e-21,NA,NA,1
"CENPE",NA,1.08568940959556,1.55246093200137,NA,NA,NA,0.997715338829144,2.79803990005164e-16,NA,NA,1
"BRCA1",NA,0.925348002538427,1.43242195397413,NA,NA,NA,0.997715338829144,0.000169502791192498,NA,NA,1
"TK1",NA,1.06489875035118,NA,NA,NA,NA,0.997715338829144,NA,NA,NA,NA
"SPC25",NA,1.06601671598545,NA,NA,NA,NA,0.997715338829144,NA,NA,NA,NA
"CXCR4",NA,0.969810697546417,1.23312537948563,NA,NA,NA,0.997715338829144,0.000158906917261637,NA,NA,1
"FN1",NA,1.02665708021602,1.23600614495243,NA,1.22107651350865,NA,0.997715338829144,1.91204690476655e-07,NA,0.0242653350661594,2
"CDCA8",NA,1.06126353026524,1.81915837608295,NA,NA,NA,0.997715338829144,1.11648370355496e-22,NA,NA,1
"NDC80",NA,1.0436764583838,1.67079477853027,NA,NA,NA,0.997715338829144,2.60973175104258e-16,NA,NA,1
"SPAG5",NA,0.952687812034727,1.33773727914106,NA,NA,NA,0.997715338829144,1.41724425952775e-08,NA,NA,1
"ZWINT",NA,1.04808666367622,1.64358203504552,NA,NA,NA,0.997715338829144,6.94734270339671e-07,NA,NA,1
"COL5A2",NA,1.02214201844658,NA,NA,1.24383813347084,NA,0.997715338829144,NA,NA,0.0259908709295622,1
"OIP5",NA,1.02871855514669,NA,NA,NA,NA,0.997715338829144,NA,NA,NA,NA
"RFC4",NA,1.03211929792693,NA,NA,NA,NA,0.997715338829144,NA,NA,NA,NA
"DEPDC1",NA,1.02566619858737,NA,NA,NA,NA,0.997715338829144,NA,NA,NA,NA
"RAD51",NA,1.02414457267481,1.63654552466011,NA,NA,NA,0.997715338829144,1.39258191703716e-12,NA,NA,1
"COL4A2",NA,0.983088199345757,NA,NA,1.15795843514111,NA,0.997715338829144,NA,NA,0.271149424939151,NA
"BGN",NA,0.988217928229095,NA,NA,1.13316579315284,NA,0.997715338829144,NA,NA,0.263209920678474,NA
"CDCA2",NA,0.982694138640764,NA,NA,NA,NA,0.997715338829144,NA,NA,NA,NA
"WDHD1",NA,0.985816949207456,NA,NA,NA,NA,0.997715338829144,NA,NA,NA,NA
"CENPM",NA,1.011296389054,NA,NA,NA,NA,0.997715338829144,NA,NA,NA,NA
"COL3A1",NA,0.994769790107985,NA,NA,1.2001673251391,NA,0.997715338829144,NA,NA,0.0300575360311148,1
"SKA1",NA,0.99439635804546,NA,NA,NA,NA,0.997715338829144,NA,NA,NA,NA
"TLR2",NA,0.996633108350784,1.15959733045746,NA,NA,NA,0.997715338829144,0.034653684941954,NA,NA,1
"MCM7",NA,0.997084726125612,NA,NA,NA,NA,0.997715338829144,NA,NA,NA,NA
"COL5A1",NA,0.998851406044654,NA,NA,1.21725002897917,NA,0.997715338829144,NA,NA,0.0300575360311148,1
"PBK",NA,1.00071386920222,1.48461851306024,NA,NA,NA,0.997715338829144,1.2071336823223e-12,NA,NA,1
"CCNA2",NA,NA,1.912861925499,NA,NA,NA,NA,1.03307718164317e-21,NA,NA,1
"NCAPG",NA,NA,1.715650309535,NA,NA,NA,NA,3.51647988590059e-18,NA,NA,1
"KIF11",NA,NA,1.73022555505067,NA,NA,NA,NA,5.14742895578155e-17,NA,NA,1
"KIF15",NA,NA,1.48541465454933,NA,NA,NA,NA,1.01930656433416e-14,NA,NA,1
"FOXP3",NA,NA,1.26982157194226,NA,NA,NA,NA,1.52512130624683e-09,NA,NA,1
"GAPDH",NA,NA,1.75956095697207,NA,NA,NA,NA,1.06565494108452e-08,NA,NA,1
"TGFB1",NA,NA,1.52395156757695,NA,NA,NA,NA,1.18156278548003e-08,NA,NA,1
"GZMB",NA,NA,1.23761908494999,NA,NA,NA,NA,1.53899318488951e-07,NA,NA,1
