Symbol,Module,Degree,Log2FC
PTK7,10,6,-1.03418902021441
RORC,10,6,2.49863954448543
IGLON5,10,6,1.20824933102233
LGR5,10,6,-2.28622278752511
PORCN,10,6,1.12646511628406
SALL1,10,6,-1.53199009507451
SPINDOC,10,4,-1.12518864150227
ASCL2,10,4,-1.27429354815904
HEY1,10,4,-1.95583500896187
YEATS2,10,4,-1.0072991976858
ULK3,10,4,1.13829010244504
GLI2,10,4,-2.21211672539685
KREMEN2,10,4,-1.6088455248246
EYA2,10,4,1.26263262561178
TBX6,10,4,1.00925476948596
ADGRV1,10,4,-1.11143602490517
TMEM119,10,4,-1.4414032512654
HEYL,10,4,-1.95404805142903
SOX11,10,4,-2.85929899525289
ZIC1,10,4,-4.6730832986031
ROR1,10,2,1.41669753681567
BAMBI,10,2,-1.5842495132124
SIX4,10,2,-2.95084987523174
CHN1,10,2,-1.43495047123893
POF1B,10,2,1.27966330082676
DPF1,10,2,-3.04351813185159
RSPO2,10,2,1.55639360249729
USH2A,10,2,1.01105457655781
MSGN1,10,2,-1.19308345630428
CCDC178,11,0,1.49099692556734
IVL,12,40,2.33134229937707
SPRR3,12,34,4.49526063223132
TGM1,12,34,2.31223911398598
FLG,12,32,3.86674458943055
SPRR1B,12,32,1.71176529978174
SPRR1A,12,30,2.33098630887842
DSG1,12,28,1.90271863540257
CDSN,12,28,-1.54887191783707
PPL,12,26,2.58481055730046
SPRR2B,12,26,3.18358222491099
S100A10,12,20,1.04951178123405
SPRR2D,12,18,2.79116265915361
SPRR2A,12,18,3.07283783545956
FLG2,12,18,1.7310561486519
EVPL,12,18,1.72047774912341
RPTN,12,18,1.42619937128714
SPRR2G,12,18,1.70359163997518
SPRR2F,12,16,2.88162352262053
SPRR2E,12,16,2.90224426903351
TCHH,12,16,-1.60766968375645
KRT14,12,16,-1.59188398102943
CSTA,12,14,2.67517334980212
TGM3,12,14,4.26046065460968
PKP3,12,14,1.05101900716868
CRNN,12,12,6.50415687625201
SPTLC3,12,12,1.30560064048128
DEGS2,12,10,1.46023342303582
DSG2,12,10,-1.00175021443466
CBS,12,10,-2.18475615819148
CERS3,12,10,1.027528346124
AHNAK,12,8,1.11589625222618
SDS,12,8,-2.78197935359606
CAST,12,8,1.33931390137133
TST,12,8,1.18811271865473
DSC2,12,8,1.19606452925818
SPINK5,12,8,3.85294784568703
CYP4F22,12,8,2.50317271582937
ACER1,12,8,4.65539453837025
SHMT1,12,8,1.00035927154644
SELENBP1,12,8,1.1201116462261
ABCA12,12,8,-1.23835469952197
UGT8,12,8,-1.06435157351994
SQOR,12,6,1.07299217406497
SBSN,12,6,2.81187772871925
CAPNS2,12,6,1.61652986065084
DSG4,12,6,1.55879430293434
KRTDAP,12,6,-1.65295683702005
A2ML1,12,4,3.72454736408793
CAPN5,12,4,2.11027026607511
KRT13,12,4,3.8103114666203
CRCT1,12,4,4.84099339524332
KRT4,12,4,5.7167628794747
GRHL3,12,4,1.62244281484541
KRT78,12,4,4.6976265269277
S100A16,12,4,1.62664881361332
CNFN,12,4,3.45055013012838
CAPN14,12,4,4.13988590247765
TGM5,12,4,2.31788158931828
DMKN,12,4,1.1995985393552
ELF3,12,4,1.18596673324102
ETHE1,12,4,1.13455717427325
CST6,12,4,1.94867116962839
ALDH1L2,12,4,-1.33208900390141
CAPN6,12,4,1.13287755745303
TMPRSS11B,12,2,5.83991652653529
KPRP,12,2,4.07574151104691
RIC3,12,2,1.20566196748736
KRT17,12,2,-2.67699129450539
S100A14,12,2,2.3000273951441
KAZN,12,2,1.1555001423339
ZNF750,12,2,1.2858082738111
SDR9C7,12,2,1.94552063937874
SPTSSB,12,2,1.4612397915023
KRT15,12,2,1.35117266758105
KRT3,12,2,2.66371013544436
KRT2,12,2,2.25929068935307
NEU4,12,2,-1.83637244193699
LANCL3,13,0,1.18660876366881
PDCD4,14,0,1.27686224886471
KIAA0232,15,0,1.02108496394773
CDK1,16,218,-1.24990769537242
BUB1,16,182,-1.30559730753224
CDC20,16,180,-1.3526804440062
CCNB1,16,176,-1.01643781300981
BUB1B,16,172,-1.14787457210762
CCNB2,16,168,-1.13457072338024
DLGAP5,16,166,-1.30078899832235
PLK1,16,162,-1.46627035790145
TOP2A,16,162,-1.50532885668916
CDC45,16,158,-1.50628778886535
NUF2,16,158,-1.3639224192705
AURKB,16,156,-1.43361714152902
KIF20A,16,156,-1.33873578935514
BIRC5,16,154,-1.51305714443523
CDCA8,16,152,-1.26376564657988
MELK,16,146,-1.10619739441565
PBK,16,146,-1.11720776596746
MAD2L1,16,144,-1.13956297966493
ASPM,16,144,-1.23646732715863
CENPA,16,142,-1.53633206759054
KIF2C,16,142,-1.67618878066748
CEP55,16,142,-1.67301269892394
CENPF,16,142,-1.47036690046397
TPX2,16,138,-1.61751911915051
TTK,16,138,-1.03930858187094
KIF4A,16,136,-1.48632588044996
NUSAP1,16,136,-1.05339554599036
UBE2C,16,134,-1.74511971419006
RRM2,16,134,-1.23047240940759
HJURP,16,132,-1.63278537898961
AURKA,16,130,-1.6235476159372
EXO1,16,128,-1.51829804405786
KIF23,16,126,-1.24629736082892
CENPE,16,126,-1.16796204664597
CDCA5,16,120,-1.7129056158219
CDCA3,16,120,-1.27800827219191
HMMR,16,118,-1.15273342227193
ZWINT,16,118,-1.03984740614365
