Symbol,Module,Degree,Log2FC
CSTA,77,2,2.10048637832568
SLPI,77,2,2.0114266924576
ABLIM3,78,0,1.00438213441296
PNMT,79,0,-2.17948626203629
PTGES,80,6,1.74004147134652
PTGS1,80,6,1.27077316325761
PTGER4,80,4,-1.17134821160809
PLA2G5,80,2,1.53327172669067
ALOX5AP,80,2,1.25085537797972
AEBP1,81,0,1.42695393681586
FAM3B,82,0,-1.90881740638235
LAMP5,83,0,2.24648302425163
IER5L,84,0,1.53650373573485
RGS16,85,0,1.59867908655662
COQ8A,86,0,-1.05993685448809
EDIL3,87,0,1.36356160838447
PDCD4,88,0,-1.16884676199719
COL1A1,89,48,2.21993815042777
COL1A2,89,42,1.81322189209474
COL3A1,89,38,1.77977938041074
COL5A1,89,36,1.72433774916383
COL5A2,89,32,1.66783148150925
LUM,89,32,1.35240935604159
BGN,89,26,1.74605196492589
THBS2,89,24,2.09946285639524
COL16A1,89,22,1.22804943310168
COL12A1,89,22,1.43466881887933
POSTN,89,22,2.73718945016131
COL4A2,89,20,1.04022487090568
SPARC,89,18,1.50491886114169
SERPINH1,89,18,1.28159931996588
ITGA11,89,18,1.65192417807578
COL4A3,89,14,-1.02452838063872
TGFBI,89,10,1.79363201551535
ACTA2,89,10,1.09969497462838
ADAMTS2,89,10,1.3888769880005
THY1,89,8,1.28290599861013
FKBP10,89,6,1.03342328259459
COL8A2,89,4,1.63956131857149
CHST1,89,4,1.22606320382612
SULT1C3,89,4,-1.35485408963653
PRELP,89,2,1.30397276241675
CHAD,89,2,-1.69922378056996
ZNF469,89,2,1.21036200393201
CCN4,89,2,1.8575680014259
PKDREJ,90,0,-1.28055733294155
PLPP7,91,0,1.03977278371476
MARVELD3,92,0,-1.24740660137637
FBXO2,93,0,-1.34020547181525
SPATA32,94,0,-1.62213656030311
NPY4R,95,0,-1.29777170567187
SIGLEC15,96,0,-1.19926239729825
BRME1,97,0,-1.03137209373367
SLC24A3,98,0,1.19169514485894
DNASE1,99,0,-1.32034474461557
SULF2,100,0,1.25526384052545
BICDL2,101,0,-1.42377890097129
ABAT,102,2,-1.69156874647611
ACSS1,102,2,-1.06031782000384
DGKI,103,0,1.39282531284741
NPY4R2,104,0,-1.06687920395644
CTH,105,0,-1.67715657793213
RNF133,106,0,-1.0505300313604
PAIP2B,107,0,-1.71428231257169
BHLHA15,108,0,-2.44677978396932
NLRP12,109,0,1.11461573163614
ADAMTS18,110,0,1.47219444426199
CILP2,111,0,2.79155590015544
INHBA,112,0,2.53140610471315
HILPDA,113,0,1.75096293407687
CRISPLD1,114,0,1.23985484637948
RGS13,115,0,1.16886325489009
TMC3,116,0,-1.51926811825213
KCNA2,117,0,-1.11905513385944
PKIA,118,0,1.48940216571883
LRRC74A,119,0,-2.10171125275837
UNC5B,120,0,1.22281322225954
CDA,121,0,2.64303715026614
COL19A1,122,0,-1.45284148371153
CLEC11A,123,0,1.02296181258204
TMED6,124,0,-1.55289266890246
KCNK10,125,0,-2.4432108097486
MUC15,126,0,-2.03960391719542
PHACTR3,127,0,2.22671748623405
NPHS1,128,6,-2.37631522598633
KIRREL2,128,4,-2.1200919252453
PDZK1,128,2,-1.63237518917867
LRRC15,129,0,3.81853776869495
GLT8D2,130,0,1.00321459310546
IL17REL,131,0,-1.47540527164731
SFTA2,132,0,3.26021754532814
PKM,133,8,1.08849929852528
ENTPD8,133,4,-1.47835204865935
AK4,133,4,1.06687780944421
HK2,133,4,1.35365697299275
SLC2A3,133,2,1.19211557535219
KDM8,133,2,-1.11911267509238
CKAP2L,134,2,2.16254708778367
KIF14,134,2,1.69567974780273
CFAP100,135,2,-1.58597021965742
KLF15,135,2,-1.44496573366604
FNDC1,136,0,2.02864126842097
DKK1,137,4,3.89743965761101
SFRP2,137,4,1.37680755086088
DKK3,137,4,1.01566151841234
LSAMP,138,0,1.28825826612894
ZBTB16,139,0,-1.03246038575739
KCNJ16,140,0,-1.06819167459634
CHST11,141,0,1.12363791972009
KRT14,142,0,3.464914667626
COMP,143,10,2.82966640359254
ADAMTS7,143,2,1.29403917370352
ADAMTS12,143,2,1.64362334857411
HPSE,144,0,1.08357540972201
MCEMP1,145,0,2.76858960144124
TBX15,146,0,3.1011077240316
USP17L7,147,0,-1.47515168606412
ANTXR1,148,0,1.36692342113197
KIF26B,149,0,1.63955510157942
PCDHB7,150,0,1.2085548658441
MEIS3,151,0,1.18178600871098
ACSM1,152,0,-1.06952052357878
SLC25A15,153,0,-1.90381137017947
GPC6,154,0,1.2050825952075
POGLUT2,155,0,1.19718897248998
EPB41L4B,156,0,-1.53331424400056
CCDC110,157,0,-1.30802635778179
DPYSL3,158,2,1.21532262457651
PDLIM4,158,2,1.11088692149395
ISLR,159,0,1.51646096045319
TMEM125,160,0,-1.0754936931929
SMPDL3B,161,0,-1.04341943923686
PMAIP1,162,0,1.20945705677962
RGS4,163,0,1.16790113097665
KHDRBS2,164,0,-2.15422170411951
F11,165,0,-2.35735010432426
SLC16A12,166,0,-1.80625619749325
SNTG2,167,0,-1.22004669355604
GEM,168,0,1.0569193581958
RAPSN,169,2,-1.61228935661901
CTNND2,169,2,-1.32681082010465
CPT1C,170,0,1.47634806397566
TENM4,171,0,1.33260148274209
HTRA1,172,0,1.20696506268216
NNMT,173,0,1.34058306980552
ODAM,174,0,1.99639447945832
GPR176,175,0,1.00637944693062
MT1X,176,2,-1.08696880215668
MT1H,176,2,-3.44469265640345
RGS1,177,0,1.15546833830902
FXYD5,178,0,1.35030198743347
DPEP1,179,0,-1.88716514185784
PTF1A,180,0,-3.69235548330075
ST6GAL2,181,0,1.66366825218464
C21orf62,182,0,-1.12862859478407
S1PR5,183,0,1.15161420116138
CH25H,184,0,1.10809986654052
PDK4,185,0,-1.27288312323526
FSCN1,186,0,1.19718954702492
ARL4C,187,0,1.33351200087731
HMCN1,188,0,1.07404405485756
FAM180B,189,0,2.4042886363131
LHFPL3,190,0,-1.25097254879046
SLC43A1,191,0,-1.30050379117691
MLLT11,192,0,1.10821722512308
TTYH3,193,0,1.05343515262111
ARMC3,194,0,-2.04838993795385
GPHA2,195,0,-3.7930131769264
CRACR2B,196,0,-1.36707584332267
WNK2,197,0,-1.55184968449226
TSHR,198,0,-1.40171091813285
GALNT13,199,0,1.26225031521156
LHFPL5,200,0,-3.47102043065645
AKAP7,201,0,-1.20221673667172
SLC29A2,202,0,-1.10749020474492
MARCO,203,0,2.90168154064699
DDIT4L,204,0,1.45062705935888
CHAC1,205,0,-1.38022722773309
RUNX1,206,2,1.22685324476626
CBFA2T3,206,2,-1.11859905361391
CLDN11,207,0,1.02653310080058
CTXN1,208,0,1.39294528448539
LRRC32,209,0,1.18403420343267
ZFHX4,210,0,1.1895646177478
SULF1,211,4,2.02246027704407
SCEL,211,2,3.71124107625813
PDLIM7,212,0,1.3531598753593
GCAT,213,0,-1.41939827221933
NCAM2,214,0,1.01988220290709
RTKN2,215,0,1.33682950735257
DOK5,216,0,1.09281964283556
PCDH7,217,0,1.6018754142322
PRR15L,218,0,-1.18208621083763
ELFN1,219,0,1.1667905857842
PSAT1,220,0,-1.19864034573455
NTM,221,0,1.67234914881231
H1-1,222,0,1.06005253017626
LZTS1,223,0,1.18730708156119
CDNF,224,0,-1.28730469917256
OSBPL10,225,0,1.03185707350257
LRRC4C,226,0,1.26675147476955
PLPP4,227,0,2.67326307844881
MOXD1,228,0,1.0747294956285
SERPINB5,229,0,3.48569660724372
ETV1,230,0,1.39972762501769
KRTAP5-2,231,0,-1.63919600043979
CPNE7,232,0,1.30605896732004
