Gene_Symbol,signcon,randomSummary,randomCi.lb,randomCi.ub,randomP,het_QE,het_QEp,het_QM,het_QMp,error,rank
SLC3A2,5,0.294742903648297,-0.0598836978775106,0.649369505174105,0.103313769936995,3.78328688706932,0.705975873713377,2.65362944227366,0.103313769936995,FALSE,3866
BLTP2,3,0.298330731703458,-0.0606295272022672,0.657290990609183,0.103329988227451,9.61540543957016,0.141810588365229,2.65337986436072,0.103329988227451,FALSE,3867
RGS7,2,1.14503904726995,-0.232943794942126,2.52302188948203,0.103389663620459,10.5686228654046,0.014302541699033,2.6524619084679,0.103389663620459,FALSE,3868
KSR1,-1,-0.645062305959054,-1.4214615314537,0.13133691953559,0.103437262307226,19.250955010139,0.00376014771866229,2.65173013803804,0.103437262307226,FALSE,3869
IMPDH1,3,0.364374747812949,-0.0742510594653046,0.803000555091202,0.103486910002545,7.98215849429539,0.239413337129555,2.65096725931823,0.103486910002545,FALSE,3870
SAPCD1,-1,-0.596655847131825,-1.31496473074514,0.121653036481494,0.103519835414298,1.0800537137879,0.582732601776141,2.65046155351713,0.103519835414298,FALSE,3871
ANXA6,3,0.508541152953517,-0.103750641171947,1.12083294707898,0.10355560534562,15.1843825386574,0.0188701048721588,2.64991235787941,0.103555605345619,FALSE,3872
MKRN2,-5,-0.26820144942823,-0.591179723690815,0.0547768248343549,0.103619095936019,1.28005057127798,0.972746333218037,2.64893806282693,0.103619095936019,FALSE,3873
ENKD1,-1,-0.58092405114942,-1.28063564924979,0.118787546950951,0.103688709250873,19.6754657826743,0.00316268270659618,2.64787056236883,0.103688709250873,FALSE,3874
MRPL42,3,0.32506705679793,-0.0665296387664246,0.716663752362284,0.103741490837216,7.49650344178124,0.277357655256287,2.64706169458567,0.103741490837216,FALSE,3875
SLC37A1,5,0.377157622582778,-0.0772235841213291,0.831538829286885,0.10376648588679,7.24694478261673,0.298612537541885,2.64667880739828,0.10376648588679,FALSE,3876
TBX15,2,1.98890752134572,-0.407567290565244,4.38538233325669,0.103814880246015,21.762272534645,7.30984585827787e-05,2.64593776435613,0.103814880246016,FALSE,3877
PCDHGC3,1,0.324366635370527,-0.0665234017665015,0.715256672507556,0.10386275981342,5.46576249262845,0.485604394591852,2.64520497625015,0.10386275981342,FALSE,3878
TMCC3,3,0.565122706441867,-0.116057200359665,1.2463026132434,0.103942902732264,14.6363957302217,0.0232813008648086,2.64397923076556,0.103942902732264,FALSE,3879
C1orf74,5,0.365439083818083,-0.0750738417610802,0.805952009397246,0.103962489062662,2.37981461905836,0.881668399584401,2.64367982509493,0.103962489062662,FALSE,3880
KLHL6,3,0.669291401791877,-0.137532138046846,1.4761149416306,0.103978142920452,16.2256761288667,0.0125925873437471,2.64344057742094,0.103978142920452,FALSE,3881
CD22,4,0.530235201140947,-0.108963094699064,1.16943349698096,0.103981119993998,5.04584436578783,0.410310958423232,2.64339508141273,0.103981119993998,FALSE,3882
THEM4,-3,-0.316812608434141,-0.698738331157152,0.0651131142888707,0.10398860774344,5.03561926860459,0.539252869876728,2.64328065899979,0.103988607743441,FALSE,3883
LINC00473,-1,-1.597927922312,-3.52443724229082,0.328581397666823,0.104018464245537,0,1,2.64282450305935,0.104018464245537,FALSE,3884
TOX3,3,0.840058633472354,-0.172820158447008,1.85293742539172,0.104045514453722,22.2653890781543,0.00108381978041638,2.64241134624148,0.104045514453722,FALSE,3885
SMAD9,3,0.443935540830084,-0.0914780171513492,0.979349098811517,0.104142407460936,7.03195864179103,0.317901797504189,2.64093239607083,0.104142407460937,FALSE,3886
KLC4,-3,-0.570019417635584,-1.25754879496481,0.117509959693642,0.1041680472852,19.3562611505634,0.00360241713367084,2.64054128846788,0.1041680472852,FALSE,3887
FZD1,3,0.561497246423055,-0.115764481904309,1.23875897475042,0.104173862835889,14.0159320878929,0.0294586990767714,2.64045259324298,0.104173862835889,FALSE,3888
S100PBP,5,0.27896961175601,-0.0575452296559243,0.615484453167944,0.104204498587122,7.36283701569301,0.288591141190081,2.63998544500028,0.104204498587122,FALSE,3889
IGSF11,-1,-0.656195296096465,-1.44784474427859,0.135454152085662,0.104246348322592,12.3594026734792,0.0544147859271003,2.63934754372033,0.104246348322592,FALSE,3890
CHST14,3,0.423250820206292,-0.0874308442270263,0.93393248463961,0.104288350338767,8.92501421138562,0.177839346100978,2.63870760323212,0.104288350338766,FALSE,3891
KRT6B,1,2.44983213536766,-0.506313046096119,5.40597731683144,0.104317849178575,33.9602558298623,7.59306157267685e-07,2.638258329206,0.104317849178575,FALSE,3892
ACAA1,-5,-0.439546092802559,-0.969945977743793,0.0908537921386756,0.104325480983382,13.6864532696141,0.0333416461748232,2.63814211774416,0.104325480983382,FALSE,3893
LIX1L,3,0.295260761676273,-0.0610795739778292,0.651601097330375,0.104373560286362,4.24501274585446,0.643557748124334,2.6374102158373,0.104373560286362,FALSE,3894
UNC93B1,3,0.420581930840593,-0.0871304291941522,0.928294290875338,0.104459670474591,8.30856660465136,0.21635725723936,2.63610029969102,0.104459670474593,FALSE,3895
ANKRD44,5,0.333987194491716,-0.069215747356299,0.737190136339732,0.104481029000428,5.89538581196024,0.435010603980094,2.63577557489827,0.104481029000428,FALSE,3896
RWDD2A,-1,-0.32778056509911,-0.723565227822516,0.0680040976242964,0.104546421422835,5.25011627276497,0.512157210217816,2.63478183179897,0.104546421422835,FALSE,3897
CTIF,1,0.35960614318285,-0.0746086991589156,0.793820985524616,0.104547860112929,8.49573765982543,0.203985790990675,2.63475997624348,0.104547860112929,FALSE,3898
RPP21,-6,-0.332792040303166,-0.734730829239563,0.0691467486332317,0.104635279885108,0.791424455404427,0.977577091233251,2.63343257522083,0.104635279885108,FALSE,3899
SAE1,3,0.28368859907687,-0.0589463023408193,0.626323500494559,0.10463745887274,3.05160633141093,0.802342385287411,2.63339950451495,0.104637458872739,FALSE,3900
CYB561D2,-3,-0.354783939010451,-0.783298183810515,0.0737303057896133,0.104646724954771,8.8453439630523,0.182464457589617,2.63325888071796,0.104646724954771,FALSE,3901
FRZB,3,0.585776003971366,-0.121928242496579,1.29348025043931,0.104741768190019,11.7659489531763,0.067398566753599,2.63181727387309,0.104741768190019,FALSE,3902
CUX1,7,0.264986027864137,-0.0551665030450359,0.58513855877331,0.10475275276203,6.35269029387834,0.384862437942786,2.63165075331762,0.104752752762031,FALSE,3903
PPIE,-5,-0.274644787950996,-0.606523998402447,0.057234422500455,0.104812501037589,1.46266699402093,0.961935777468388,2.63074533460539,0.104812501037589,FALSE,3904
EPHB3,-3,-0.904246769875383,-1.99696055700655,0.188467017255788,0.10482111424677,25.4174640587702,0.000285717739369699,2.63061485763237,0.104821114246769,FALSE,3905
TSPAN17,5,0.289542433866158,-0.0603666965834975,0.639451564315814,0.104839987243175,4.30259259001281,0.635800128724344,2.63032900160867,0.104839987243175,FALSE,3906
PGBD2,-3,-0.429054893468828,-0.947610943784614,0.0895011568469574,0.104871816008364,10.3473672903346,0.110765390513607,2.62984704135848,0.104871816008364,FALSE,3907
GPATCH8,5,0.278956028310498,-0.0582062841713141,0.616118340792309,0.104888156627241,7.0923665178,0.312389656200301,2.62959966930333,0.104888156627241,FALSE,3908
