Gene_Symbol,signcon,randomSummary,randomCi.lb,randomCi.ub,randomP,het_QE,het_QEp,het_QM,het_QMp,error,rank
PTPRR,4,1.60414994954692,0.405990794127484,2.80230910496636,0.00868811075711377,17.1664682513214,0.00419466984391981,6.88584249704009,0.00868811075711376,FALSE,1025
PAIP2B,-5,-1.48650651611387,-2.59782054577472,-0.375192486453025,0.00874999762988746,25.1298070938038,0.000323064300169097,6.87315633592821,0.00874999762988747,FALSE,1030
SEC14L4,3,1.31362947230701,0.330532679106035,2.29672626550799,0.00882047908926833,1.61490973867228,0.445991730177837,6.85881975981213,0.00882047908926835,FALSE,1034
MMP12,4,1.89839749053779,0.474693454381534,3.32210152669404,0.00896310981953411,19.4695031279582,0.00157099875293464,6.83016274298776,0.00896310981953412,FALSE,1041
COL8A2,3,1.41389856965676,0.352663485619126,2.47513365369439,0.00902019361646049,24.4276455730179,0.000435623521221772,6.81882420297294,0.00902019361646049,FALSE,1044
PHACTR3,3,1.99559202817899,0.495688015262751,3.49549604109524,0.00911547899798459,14.5534884172952,0.00572281461477803,6.80006037575948,0.00911547899798459,FALSE,1047
CCDC110,-4,-1.17231291375764,-2.05433753681274,-0.290288290702541,0.00918691081112253,13.9780253832665,0.0157496059234397,6.78612510115393,0.00918691081112254,FALSE,1048
EGLN3,5,1.62168334473081,0.400636555969219,2.8427301334924,0.00923995573136085,29.5582968323729,4.76842891306034e-05,6.77584843847334,0.00923995573136088,FALSE,1052
CDCA8,6,1.04181408938828,0.255587023211096,1.82804115556547,0.00940118405675194,8.16342472607525,0.147455985987354,6.7449798100223,0.00940118405675195,FALSE,1062
PTX3,-3,-1.41347192225082,-2.48104553777316,-0.345898306728478,0.00945907827564282,19.7281949088157,0.003095268198496,6.73402756924855,0.00945907827564283,FALSE,1065
MCOLN3,-5,-1.02847066730435,-1.80612958067015,-0.250811753938561,0.0095393537570052,13.3505673807264,0.0377946480178998,6.71895439598371,0.00953935375700521,FALSE,1071
MKI67,7,1.33881184878713,0.326084154455554,2.35153954311871,0.00956849849798679,24.2195500626936,0.000475851694188901,6.71351407402221,0.0095684984979868,FALSE,1073
VCAN,3,1.69415145703356,0.411887496150274,2.97641541791684,0.00961038165676028,43.9619748831036,7.52155051318818e-08,6.70572558202421,0.00961038165676029,FALSE,1079
B3GAT1,4,1.00386886206254,0.242874759407159,1.76486296471792,0.00972391469797859,2.30445875367269,0.511667266344173,6.6847868915171,0.00972391469797856,FALSE,1082
ADH1B,-3,-1.03023775703698,-1.81442976878023,-0.246045745293725,0.0100264307452915,13.5594235116078,0.0349641168837691,6.63019464770849,0.0100264307452915,FALSE,1094
CEP170P1,3,1.16768870401446,0.276466576559159,2.05891083146975,0.0102297294003124,3.83998443709869,0.146608102949631,6.59444755190387,0.0102297294003124,FALSE,1102
ANPEP,-5,-2.63270432716161,-4.64212313764235,-0.623285516680879,0.0102313862145897,72.7127182567201,1.13408090029355e-13,6.59415922643226,0.0102313862145897,FALSE,1103
DCHS2,5,1.08170331089539,0.255955660660975,1.90745096112981,0.0102437494690536,14.9911329727744,0.0203257927937782,6.59200923328582,0.0102437494690536,FALSE,1105
SLC24A3,3,1.00084845163859,0.236478027055716,1.76521887622146,0.0102780927997925,13.9707828977359,0.0299642433510235,6.58605079347249,0.0102780927997925,FALSE,1108
FAM81A,6,1.10279497845459,0.258205236600741,1.94738472030844,0.01049260959095,11.8286150084405,0.0372131313427559,6.54928873279297,0.0104926095909501,FALSE,1117
PNMA2,5,1.50584354709272,0.350715264488258,2.66097182969718,0.010617555586052,30.421641880175,3.26778827954628e-05,6.52823007166756,0.010617555586052,FALSE,1122
TTYH1,-5,-1.11389690465058,-1.96875692607106,-0.259036883230102,0.0106534293058238,20.3203172131382,0.00242819146836622,6.52223078200549,0.0106534293058238,FALSE,1124
TLR8,4,1.01079371884147,0.234689439690058,1.78689799799288,0.010690817131991,9.79553028635554,0.0812405002687479,6.51600029207573,0.010690817131991,FALSE,1127
ENO2,5,1.48200681859511,0.344057592669627,2.6199560445206,0.0106935484177491,34.9393942714766,4.42759338509185e-06,6.51554601354363,0.0106935484177491,FALSE,1128
PCDHB9,7,1.20184267759297,0.278833904450698,2.12485145073523,0.0107089875689636,18.6105221269541,0.0048745530110754,6.51298034682558,0.0107089875689636,FALSE,1130
CD80,4,1.16036971905438,0.266713191075725,2.05402624703303,0.0109303306595693,10.1869275013801,0.070108718480839,6.47660918858902,0.0109303306595693,FALSE,1143
SLC25A45,-3,-1.21611655440064,-2.15275057633132,-0.279482532469964,0.0109340882414257,28.3767347781845,7.97886425256637e-05,6.47599828387786,0.0109340882414258,FALSE,1144
ST3GAL4,3,1.05332082431757,0.240734789031483,1.86590685960366,0.0110656679455927,18.1042759163055,0.00597682034890925,6.4547408976689,0.0110656679455926,FALSE,1152
C2CD4B,-5,-1.24890110068506,-2.2132810522306,-0.284521149139519,0.0111420330765157,19.3708236239793,0.0035811188031204,6.44252232580162,0.0111420330765157,FALSE,1156
CCL20,3,1.39910623072095,0.315588378735173,2.48262408270672,0.0113793483696484,7.8887011554443,0.0957413542203295,6.40509272213839,0.0113793483696484,FALSE,1167
RNF186,-4,-3.10481489684904,-5.51130963509969,-0.69832015859839,0.0114482838439089,22.000656031432,6.5210622742802e-05,6.39437020160753,0.0114482838439089,FALSE,1169
PLAG1,5,1.01770257522069,0.227035217856443,1.80836993258494,0.011643934104641,11.0518297596527,0.086787718722154,6.36429512098994,0.011643934104641,FALSE,1181
IL1RAP,5,1.08284850357619,0.241312100728039,1.92438490642433,0.0116693942014217,21.0227608309047,0.0018174204101792,6.36041962520021,0.0116693942014217,FALSE,1184
KLF15,-5,-1.31610089134088,-2.3395875176819,-0.292614264999869,0.0117249317158753,20.8130397658253,0.00198201684308925,6.35199582729448,0.0117249317158753,FALSE,1187
HK2,5,1.24138419131341,0.272188022505948,2.21058036012088,0.0120595091781793,22.9832280863112,0.000802115464038198,6.30209906211096,0.0120595091781793,FALSE,1203
IFI6,5,1.43101554915676,0.31332421539173,2.54870688292178,0.0120935133428676,23.1225953112271,0.000756440862344684,6.29710768959039,0.0120935133428676,FALSE,1205
GATM,-5,-2.24279498482283,-3.99910842231197,-0.486481547333692,0.0123196099132118,56.250281305301,2.59074310929106e-10,6.26428180112948,0.0123196099132118,FALSE,1219
SEMA3C,3,1.26255056432433,0.271834384953169,2.2532667436955,0.0124987042816979,27.6917697009257,0.000107388262527375,6.23871622522231,0.0124987042816979,FALSE,1226
ACSM6,-3,-1.72111803848077,-3.07202272615187,-0.370213350809667,0.0125217490332855,6.96452002783201,0.0307378644727994,6.2354539653613,0.0125217490332855,FALSE,1227
ALB,-4,-2.84060717751969,-5.07049147830859,-0.6107228767308,0.0125333460079451,42.3650881389021,4.96872598659361e-08,6.2338146075635,0.0125333460079451,FALSE,1229
KIF18A,3,1.17197974869983,0.249583509092791,2.09437598830686,0.012763735587138,10.0222116167769,0.0400551877497987,6.2015657018389,0.012763735587138,FALSE,1236
ARC,-3,-2.50111235221317,-4.470904193045,-0.531320511381336,0.0128235051897925,7.30839953540276,0.0258822009714375,6.1932971231012,0.0128235051897925,FALSE,1238
EXO1,4,1.52611551078226,0.321860131955976,2.73037088960855,0.0129988207173929,8.82330182900383,0.0317348153730882,6.16927039081845,0.0129988207173929,FALSE,1247
CDCP1,5,1.07413501678144,0.226417663905362,1.92185236965753,0.0130115613769505,18.8028860688373,0.00450980856368464,6.16753730486415,0.0130115613769505,FALSE,1248
ABCA13,5,1.37396549743262,0.289356750733161,2.45857424413208,0.0130335261524113,10.7257141516032,0.0298258571062209,6.16455357321688,0.0130335261524112,FALSE,1249
BNIP3,-3,-1.18813377408785,-2.12648928905537,-0.249778259120327,0.0130764142441461,19.3082538697014,0.0036735077408449,6.15874245445037,0.0130764142441461,FALSE,1250
H2BC17,5,1.24339693822941,0.261113205795292,2.22568067066354,0.013102661786651,11.1328678134328,0.0251106553761916,6.15519570233688,0.013102661786651,FALSE,1254
PTTG1,4,1.13700029662498,0.238050622948406,2.03594997030155,0.0131758131081536,10.6792881787428,0.0581228892428983,6.14534939493394,0.0131758131081536,FALSE,1256
MMP11,3,2.14519670743201,0.447381117720015,3.843012297144,0.0132706529238866,45.3672732869307,3.95605327460804e-08,6.13266711233942,0.0132706529238866,FALSE,1260
SPIB,-5,-1.31557465869968,-2.35714007286225,-0.2740092445371,0.0133019798777943,8.94479145638798,0.0624943434122456,6.12849843763439,0.0133019798777943,FALSE,1261
S100A14,4,1.62435967881287,0.337871216841806,2.91084814078393,0.0133344225721075,20.6956175000983,0.000924625766984866,6.12419191816939,0.0133344225721075,FALSE,1265
KDM8,-3,-1.01846238854326,-1.82582654322499,-0.211098233861525,0.0134198808526209,20.9113824282769,0.0019030947038413,6.11289935112473,0.0134198808526209,FALSE,1269
TNFRSF11B,3,1.10483314478202,0.227602049727994,1.98206423983605,0.0135685745313396,12.2200982888229,0.0572349918294888,6.09342592247348,0.0135685745313396,FALSE,1273
DUOX2,3,1.70441532171774,0.348333965178819,3.06049667825666,0.0137620100351334,22.3921777324712,0.00102783052976946,6.06841887686063,0.0137620100351334,FALSE,1281
CORIN,5,1.40836984250419,0.287702188037473,2.52903749697091,0.0137728580028708,28.3890773631353,7.93619346873114e-05,6.06702719330007,0.0137728580028708,FALSE,1282
ERVH48-1,-3,-1.00204918525086,-1.79994892343233,-0.204149447069402,0.0138381516903456,2.37538054193173,0.304924744865386,6.05867442468223,0.0138381516903456,FALSE,1285
HSD17B3,-4,-1.14825258676887,-2.06266529499886,-0.233839878538879,0.013848110398738,13.8774031793627,0.0164072099449425,6.05740401006684,0.013848110398738,FALSE,1286
SEMA6D,-5,-1.05583847054601,-1.89684314132984,-0.214833799762174,0.0138691452986999,17.0330917090539,0.00916239373627741,6.05472371182971,0.0138691452986999,FALSE,1287
SLC6A14,3,2.6221310375731,0.528434026543144,4.71582804860306,0.0141023871947028,22.0500594447726,0.000195873907531129,6.02528089600303,0.0141023871947028,FALSE,1295
GLTPD2,-4,-1.61350107515013,-2.90329514530215,-0.323707004998107,0.0142117033196677,10.2228804197371,0.0167635527162778,6.01165360647957,0.0142117033196676,FALSE,1303
TAC4,-4,-1.03937877392903,-1.87126408114395,-0.207493466714115,0.0143321425545098,5.67511306056234,0.128532095916105,5.99676404947103,0.0143321425545099,FALSE,1310
KIF5A,4,1.47273081596933,0.293677477628924,2.65178415430975,0.0143591886650625,22.3873171750025,0.0004418636348911,5.99343812335378,0.0143591886650626,FALSE,1312
F11,-5,-2.04819943894503,-3.68857534812796,-0.407823529762108,0.0143954070871298,33.2227339778571,9.50012002104403e-06,5.98899433972457,0.0143954070871298,FALSE,1313
IGFL2,3,3.50337851703116,0.688309607946176,6.31844742611613,0.0147201137475824,43.1872329031873,9.46231240850294e-09,5.94966134755928,0.0147201137475824,FALSE,1323
POSTN,5,2.49063585821001,0.487223636129824,4.4940480802902,0.0148252026562696,74.1629605564081,5.70709039086007e-14,5.9371225999401,0.0148252026562697,FALSE,1331
CEP126,7,1.02905401808541,0.200969630432035,1.85713840573878,0.0148658005666848,19.4981061671683,0.0034001105914888,5.93230312368249,0.0148658005666849,FALSE,1336
CDKN3,6,1.11536278032063,0.21767904698849,2.01304651365277,0.0148821194827027,10.3130742366137,0.0668351368533805,5.93036968309669,0.0148821194827028,FALSE,1338
SCARA5,-5,-1.4788417389336,-2.66916608233246,-0.288517395534748,0.0148905183994843,23.8811526305168,0.000549207638411281,5.92937544282023,0.0148905183994842,FALSE,1339
KYNU,3,1.33194159178714,0.258040694990671,2.40584248858361,0.0150609117986646,27.8801030990083,9.89755911387107e-05,5.90932850035384,0.0150609117986646,FALSE,1349
PRDM16,-5,-1.07074892863302,-1.93588534232369,-0.205612514942338,0.015275589070701,19.6850138308619,0.0031503702171955,5.88440146961886,0.0152755890707009,FALSE,1352
KCNK3,-3,-1.15598188395587,-2.09119273050838,-0.220771037403359,0.0154080217322294,20.2216053899463,0.00252870906677618,5.86920350102319,0.0154080217322294,FALSE,1357
ENTREP2,-3,-1.01190170641587,-1.83165944838577,-0.192143964445958,0.0155477500011829,13.0606830502884,0.0420823528704201,5.85331349250882,0.0155477500011829,FALSE,1363
WNK2,-5,-1.35808784736689,-2.45921751266983,-0.256958182063953,0.0156344649302987,22.6939781219099,0.000905726123928656,5.84352601742553,0.0156344649302987,FALSE,1366
COL25A1,-3,-1.58017055382205,-2.86471780960478,-0.295623298039321,0.0159076959332012,13.1005682989253,0.0107947113865347,5.81304841104388,0.0159076959332012,FALSE,1373
LEMD1,3,2.82956542576753,0.529343443744733,5.12978740779034,0.0159086374252852,10.7723435231326,0.00457947112888493,5.81294432733577,0.0159086374252852,FALSE,1374
DEPDC1,4,1.30493030505066,0.243645607818381,2.36621500228295,0.0159558052719928,7.36902687890829,0.0610209517741276,5.80773794364165,0.0159558052719928,FALSE,1376
BHMT,-4,-1.42824356995739,-2.59337689201736,-0.263110247897413,0.016280639554823,7.48918686498548,0.0578369395473779,5.77230793224879,0.016280639554823,FALSE,1390
COMP,5,2.60001434712418,0.473684295449197,4.72634439879916,0.0165485745932419,53.244836955259,1.04735229264266e-09,5.74362816677203,0.0165485745932419,FALSE,1404
KRT23,5,1.5995195286059,0.289287716224284,2.90975134098751,0.0167245965489904,25.5625759742322,0.00026852668707265,5.72504620174999,0.0167245965489905,FALSE,1408
CP,7,1.75680839360467,0.317699623605797,3.19591716360354,0.016727265764353,38.5568264336245,8.74146668821494e-07,5.7247659777713,0.016727265764353,FALSE,1409
SFRP5,-5,-2.18146658255568,-3.97134033635941,-0.391592828751957,0.0169049020415618,62.8910426297165,1.16165049616936e-11,5.70621999999243,0.0169049020415619,FALSE,1420
SFRP4,5,1.47371831648622,0.263708594034876,2.68372803893757,0.0169810843737091,24.4012339726135,0.000440537600851199,5.69832774940392,0.0169810843737091,FALSE,1422
MYZAP,-4,-1.04265339638071,-1.89966501363477,-0.185641779126658,0.0171013227587631,12.3874380751274,0.029847842823106,5.68594544486605,0.0171013227587631,FALSE,1432
