"Symbol","n","n_events","HR","HR_lo","HR_hi","pvalue","z","padj","pooled_log2FC","rem_padj","n_studies","Direction","Risk_aligned"
"KIF18A",598,124,0.872925587373585,0.690688197568931,1.10324613012585,0.255311912861211,-1.13754167545622,0.545472082214749,-1.20180693693366,2.03392612515538e-07,13,"Down","Down-Protective"
"KIF23",598,124,0.852582942188664,0.645029494307881,1.12692160548572,0.262510595886931,-1.12047688853879,0.545472082214749,-1.04836365592141,4.05656596304665e-13,13,"Down","Down-Protective"
"CXCL10",598,124,0.950588102817875,0.868669104001199,1.04023239350486,0.270416375215638,-1.1021041964685,0.545472082214749,-1.91154254687061,2.15834127290428e-38,13,"Down","Down-Protective"
"CD36",596,124,1.06216001895629,0.953427929782649,1.18329227687552,0.273763484812259,1.09443672407969,0.545472082214749,1.73364294529196,1.95941882800197e-12,13,"Up","Up-High risk"
"CEP55",598,124,0.884731541074467,0.709361928880673,1.10345631461662,0.277235876868224,-1.08654967324118,0.545472082214749,-1.5366238798039,4.38188486547744e-15,13,"Down","Down-Protective"
"CXCR2",591,122,0.951609131445638,0.869589391601312,1.04136497960626,0.280774608582007,-1.07858087993584,0.545472082214749,-1.67265122663811,9.47255472560499e-05,11,"Down","Down-Protective"
"CXCL5",592,122,0.965746421105617,0.906339954103349,1.02904671216994,0.281922200689776,-1.07601130453498,0.545472082214749,-3.62626920079179,3.97133114715675e-16,11,"Down","Down-Protective"
"PRKACB",598,124,0.927624699061139,0.806996251406832,1.06628448497522,0.290513258373642,-1.0569963387642,0.545472082214749,1.3738614330572,8.47766676859127e-07,13,"Up","Up-Protective"
"KIF4A",598,124,0.862006099776913,0.653256930033077,1.13746135998126,0.293909870314842,-1.04958301329561,0.545472082214749,-1.37210705727875,2.2700707490551e-12,13,"Down","Down-Protective"
"CXCL12",598,124,1.07800237056662,0.935771813941993,1.24185094446465,0.298145470430681,1.04041858602708,0.545472082214749,1.67901873757562,1.49773327922626e-08,13,"Up","Up-High risk"
"CDCA5",598,124,0.855493335165341,0.636624781256182,1.14960785074719,0.300566249383637,-1.03521985271715,0.545472082214749,-1.41159017305054,2.28390496181031e-12,13,"Down","Down-Protective"
"CXCL9",598,124,0.957459260030786,0.878660114685152,1.04332519400541,0.321164454293684,-0.992067796966278,0.551395437244034,-1.35888624069903,1.04843968021221e-11,13,"Down","Down-Protective"
"FEN1",598,124,0.847473373705997,0.610791270601659,1.1758699799903,0.321969962107787,-0.990417772512468,0.551395437244034,-1.03188865779946,9.31788158712096e-22,13,"Down","Down-Protective"
"COL1A1",598,124,1.05823177528905,0.945638939798571,1.18423051663878,0.324072807141546,0.986122900715978,0.551395437244034,-1.66564284607089,1.02435311898638e-06,13,"Down","Down-High risk"
"CCL20",598,124,0.945980744487326,0.84633701369156,1.05735605847782,0.328132382288101,-0.977882619360964,0.551395437244034,-1.1261990894319,0.00188991911055996,13,"Down","Down-Protective"
"CYP3A4",579,115,1.0454476072005,0.955668405838537,1.14366101539399,0.331962559157122,0.970168399904308,0.551395437244034,2.0597765454406,0.000816401099358707,10,"Up","Up-High risk"
"MCM2",598,124,0.870364274279415,0.64868124971829,1.16780617640932,0.354602290740935,-0.925699263495675,0.575517542822311,-1.23492428715788,7.6798805615384e-17,13,"Down","Down-Protective"
"KIF14",597,124,0.918266136724065,0.765541932409981,1.10145853826667,0.358230307266949,-0.918742437119758,0.575517542822311,-1.30862221890367,3.60107466713101e-06,12,"Down","Down-Protective"
"CDK1",597,124,0.923890806839566,0.769101897687357,1.109832423414,0.397485534540797,-0.846120484168435,0.628283586854809,-1.34459284448568,6.46380780514668e-06,13,"Down","Down-Protective"
"ASPM",597,124,0.92127872500843,0.758206812486584,1.11942345436019,0.40940847974711,-0.824935025695199,0.636101456230062,-1.2400772784296,5.00825418425112e-05,13,"Down","Down-Protective"
"ANLN",597,124,0.913042840308324,0.733513825760804,1.1365119496877,0.415413195905347,-0.814404614632461,0.636101456230062,-1.75593726687145,4.05635183304821e-14,13,"Down","Down-Protective"
"BUB1B",598,124,0.914404070142974,0.732017123052205,1.14223394120578,0.43049271062743,-0.788348799597397,0.649050548330587,-1.09889808619002,2.12447260929763e-09,13,"Down","Down-Protective"
"NUF2",597,124,0.928066209154276,0.766422562047711,1.12380158312768,0.444526649243108,-0.764571661500889,0.660054721603403,-1.40055702310723,5.19358879411065e-07,13,"Down","Down-Protective"
"MKI67",598,124,0.920380864794591,0.738510594480188,1.14703965333941,0.460124072930531,-0.738642560776184,0.67301730070436,-1.08308463195551,1.87986954128316e-13,13,"Down","Down-Protective"
"FCGR3A",598,124,1.03984484176677,0.935154407978027,1.15625535817864,0.470505228785894,0.721657254486603,0.678081065014964,-1.48729819145842,1.36184321490634e-08,13,"Down","Down-High risk"
"COL1A2",598,124,1.04189812041445,0.923534837990229,1.17543123298468,0.50471418053268,0.667090730768846,0.716840430321777,-1.14118991790641,1.40374878292583e-05,13,"Down","Down-High risk"
"CXCR1",575,115,0.973727325547627,0.898843571717917,1.05484973620715,0.514340857716277,-0.652093498873132,0.720077200802788,-1.78960125446337,0.0050026526806129,9,"Down","Down-Protective"
"DTL",598,124,0.928875023824872,0.736132025310914,1.17208432756507,0.534074765768849,-0.621797902429572,0.736225160324361,-1.17784388341191,4.76952688681744e-14,13,"Down","Down-Protective"
"UBE2C",598,124,0.930415247088576,0.738367807900211,1.17241369782455,0.540900117789326,-0.611452405717886,0.736225160324361,-1.92217463925242,5.37789709716482e-17,13,"Down","Down-Protective"
"NPY",310,62,1.04421093695833,0.903377814257974,1.20699940119629,0.558368607710137,0.585266394060586,0.741730116685558,3.17083484639702,6.20224197404396e-22,4,"Up","Up-High risk"
"CCND1",598,124,1.09040167862106,0.815014232568486,1.45884056158456,0.560081924844197,0.582719825366858,0.741730116685558,-1.03186819436792,9.94374204986836e-20,13,"Down","Down-High risk"
"NUSAP1",598,124,0.938019502856456,0.753105269342992,1.16833678312552,0.567890472877475,-0.571161057883712,0.742043551226567,-1.05649069469463,3.53802679829169e-11,13,"Down","Down-Protective"
"HJURP",598,124,1.08248385980015,0.811998362262488,1.44307102228986,0.588992846418274,0.54029610162439,0.759490775644616,-1.43577966728044,1.01357520528439e-17,13,"Down","Down-High risk"
"ESPL1",598,124,0.930415342478466,0.707400920147541,1.22373704198571,0.605957591760843,-0.515852270793367,0.76752104894103,-1.037165990345,8.5802546208901e-14,13,"Down","Down-Protective"
"KIF18B",598,124,0.935132964748572,0.722231443494022,1.21079422619557,0.610884100177554,-0.508811867492321,0.76752104894103,-1.22973721902678,2.33617978246192e-12,11,"Down","Down-Protective"
"GCG",385,67,0.978103855581319,0.894397296949707,1.06964450313722,0.627663897922723,-0.485017547916524,0.778621037929454,4.31481716362519,1.23699046673426e-09,11,"Up","Up-Protective"
"SST",427,90,0.975129787877064,0.875924958697896,1.08557028060794,0.64546513504239,-0.460071172578198,0.790694790426928,4.39213459726685,2.48028726170151e-07,7,"Up","Up-Protective"
"CCL19",585,119,0.982859305887539,0.90970006294503,1.06190210874824,0.661324026333031,-0.438085884612592,0.800120426921444,1.23337000955094,0.028321352693277,11,"Up","Up-Protective"
"CDCA3",598,124,0.948731014883519,0.731376419445259,1.23068028264382,0.691779587475173,-0.396441186261295,0.818758931234246,-1.34253934206041,3.04018854963756e-16,13,"Down","Down-Protective"
"CCL21",590,121,1.01502620014118,0.939883022559369,1.09617703718866,0.703903825009161,0.380056028762726,0.818758931234246,1.49291446118422,0.000180565935085617,13,"Up","Up-High risk"
"KIFC1",598,124,0.946747574189705,0.703978514807346,1.27323625704598,0.717352995423116,-0.361998708677031,0.818758931234246,-1.12294570552399,1.57003826688657e-18,13,"Down","Down-Protective"
"IL1B",598,124,0.98304037911286,0.895907907459453,1.07864701150669,0.717938307951533,-0.36121556421538,0.818758931234246,-1.83398072143188,3.82407547010289e-17,13,"Down","Down-Protective"
"KIT",598,124,0.979298870474767,0.872251910452659,1.09948314955878,0.723204441427744,-0.354179399033637,0.818758931234246,1.2333515710738,1.07344054828487e-20,13,"Up","Up-Protective"
"CENPF",598,124,0.966123350367124,0.793104231976936,1.1768873377437,0.732127722668497,-0.342296561926656,0.818758931234246,-1.31567816749968,7.07776984544229e-10,13,"Down","Down-Protective"
"CD19",569,117,0.985096587491664,0.901063222681953,1.07696692336343,0.74135085264261,-0.330064994593479,0.818758931234246,1.29468796584885,0.000168522358815174,11,"Up","Up-Protective"
"MCM10",598,124,0.960374837581101,0.753768083822654,1.22361220706173,0.743566784488244,-0.327133672798418,0.818758931234246,-1.62002525012436,9.32790074914221e-23,13,"Down","Down-Protective"
"TROAP",598,124,1.03220173060207,0.805766295777706,1.32226976760002,0.801945946726562,0.250829482002119,0.873230030880034,-1.21879316249782,1.29557277748628e-10,13,"Down","Down-High risk"
"IGF1",593,124,0.988518396414666,0.899273731531181,1.08661977525621,0.810945062822513,-0.239207015699789,0.873325452270399,1.14300901403296,1.26258180437527e-05,13,"Up","Up-Protective"
"CDT1",598,124,0.979149576528189,0.783252091469762,1.22404255750697,0.853226868039698,-0.185002763489017,0.906469365414551,-1.06383019874412,3.31186949058811e-10,13,"Down","Down-Protective"
"CD44",598,124,0.976667948893341,0.750978397935789,1.2701833834601,0.860220928403605,-0.176092938624751,0.906469365414551,-1.05802144837809,2.52650029796468e-16,13,"Down","Down-Protective"
"MMP9",598,124,1.00834371499777,0.91184243650896,1.11505782892516,0.871393587108507,0.161888591328794,0.908474165283337,-1.31329004306468,1.66412177240741e-11,13,"Down","Down-High risk"
"CCL5",598,124,0.991682457979473,0.877945130759291,1.12015439576923,0.893100538086467,-0.134381970102055,0.921303712973408,1.14133667646784,4.82650343625447e-07,13,"Up","Up-Protective"
"NCAM1",595,123,0.992948159283461,0.880128309105591,1.12022989923635,0.908444593348662,-0.115000667017948,0.921776810874799,1.81367027123061,2.05962549776784e-12,13,"Up","Up-Protective"
"FOXM1",598,124,0.985503460984743,0.759818465180645,1.27822251777206,0.912370925049546,-0.110048482321474,0.921776810874799,-1.16819558275292,1.13189122592045e-10,13,"Down","Down-Protective"
"BCL2",597,124,0.996211580917638,0.852977309197691,1.16349814145455,0.961775887524248,-0.0479251601521812,0.961775887524248,1.17176316272726,5.30506537193028e-15,13,"Up","Up-Protective"
