Gene_ID,Gene_Symbol,Gene_Description,Gene_Biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
54622,ARL15,ADP ribosylation factor like GTPase 15,protein_coding,285.441317362769,-0.156554709323224,0.255034521657379,-0.613856933194103,0.539309871292705,0.70421200058075
112574,SNX18,sorting nexin 18,protein_coding,380.876103567997,0.116697625495721,0.199394408784937,0.585260269868396,0.55837272497438,0.719604519529598
3003,GZMK,granzyme K,protein_coding,15.0817124628363,0.694410533458844,0.595958779252798,1.16519893259981,0.243938477610022,0.427311095401437
3001,GZMA,granzyme A,protein_coding,55.6879738715241,1.23296281353812,0.497890501496724,2.47637343920334,0.0132724672038278,0.0588213942548361
493869,GPX8,glutathione peroxidase 8 (putative),protein_coding,129.534685688289,-0.199283821596784,0.326882119980332,-0.609650419572581,0.5420934045927,0.70684692502813
10309,CCNO,cyclin O,protein_coding,49.0643561395554,-0.618595138250584,0.410723824167544,-1.50610970645386,0.132039013281765,0.285170144759593
54505,DHX29,DExH-box helicase 29,protein_coding,784.574331813185,-0.207577682314712,0.114315768735736,-1.81582720048509,0.0693968833919386,0.185016511087849
23517,MTREX,Mtr4 exosome RNA helicase,protein_coding,1312.1053485161,-0.161619516188585,0.0920060675086729,-1.75661802058163,0.0789829392769015,0.202021270013267
8611,PLPP1,phospholipid phosphatase 1,protein_coding,602.343389029377,1.02037829686191,0.225287626465144,4.52922476423612,5.92004967055453e-06,0.00022773397423157
153129,SLC38A9,solute carrier family 38 member 9,protein_coding,211.28663172043,0.153598988619085,0.206095547780517,0.745280479239957,0.456102179463225,0.63503835227526
3572,IL6ST,interleukin 6 cytokine family signal transducer,protein_coding,2410.01089286074,0.204980554131617,0.19231522003171,1.06585715939601,0.286488217474108,0.471714102793037
4214,MAP3K1,mitogen-activated protein kinase kinase kinase 1,protein_coding,864.2411823026,-0.261150356306186,0.186395057460057,-1.40105837496334,0.161196617614503,0.325380533296199
133383,SETD9,SET domain containing 9,protein_coding,232.069636396963,0.514408575162782,0.248904093420296,2.06669391448762,0.0387630049675605,0.123832120664206
166968,MIER3,MIER family member 3,protein_coding,1768.99872951564,1.04656207337629,0.234884387751032,4.45564766307757,8.36403021921289e-06,0.000293187243350154
65056,GPBP1,GC-rich promoter binding protein 1,protein_coding,1382.72273054718,-0.0042184524294678,0.11839213533921,-0.0356311879786723,0.971576439693962,0.9855097148467
10769,PLK2,polo like kinase 2,protein_coding,391.18966408023,-0.362032512359345,0.253759163632635,-1.4266775913695,0.153672847625531,0.315314760267096
202309,GAPT,"GRB2 binding adaptor protein, transmembrane",protein_coding,25.513924795202,-0.947605804953028,0.487565580802573,-1.94354532449397,0.051950304631659,0.151483306692526
115827,RAB3C,"RAB3C, member RAS oncogene family",protein_coding,34.484761672992,0.0152278292109931,0.48696185585115,0.0312710924439385,0.975053344016866,0.987377741240938
5144,PDE4D,phosphodiesterase 4D,protein_coding,1669.9007881895,0.474767672260779,0.218096801681672,2.17686673348716,0.0294905121447858,0.102319622309074
55789,DEPDC1B,DEP domain containing 1B,protein_coding,205.803532468331,-1.09028483315623,0.254860965206768,-4.27795928761268,1.88614506280328e-05,0.000545799708621343
79993,ELOVL7,ELOVL fatty acid elongase 7,protein_coding,304.693038417724,-0.79199141036232,0.343410973894731,-2.30624956849834,0.0210966913052537,0.0812197480195112
1161,ERCC8,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit",protein_coding,163.340373575741,-0.478131765082226,0.171464809322651,-2.78851250569153,0.00529507030548169,0.0308754355135877
91942,NDUFAF2,NADH:ubiquinone oxidoreductase complex assembly factor 2,protein_coding,260.093456367393,-0.635927793706133,0.208558659814596,-3.04915554344019,0.00229485631172906,0.0168087171030612
643155,SMIM15,small integral membrane protein 15,protein_coding,952.09231320783,-0.594672304003856,0.186752414372292,-3.18428174544707,0.00145113695281204,0.0120853278527147
57688,ZSWIM6,zinc finger SWIM-type containing 6,protein_coding,742.981155630847,0.35978548275534,0.162478967537426,2.21435111392166,0.0268046350113881,0.0957244913613544
3796,KIF2A,kinesin family member 2A,protein_coding,789.2685132407,-0.533551346954487,0.167162110753942,-3.19181987202746,0.00141379470518289,0.0118525138933558
27292,DIMT1,DIM1 rRNA methyltransferase and ribosome maturation factor,protein_coding,401.212085046896,-0.40330578267138,0.179522212289284,-2.24655087261006,0.024668744858203,0.0900711158777476
51194,IPO11,importin 11,protein_coding,370.043774655174,-0.275197276865777,0.195436369236462,-1.40811701496977,0.15909642351266,0.322740526040309
101180901,IPO11-LRRC70,IPO11-LRRC70 readthrough,protein_coding,85.0148634937819,-0.460883834715918,0.212827369041644,-2.16552897680062,0.0303471987911294,0.104487922245146
100130733,LRRC70,leucine rich repeat containing 70,protein_coding,27.7766313396993,0.692448445192778,0.409360499015381,1.69153703608017,0.0907342804526173,0.222171789519493
285671,RNF180,ring finger protein 180,protein_coding,90.6613798282139,0.936807091980944,0.260293741440411,3.59903809748498,0.000319396400697147,0.00415044062782593
401190,RGS7BP,regulator of G protein signaling 7 binding protein,protein_coding,13.5348369018863,-0.369380758612329,0.702371724357847,-0.525904938656294,0.598954257371697,0.751765724213275
285672,SREK1IP1,SREK1 interacting protein 1,protein_coding,565.117157436738,-0.26897878888871,0.149031439699348,-1.80484594010056,0.0710987932380778,0.188057763069557
10283,CWC27,CWC27 spliceosome associated cyclophilin,protein_coding,516.054519649219,-0.0400692099702565,0.124068820819356,-0.322959545400992,0.746725879755882,0.853929536198363
11174,ADAMTS6,ADAM metallopeptidase with thrombospondin type 1 motif 6,protein_coding,49.8797223286226,0.127589236031519,0.368108821161681,0.346607385361948,0.728886296780149,0.842523551062632
64105,CENPK,centromere protein K,protein_coding,232.19090957571,-0.845626023825988,0.274678547963966,-3.07860235207346,0.00207974075376674,0.015677299274506
23398,PPWD1,peptidylprolyl isomerase domain and WD repeat containing 1,protein_coding,541.439541960706,-0.132595266230055,0.116625394796535,-1.13693305357192,0.25556627307719,0.440085167636608
373,TRIM23,tripartite motif containing 23,protein_coding,232.343468484754,0.214413796302936,0.181968192668764,1.17830370878735,0.238675549768196,0.421097602958029
80006,TRAPPC13,trafficking protein particle complex subunit 13,protein_coding,292.40829632314,-0.235863141509726,0.162592928654899,-1.45063591301896,0.146881269537567,0.306339721793712
112441434,SHLD3,shieldin complex subunit 3,protein_coding,59.3180655402628,-0.202094494877458,0.234262804064232,-0.862682813367362,0.388311884360414,0.574482320792042
54557,SGTB,small glutamine rich tetratricopeptide repeat co-chaperone beta,protein_coding,112.742002758238,0.730263386948015,0.282208585007404,2.58767247257505,0.00966268086861522,0.047272282785948
57486,NLN,neurolysin,protein_coding,527.892551038601,-0.297652338484537,0.207149606071475,-1.43689550817603,0.150747686449469,0.311276116147867
55914,ERBIN,erbb2 interacting protein,protein_coding,2826.15010038891,0.642337877667155,0.165365049140136,3.88436299573083,0.000102598526541861,0.00185904694634916
140890,SREK1,splicing regulatory glutamic acid and lysine rich protein 1,protein_coding,1670.50011423045,-0.149909217008416,0.126602975248719,-1.18408921049375,0.236377750688996,0.418452504598088
375449,MAST4,microtubule associated serine/threonine kinase family member 4,protein_coding,700.469218743964,0.624906838679863,0.16936160253424,3.6897787298247,0.000224449189897444,0.00323300214987492
