Symbol,n_cancers_hub,mean_degree,mean_lfc,cancer_list
POSTN,2,32,-0.22738436986317,esophagus|pancreatic
UGT1A7,2,32,1.73870885129175,colorectal|esophagus
GINS1,2,31,-1.35513335114227,colorectal|esophagus
MMP7,2,29,-4.14156212825081,colorectal|esophagus
H3C15,2,28,-1.23158311360752,colorectal|esophagus
MAOB,2,28,1.34447710754343,colorectal|esophagus
PLAU,2,28,-1.7461056137942,colorectal|esophagus
SERPINH1,2,27,-0.22807706124346,esophagus|pancreatic
SPARC,2,27,-0.118532752084305,esophagus|pancreatic
ISG15,2,21,0.20812052680011,esophagus|pancreatic
PDGFRB,2,21,-0.180194893838325,esophagus|pancreatic
OASL,2,20,0.430814977252375,esophagus|pancreatic
SNAI1,2,19,-0.297332142702,colorectal|pancreatic
