Symbol,n_cancers,n_up,n_down,mean_lfc,sd_lfc,cancers
GPT2,3,1,2,-0.340646031165095,1.65553114142093,colorectal|esophagus|kidney
PYCR1,3,1,2,-0.334812569653651,1.69663173285891,colorectal|esophagus|kidney
CDKN3,3,1,2,-0.332378201181791,1.64329134029731,colorectal|esophagus|kidney
NXPH4,3,1,2,-0.329214884049446,3.53086365213937,colorectal|esophagus|kidney
TMEM74,3,2,1,0.325900155314304,1.76780071963541,colorectal|esophagus|kidney
SUGCT,3,1,2,-0.321928757167908,1.63067861464671,colorectal|esophagus|kidney
GDF7,3,2,1,0.319350147173936,1.8443320561612,colorectal|esophagus|kidney
GZMB,3,1,2,-0.317009256344627,1.9472398562769,colorectal|esophagus|kidney
KIF18A,3,1,2,-0.313894707771184,1.89296650585717,colorectal|esophagus|kidney
CNGA1,3,2,1,0.308861014156889,2.09898060421983,colorectal|esophagus|kidney
MYBL2,3,1,2,-0.30676151570383,2.9155451575597,colorectal|esophagus|kidney
LOXL2,3,1,2,-0.306249549613698,2.31634170748546,colorectal|esophagus|kidney
PCDHB9,3,1,2,-0.305732431504451,1.59480448537889,colorectal|esophagus|kidney
CCL4L2,3,1,2,-0.301446668234426,1.61431127539415,colorectal|esophagus|kidney
CDC6,3,1,2,-0.298369505202689,2.20953013701677,colorectal|esophagus|kidney
CHODL,3,1,2,-0.293461042933648,1.52605184580531,colorectal|esophagus|kidney
GTSE1,3,1,2,-0.282300608788862,1.63682810055895,colorectal|esophagus|kidney
MCM10,3,1,2,-0.279689199162501,2.22929103880775,colorectal|esophagus|kidney
GABRP,3,1,2,-0.279133478996829,2.53195513161445,colorectal|esophagus|kidney
CDC20,3,1,2,-0.278242644796437,1.65421569252473,colorectal|esophagus|kidney
EPHX2,3,2,1,0.276308611664334,1.71770626268363,colorectal|esophagus|kidney
EXO1,3,1,2,-0.274266783529746,2.05510556739575,colorectal|esophagus|kidney
RAD54L,3,1,2,-0.274058174232826,1.44204324672879,colorectal|esophagus|kidney
UBE2C,3,1,2,-0.268421613141462,2.71249521774198,colorectal|esophagus|kidney
COL28A1,3,2,1,0.268092856457204,1.99882072233228,colorectal|kidney|liver
CHRDL1,3,2,1,0.264006922973324,3.17945663539074,colorectal|esophagus|kidney
TCEAL2,3,2,1,0.262381344323375,3.72449468243461,colorectal|esophagus|kidney
HAPLN3,3,1,2,-0.261550752293055,1.60396523830052,colorectal|esophagus|kidney
SLC6A4,3,1,2,-0.260325244405286,2.01393061268973,colorectal|esophagus|kidney
ENPP6,3,2,1,-0.256977300526368,3.9062068972964,colorectal|esophagus|kidney
ERCC6L,3,1,2,-0.249249143326126,1.70887862916075,colorectal|esophagus|kidney
CNTN3,3,2,1,0.248168894474174,2.64018057599888,colorectal|esophagus|kidney
SLC7A11,3,1,2,-0.246523748849753,2.37048068875748,colorectal|esophagus|kidney
TMEM61,3,2,1,-0.244995134230457,2.68869827049676,colorectal|esophagus|kidney
HCAR2,3,1,2,-0.243915056617633,2.57322542001205,colorectal|kidney|pancreatic
NEK2,3,1,2,-0.238075311765523,2.30410820332646,colorectal|esophagus|kidney
AFF2,3,2,1,0.236766275812951,1.75014661001008,colorectal|esophagus|kidney
ABCA12,3,1,2,0.235351952324385,2.51260240139077,colorectal|esophagus|kidney
TST,3,2,1,0.233203159890732,1.58094480059773,colorectal|esophagus|kidney
DNASE1L3,3,2,1,0.229071237736705,2.21131015534384,colorectal|esophagus|kidney
