Symbol,Degree,Betweenness,Closeness,Eigenvector,Log2FC,n_cancers,cancers
TMEM238L,0,0,,9.51912267542537e-20,0.50842283827084,3,colorectal|esophagus|kidney
HSPB6,0,0,,9.51912267542537e-20,0.504801821172763,3,colorectal|esophagus|kidney
ADAMTS7,0,0,,9.51912267542537e-20,0.504009363370015,3,esophagus|kidney|pancreatic
MUSTN1,0,0,,9.51912267542537e-20,0.492354010785963,3,colorectal|esophagus|kidney
C2,0,0,,9.51912267542537e-20,-0.492186644920996,3,colorectal|esophagus|kidney
TMEM35A,0,0,,9.51912267542537e-20,0.483037081730149,3,colorectal|esophagus|kidney
PLIN4,0,0,,9.51912267542537e-20,0.482528941080689,3,colorectal|esophagus|kidney
TENM2,0,0,,9.51912267542537e-20,-0.47804422843161,3,colorectal|esophagus|kidney
C21orf62,0,0,,9.51912267542537e-20,-0.475509007164798,3,esophagus|kidney|pancreatic
USP2,0,0,,9.51912267542537e-20,0.475021518739468,3,colorectal|esophagus|kidney
PLAAT5,0,0,,9.51912267542537e-20,0.468259969464186,3,colorectal|esophagus|kidney
ARG1,0,0,,9.51912267542537e-20,0.463280331388707,3,colorectal|esophagus|pancreatic
PERM1,0,0,,9.51912267542537e-20,0.461671910811988,3,colorectal|esophagus|kidney
RGS16,0,0,,9.51912267542537e-20,-0.460817513733998,3,colorectal|esophagus|pancreatic
TMEM132C,0,0,,9.51912267542537e-20,0.458786593946207,3,colorectal|esophagus|kidney
TRPV6,0,0,,9.51912267542537e-20,-0.452160508136261,3,colorectal|esophagus|kidney
LSAMP,0,0,,9.51912267542537e-20,-0.442778527061278,3,esophagus|kidney|pancreatic
SMIM5,0,0,,9.51912267542537e-20,0.438997977754594,3,colorectal|esophagus|kidney
BSPRY,0,0,,9.51912267542537e-20,-0.432012592410626,3,esophagus|kidney|pancreatic
C1QTNF6,0,0,,9.51912267542537e-20,0.4235513383425,3,esophagus|kidney|pancreatic
SORCS1,0,0,,9.51912267542537e-20,0.423403615372252,3,colorectal|esophagus|kidney
ANXA3,0,0,,9.51912267542537e-20,-0.423103489786038,3,colorectal|esophagus|kidney
NRG1,0,0,,9.51912267542537e-20,-0.415474278737249,3,colorectal|esophagus|kidney
PCDH17,0,0,,9.51912267542537e-20,-0.415282838854112,3,colorectal|esophagus|kidney
DES,0,0,,9.51912267542537e-20,0.41004616319492,3,colorectal|esophagus|kidney
LDHD,0,0,,9.51912267542537e-20,0.407990856722888,3,colorectal|esophagus|kidney
ODAM,0,0,,9.51912267542537e-20,0.407803234152187,3,colorectal|esophagus|pancreatic
DUSP26,0,0,,9.51912267542537e-20,0.406043835011928,3,colorectal|esophagus|kidney
NT5DC4,0,0,,9.51912267542537e-20,-0.405495815219981,3,colorectal|esophagus|kidney
CFAP20DC,0,0,,9.51912267542537e-20,0.404810395216589,3,colorectal|esophagus|kidney
TMEM125,0,0,,9.51912267542537e-20,-0.400382849514251,3,esophagus|kidney|pancreatic
ELFN1,0,0,,9.51912267542537e-20,-0.39365978277577,3,colorectal|esophagus|pancreatic
ADAMTS18,0,0,,9.51912267542537e-20,-0.389534073365972,3,colorectal|esophagus|pancreatic
BCL2A1,0,0,,9.51912267542537e-20,-0.383276708210999,3,colorectal|esophagus|kidney
MT1A,0,0,,9.51912267542537e-20,0.381598147937711,3,colorectal|esophagus|kidney
PDZRN4,0,0,,9.51912267542537e-20,0.368777383058186,3,colorectal|esophagus|kidney
PAQR5,0,0,,9.51912267542537e-20,0.368468647930549,3,colorectal|esophagus|kidney
C1QTNF7,0,0,,9.51912267542537e-20,0.366386445073237,3,colorectal|esophagus|kidney
PKNOX2,0,0,,9.51912267542537e-20,0.364918976492889,3,colorectal|esophagus|kidney
SLC17A9,0,0,,9.51912267542537e-20,-0.355051739586289,3,colorectal|esophagus|kidney
KHDRBS2,0,0,,9.51912267542537e-20,-0.353140895812749,3,colorectal|kidney|pancreatic
ADAMTS6,0,0,,9.51912267542537e-20,-0.347110006944034,3,colorectal|esophagus|pancreatic
SEMA3D,0,0,,9.51912267542537e-20,-0.341409800450253,3,colorectal|esophagus|kidney
PYCR1,0,0,,9.51912267542537e-20,-0.334812569653651,3,colorectal|esophagus|kidney
NXPH4,0,0,,9.51912267542537e-20,-0.329214884049446,3,colorectal|esophagus|kidney
TMEM74,0,0,,9.51912267542537e-20,0.325900155314304,3,colorectal|esophagus|kidney
SUGCT,0,0,,9.51912267542537e-20,-0.321928757167908,3,colorectal|esophagus|kidney
CNGA1,0,0,,9.51912267542537e-20,0.308861014156889,3,colorectal|esophagus|kidney
PCDHB9,0,0,,9.51912267542537e-20,-0.305732431504451,3,colorectal|esophagus|kidney
CHODL,0,0,,9.51912267542537e-20,-0.293461042933648,3,colorectal|esophagus|kidney
GABRP,0,0,,9.51912267542537e-20,-0.279133478996829,3,colorectal|esophagus|kidney
COL28A1,0,0,,9.51912267542537e-20,0.268092856457204,3,colorectal|kidney|liver
CHRDL1,0,0,,9.51912267542537e-20,0.264006922973324,3,colorectal|esophagus|kidney
TCEAL2,0,0,,9.51912267542537e-20,0.262381344323375,3,colorectal|esophagus|kidney
HAPLN3,0,0,,9.51912267542537e-20,-0.261550752293055,3,colorectal|esophagus|kidney
CNTN3,0,0,,9.51912267542537e-20,0.248168894474174,3,colorectal|esophagus|kidney
SLC7A11,0,0,,9.51912267542537e-20,-0.246523748849753,3,colorectal|esophagus|kidney
TMEM61,0,0,,9.51912267542537e-20,-0.244995134230457,3,colorectal|esophagus|kidney
HCAR2,0,0,,9.51912267542537e-20,-0.243915056617633,3,colorectal|kidney|pancreatic
AFF2,0,0,,9.51912267542537e-20,0.236766275812951,3,colorectal|esophagus|kidney
ABCA12,0,0,,9.51912267542537e-20,0.235351952324385,3,colorectal|esophagus|kidney
DNASE1L3,0,0,,9.51912267542537e-20,0.229071237736705,3,colorectal|esophagus|kidney
PAQR4,0,0,,9.51912267542537e-20,-0.194191903992716,3,colorectal|esophagus|kidney
DPP6,0,0,,9.51912267542537e-20,0.189245270151264,3,colorectal|esophagus|kidney
SFRP1,0,0,,9.51912267542537e-20,-0.185154149208358,3,colorectal|esophagus|kidney
PPP1R1A,0,0,,9.51912267542537e-20,0.163752677116229,3,colorectal|esophagus|kidney
RNF224,0,0,,9.51912267542537e-20,-0.149958707100558,3,colorectal|esophagus|kidney
SHISA3,0,0,,9.51912267542537e-20,0.147640022321777,3,colorectal|esophagus|kidney
BRINP3,0,0,,9.51912267542537e-20,0.145596936791031,3,colorectal|esophagus|kidney
SLC16A9,0,0,,9.51912267542537e-20,0.142244987863826,3,colorectal|esophagus|kidney
GPAT3,0,0,,9.51912267542537e-20,0.135412873381375,3,colorectal|esophagus|kidney
SPNS2,0,0,,9.51912267542537e-20,0.127131177397689,3,colorectal|esophagus|kidney
DEFB1,0,0,,9.51912267542537e-20,0.112608493082721,3,colorectal|esophagus|kidney
LAIR2,0,0,,9.51912267542537e-20,-0.1030336888691,3,colorectal|esophagus|kidney
GABRD,0,0,,9.51912267542537e-20,0.0995070613231344,3,colorectal|esophagus|kidney
MAPK4,0,0,,9.51912267542537e-20,-0.0881964522986522,3,colorectal|esophagus|kidney
ANXA9,0,0,,9.51912267542537e-20,-0.0844889208921001,3,esophagus|kidney|pancreatic
KLHL14,0,0,,9.51912267542537e-20,0.0816866735584467,3,colorectal|esophagus|kidney
GPR176,0,0,,9.51912267542537e-20,-0.0356028631767081,3,esophagus|kidney|pancreatic
ROS1,0,0,,9.51912267542537e-20,0.0332332087087989,3,colorectal|esophagus|pancreatic
FADS6,0,0,,9.51912267542537e-20,-0.0255590625419691,3,colorectal|esophagus|kidney
PRR11,0,0,,9.51912267542537e-20,0.0109904213064712,3,colorectal|esophagus|kidney
VAT1L,0,0,,9.51912267542537e-20,0.00411682194193985,3,colorectal|kidney|liver
