Symbol,n_studies,method_used,pooled_log2FC,pooled_se,rem_pvalue,I2,tau2,Q,Q_pval,vote_up,vote_down,fisher_pvalue,rem_padj,fisher_padj
MRFAP1L1,7,REML,0.251466186504606,0.105082700497332,0.0167098176397969,56.0840928457803,0.0363686438981425,12.3106397814402,0.055386946030609,1,0,0.00218489262354945,0.120396960521526,0.00293774989418933
TBC1D24,7,REML,-0.637073728991708,0.266240706476847,0.0167181334548151,88.5579726757744,0.422122425249135,76.3691409257102,2.00509380853649e-14,0,2,2.93906853281119e-26,0.120402347275986,1.1894057231112e-24
LGALS2,7,REML,-1.91844357265153,0.801953540878206,0.016747126599532,94.0713236063656,4.18466790911877,77.4445429870715,1.20349551031587e-14,0,4,4.66340592489765e-28,0.120547987123175,2.34778876136698e-26
H4C16,6,REML,-0.277207736846695,0.115891646068373,0.016758843979389,0.00115048055906964,9.43984662840212e-07,5.5465364279589,0.352869973108318,0,0,0.0643354137351224,0.120547987123175,0.0718859458570068
ADAM22,7,REML,1.02712373762308,0.429416247710358,0.0167610879072515,89.5870081174884,1.14191310907968,42.5774671492407,1.41395177980207e-07,4,0,1.32959082038583e-19,0.120547987123175,1.99928736876353e-18
BMP8B,7,REML,-0.761985630794362,0.318819564474913,0.0168473840605118,81.4427010393248,0.560043693978107,34.3908691745754,5.65356400368037e-06,0,2,8.46410569445349e-11,0.121113887491497,3.42809209503718e-10
ATXN7,7,REML,-0.517286132603037,0.216525039075049,0.016892642883711,83.2207417380781,0.256901583767684,28.7622636198391,6.7473347993406e-05,0,2,5.18726345037172e-08,0.121317886818612,1.35596737154064e-07
CDAN1,7,REML,-0.356623659282245,0.149276416369723,0.0168935936854686,78.6006560138448,0.11772066907969,28.9839096084977,6.12649720021445e-05,0,1,1.21921074884149e-09,0.121317886818612,4.10419462617843e-09
RELN,7,REML,-0.641174730389575,0.268396833495603,0.016898638329879,50.7854542415323,0.242386846945181,11.9028791802181,0.0641708543545463,0,2,7.09483899199981e-05,0.121317886818612,0.000117220680780689
MAGIX,7,REML,-0.549975526572074,0.230266719933869,0.0169206144080232,64.8320652001108,0.232071841429299,17.8446943332934,0.00663226141329643,0,1,4.00736828106509e-05,0.121420863607236,6.86995926545955e-05
ATP6V0D1,7,REML,0.485582847749861,0.203326475475957,0.0169314516193411,80.6750984921033,0.218510633932353,26.5696093424706,0.000174310830033265,1,0,1.26100526725482e-08,0.121443852034309,3.63693487976013e-08
CNOT8,7,REML,0.260610735180848,0.109149670213552,0.0169566822969496,61.0951369451173,0.0464164421847798,13.5365432630968,0.035264160178286,0,0,0.000420183251765214,0.121570012916707,0.00062293312387781
MT1G,7,REML,-2.59321906247226,1.08657583502356,0.0170051022034025,94.3777329897562,7.72042452965967,83.538934385369,6.62561086405451e-16,0,3,2.50819917102126e-35,0.121862239168437,3.21797908159493e-33
AFF4,7,REML,0.266684383077952,0.111805763720592,0.0170676490619166,64.2645311168602,0.0503961080188619,19.3367769864254,0.00363110678528564,0,0,3.66776008701187e-06,0.12225539348313,7.2575118438149e-06
COL10A1,7,REML,1.40831776387113,0.590617238431091,0.0171030595518974,88.8308854595644,2.07093648480027,65.9259756411306,2.79070807484837e-12,4,0,6.20114309899973e-20,0.122453903875398,9.94495822197446e-19
CRIP2,7,REML,0.652358136807639,0.273809577222278,0.0171943689018701,79.5778396434338,0.397790021623236,25.6417248075744,0.000259584146190643,3,0,6.22259687981328e-08,0.123052278389497,1.60368206319374e-07
NCCRP1,5,REML,-1.96543489544941,0.825140756492647,0.0172217529441087,79.3490704603356,2.64807975467285,17.7438603884151,0.00138475119489073,0,3,4.79001076050309e-07,0.123192836145605,1.07938075338305e-06
FAM110C,7,REML,-0.441108519525586,0.185203381844278,0.0172304984653905,37.0956667133557,0.0871272193588688,9.29187268107114,0.157816478596454,0,1,0.0190397235281637,0.123200000038605,0.0227182900779686
ILKAP,7,REML,-0.279074896098185,0.11719125681628,0.0172487161100212,69.3262810452185,0.0590682472363513,24.2885934345951,0.000462115029108254,0,0,1.52891163535452e-08,0.12327485381596,4.34813285785754e-08
DHFR2,7,REML,-0.456626549530167,0.19184501970538,0.0173039700116993,66.6863599799467,0.154153138215081,15.5126761810155,0.0166229387688086,0,1,1.52859483688321e-05,0.123544244190069,2.78433882069785e-05
C1GALT1C1,7,REML,0.391613709769021,0.164533523181699,0.0173058076483558,56.2515274093103,0.0984463810513151,14.2754692231352,0.0267059087129459,1,0,0.000277924853904368,0.123544244190069,0.000421899475263797
DNAJC18,7,REML,0.541136446456162,0.227371204172411,0.0173140885462594,75.8310042795069,0.25853067526062,20.3921960181931,0.00235746428251166,1,0,2.62372747632389e-05,0.123544244190069,4.62093218430608e-05
ABCA5,7,REML,-0.591618540434786,0.248615271286367,0.0173288597203192,77.8397713664544,0.323143534795305,22.1755547164239,0.00112529024018183,0,2,7.06278035072736e-10,0.123544244190069,2.47282999129228e-09
PACS1,7,REML,0.287825694425135,0.120962538124602,0.0173379571656723,58.8464855526871,0.055957979509006,14.0071118102604,0.0295568218306128,0,0,7.68570957251033e-05,0.123544244190069,0.000126405410512837
ZNF805,7,REML,0.316226211354886,0.132898870250771,0.0173384969872409,63.7842622077737,0.0706199791842835,16.4330604621908,0.0116089782537043,0,0,2.27558174810119e-05,0.123544244190069,4.03952577890447e-05
SFXN2,7,REML,-0.505821399627183,0.212583443917162,0.0173407692046278,74.135899824111,0.224372667502862,23.2561871956513,0.00071506180974339,0,1,5.01502799978344e-09,0.123544244190069,1.54053061302481e-08
ITGAX,7,REML,1.01762694592684,0.427714123332558,0.0173492135393421,87.0524113233223,1.09123610345673,52.2682685533928,1.64695260976445e-09,4,0,7.70079191616655e-23,0.123549077080301,1.94155148326931e-21
ZNF43,7,REML,-0.279935885173638,0.117685049806467,0.0173744270100588,8.65600889557576,0.00843851000172408,6.24729476145099,0.396065915819701,0,0,0.0808490325062196,0.123673270381667,0.0893337448354943
PIR,7,REML,0.489852625409068,0.205978274643063,0.0173985111166396,28.3635156833483,0.0820240077041765,7.98860208252469,0.238939536395422,1,0,0.0301248806442933,0.123789317242674,0.0350615792062376
MGP,7,REML,0.52965582885124,0.222776009831888,0.0174291986485582,55.3053938353696,0.182167393294458,13.7524509494402,0.0325270354931021,2,0,0.000236625549816474,0.123952222306621,0.000362491658356311
HMGXB4,7,REML,0.206315331735006,0.0867961062896698,0.0174535500082193,40.9370503915816,0.0199327126783712,10.3146365177563,0.112012125233324,0,0,0.00459425059407024,0.124069940608025,0.00591581810611603
TFE3,7,REML,0.452845240488868,0.19053498606306,0.0174681050274363,88.0206490769653,0.211999902149626,27.8790237973501,9.90218957797571e-05,1,0,1.53204264094809e-10,0.124117946798341,5.96652787633861e-10
ATXN7L3,7,REML,0.173774646744148,0.0731218239455056,0.0174773518465144,19.0239950977501,0.00707097285735277,6.72317823510348,0.347207834916872,0,0,0.0673373331249008,0.124128210056338,0.0751188298635472
ERI1,7,REML,0.430018164049693,0.18097051123917,0.0174930175318313,75.0734018855362,0.155499640810806,18.1616044170668,0.00584077684738695,1,0,6.51897054255125e-08,0.124132999602492,1.67515847663511e-07
MSR1,7,REML,0.932936925511338,0.392622932579114,0.0174936315990186,83.8021646838113,0.887927058256035,40.5375882347433,3.57099547393133e-07,2,0,1.63998362019523e-15,0.124132999602492,1.36313999026572e-14
GOLGA7,7,REML,0.288700155180065,0.121536093944049,0.017528645151751,49.3425736568926,0.0488965275070597,11.4721632282359,0.0748347684457149,0,0,0.00085353135112768,0.124314524421164,0.00121261209725757
HID1,7,REML,-0.66460910641457,0.279800440306031,0.017534841460877,84.483100809706,0.438594051182519,52.3407111195794,1.5926030155049e-09,0,2,2.13049634315593e-15,0.124314524421164,1.74441926522222e-14
LEF1,7,REML,1.51274061190862,0.637033787181322,0.0175649753001716,92.7657305445695,2.58250294554398,82.4449185051597,1.11587105874633e-15,4,0,4.58222689977012e-28,0.124472691336494,2.31424278566485e-26
UBE2V1,7,REML,0.192563161232392,0.0811365211155827,0.017628846259923,25.9999121870623,0.0114903183081914,7.95445245403429,0.24145926963833,0,0,0.0462028934120608,0.124823397367018,0.0524917397195227
ZEB2,7,REML,0.451177369483221,0.190117643279941,0.0176371789740965,75.5483561028175,0.185399719289426,28.8074783464811,6.61583049940533e-05,1,0,1.07677771207685e-09,0.124823397367018,3.65800910130911e-09
SETD6,7,REML,-0.504898283515975,0.212756172223469,0.0176380034748291,91.5448811594604,0.283806552204771,52.1933669363578,1.70509173095583e-09,0,1,1.4716628581097e-22,0.124823397367018,3.56357449157797e-21
EXOC6,7,REML,-0.253610474274416,0.106930693843936,0.017705140021319,39.5824780681834,0.0305373535434995,9.54492885217562,0.145170824963923,0,0,0.0117606168370363,0.125242806847116,0.0144089066815873
TTC9,7,REML,0.899103752050808,0.379308840339894,0.0177701074018524,81.2518295714817,0.775726144260541,23.7025523015708,0.000592298133495612,4,0,2.61264067443462e-12,0.125646506069364,1.33048977239374e-11
SIGLEC7,5,REML,0.911212895653429,0.384568988155231,0.0178150764112448,69.5940730949674,0.488714241764025,11.7595185050169,0.0192320793722809,2,0,1.46977549100188e-05,0.125853420335528,2.68426796996315e-05
PALM,7,REML,0.572764884655981,0.241730376980059,0.0178151928213972,66.9082667485719,0.253141456270272,19.4212893832079,0.00350825521245481,2,0,1.04715382306161e-05,0.125853420335528,1.94964878220266e-05
MMP12,6,REML,1.86863747343148,0.788711493719621,0.0178252538152235,84.85078995057,3.09259139566165,39.168904152331,2.19599692432899e-07,4,0,3.56160451579442e-12,0.125868603171944,1.78237075312279e-11
SIPA1L2,7,REML,0.501082398810679,0.211563746687749,0.0178618262403817,84.6857266190476,0.25289435193694,33.0604005535966,1.02089228805233e-05,2,0,1.77441558503722e-12,0.126070893370999,9.24975733071114e-12
ALKBH8,7,REML,0.203688143843082,0.0860231220218703,0.0178927469591138,0.0144278788945273,8.23598897129548e-06,8.85784816760854,0.181731835957654,0,0,0.0390511682533026,0.126233131429065,0.0448049210833543
H2AZ1,7,REML,0.500878229303047,0.211657958351853,0.0179595418175273,74.1198045012646,0.216588689119325,22.2437151959434,0.00109368578343394,1,0,1.23448415729473e-07,0.126648205130781,3.03780486595543e-07
MYO5A,7,REML,0.400414333093952,0.16922441398212,0.0179730167856607,83.1884306488111,0.162202920781625,36.0073347470176,2.74759271428061e-06,0,0,3.01159060496966e-15,0.126679721570569,2.41488885758379e-14
INTS7,7,REML,0.237818529226841,0.100516164142692,0.0179827563988329,44.3095294757976,0.0286772797131472,11.2005737766244,0.0823717706346503,0,0,0.00211654598365956,0.126679721570569,0.00285236171571707
PIGT,7,REML,0.384981174351014,0.162723075774489,0.017987899366894,75.9867718933147,0.133110455473085,26.7499885252611,0.000161285670134202,1,0,1.07013791971123e-07,0.126679721570569,2.65795984318086e-07
MBTD1,7,REML,-0.289312898366144,0.122319583323732,0.0180192942092097,64.4941840397869,0.0612124721607188,17.5841427930441,0.00735998521417931,0,0,4.64219896290748e-06,0.126844668838193,9.05280011043087e-06
CLEC4A,6,REML,0.480349535222622,0.203183677149682,0.0180732119173683,36.6204673809478,0.0884278716397176,8.73515002099956,0.120105994516602,2,0,0.00527227193896308,0.127167947100138,0.00673545123881504
ADAM12,7,REML,1.48736758072504,0.629253623496619,0.0180933961911579,89.2344141487062,2.39445622470904,54.7540987816101,5.1968715764962e-10,3,0,9.46638736066637e-18,0.127217399732525,1.08580213785754e-16
DNTTIP1,7,REML,0.594116337670052,0.25136449622625,0.0181000488371303,83.4663882416995,0.358048128629825,29.135865712913,5.73386284958319e-05,2,0,1.80840832127287e-11,0.127217399732525,8.15244204679231e-11
CD4,7,REML,0.508523174224018,0.215167810120354,0.018109118690496,66.2182091042919,0.208378736894794,16.6121612882443,0.0108194372466386,1,0,1.33793229196926e-05,0.127217399732525,2.45588610048908e-05
SYTL5,7,REML,-0.491323322407791,0.207902196239149,0.0181158073082496,0.000359990671164319,1.14898940466202e-06,3.44194428341039,0.751677052271194,0,1,0.236445422674627,0.127217399732525,0.248586454489204
ZNF26,7,REML,0.244887527251149,0.103627485638767,0.0181202230054624,31.5612404063729,0.0230043450484783,9.25059540287159,0.159967501529264,0,0,0.00839035988980115,0.127217399732525,0.0104675529710513
DDX24,7,REML,0.336563434382377,0.142455353315114,0.0181477889574684,85.5511074828742,0.114926833613837,36.032950795496,2.71627350999202e-06,0,0,1.14709182058241e-11,0.127264291276142,5.34067420943681e-11
PCDHB9,7,REML,1.16439445733467,0.492869127772351,0.0181530215130837,86.1415932105912,1.43096907348068,40.1723460196691,4.21334575863739e-07,4,0,2.31334995150124e-13,0.127264291276142,1.3809787759262e-12
CENPH,6,REML,0.539011683349008,0.228156581633254,0.0181539103506158,29.4043647064203,0.089941495531574,7.94525897897396,0.159278428746178,2,0,0.0100634040587726,0.127264291276142,0.0124348501103699
PDHA1,7,REML,-0.433206317930189,0.183379118372011,0.0181593129410215,80.1969542412887,0.182393655345404,34.9872658202635,4.3340527133127e-06,0,0,7.73454628419082e-12,0.127264291276142,3.6962720587321e-11
PEAK1,7,REML,0.372272195423693,0.15759562784545,0.0181668995843937,77.4575107151821,0.124431620726622,26.0846137121172,0.000214704879502027,1,0,1.43179900943537e-11,0.127264291276142,6.56440646717791e-11
MT1E,7,REML,-0.955972680963792,0.404840436502759,0.0182082070165255,81.225360774843,0.895840041659798,28.9737871593056,6.15357736082055e-05,0,3,2.06967158221995e-14,0.127402706887216,1.46484574701886e-13
COPS8,7,REML,0.362366586681829,0.153462986939126,0.0182127727195172,73.9558639026738,0.112120923970481,24.5643207386543,0.000411043500075723,0,0,5.73558655436024e-07,0.127402706887216,1.27940895251426e-06
AP3D1,7,REML,-0.224979920780571,0.0952852923989168,0.0182198796760074,63.6566219287546,0.0360106633947897,17.7718598678111,0.00682835182067438,0,0,6.22078843240378e-08,0.127402706887216,1.60347574807375e-07
ANKRD27,7,REML,0.167499848467306,0.0709420429466626,0.0182217925515004,0.000245286289397531,9.10065101593508e-08,8.10163091132479,0.23075174940044,0,0,0.0601154337590844,0.127402706887216,0.0674264266549122
LEAP2,5,REML,-1.74202197079315,0.737898079778223,0.018236083033783,88.5380969718577,2.39770171642252,29.2102835335122,7.08492474670241e-06,0,3,3.2325761806483e-13,0.127402706887216,1.87964380328706e-12
BBS12,7,REML,0.71709233900157,0.303753797206666,0.0182371203739314,81.7330648913951,0.490334227030558,33.8011343790468,7.34909318587086e-06,3,0,9.25709536218868e-10,0.127402706887216,3.18286427743807e-09
USP18,7,REML,0.714588878182156,0.302707942743308,0.0182427158394039,67.7318607602739,0.407632170895587,15.9889780923225,0.013813249171516,2,0,2.14169641748039e-05,0.127402706887216,3.81676356062457e-05
